Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
14.02,2.26,2.04,24.86,4.0,2.48,10,2.04,0.33,2.0,0.17,0.25,22.22,10000,10,0.75,0.23
32.22,1.81,1.7,39.18,4.09,2.6,10,1.69,0.61,1.49,0.14,0.44,23.33,10500,20,0.61,0.11
43.01,1.53,1.4,48.18,3.87,2.71,10,1.4,0.68,1.35,0.13,0.5,24.44,11000,30,0.52,0.07
49.93,1.36,1.23,55.66,3.97,2.83,10,1.23,0.75,1.1,0.11,0.59,25.56,11500,40,0.44,0.05
55.97,1.21,1.16,59.24,3.85,2.95,10,1.16,0.77,0.98,0.1,0.64,26.67,12000,50,0.41,0.04
61.33,1.07,1.02,64.92,3.71,3.07,10,1.02,0.79,0.86,0.09,0.68,27.78,12500,60,0.35,0.03
65.95,0.96,0.93,67.98,3.74,3.18,10,0.92,0.82,0.72,0.08,0.74,28.89,13000,70,0.32,0.03
70.08,0.84,0.81,72.14,3.63,3.29,10,0.81,0.84,0.66,0.07,0.76,30.0,13500,80,0.28,0.02
73.34,0.75,0.78,73.86,3.6,3.41,10,0.78,0.85,0.59,0.07,0.79,31.11,14000,90,0.26,0.02
76.95,0.65,0.79,73.92,3.51,3.54,10,0.78,0.86,0.51,0.06,0.81,32.22,14500,100,0.26,0.02
80.21,0.56,0.73,76.08,3.44,3.65,10,0.73,0.87,0.45,0.06,0.83,33.33,15000,110,0.24,0.02
83.42,0.47,0.82,77.16,3.4,3.78,10,0.82,0.88,0.34,0.05,0.87,34.44,15500,120,0.23,0.02
86.52,0.38,0.76,78.2,3.31,3.88,10,0.76,0.88,0.33,0.05,0.88,35.56,16000,130,0.22,0.02
89.42,0.3,0.79,78.06,3.31,4.01,10,0.78,0.88,0.31,0.05,0.88,36.67,16500,140,0.22,0.01
91.87,0.24,0.84,78.14,3.23,4.12,10,0.83,0.88,0.27,0.05,0.9,37.78,17000,150,0.22,0.02
93.83,0.19,0.94,76.62,3.24,4.24,10,0.94,0.88,0.26,0.05,0.9,38.89,17500,160,0.23,0.02
95.36,0.14,0.95,79.64,3.1,4.37,10,0.94,0.89,0.19,0.04,0.93,40.0,18000,170,0.2,0.02
95.9,0.13,0.88,79.36,3.06,4.48,10,0.87,0.89,0.21,0.04,0.92,41.11,18500,180,0.21,0.01
96.88,0.1,1.0,78.92,2.98,4.58,10,0.99,0.89,0.18,0.04,0.93,42.22,19000,190,0.21,0.02
97.33,0.08,0.99,80.36,2.95,4.7,10,0.98,0.89,0.15,0.04,0.94,43.33,19500,200,0.2,0.01
97.77,0.07,1.0,80.28,2.9,4.83,10,0.98,0.89,0.16,0.04,0.94,44.44,20000,210,0.2,0.01
97.97,0.07,1.01,80.5,2.85,4.95,10,1.0,0.89,0.15,0.04,0.94,45.56,20500,220,0.2,0.01
98.18,0.06,0.99,80.38,2.79,5.06,10,0.98,0.89,0.16,0.04,0.94,46.67,21000,230,0.2,0.01
98.43,0.05,1.01,80.4,2.79,5.18,10,1.0,0.89,0.16,0.04,0.94,47.78,21500,240,0.2,0.01
98.58,0.05,0.93,81.02,2.68,5.28,10,0.93,0.89,0.16,0.04,0.94,48.89,22000,250,0.19,0.01
98.71,0.04,1.02,80.84,2.6,5.42,10,1.0,0.89,0.14,0.04,0.94,50.0,22500,260,0.19,0.01
98.71,0.04,1.02,80.82,2.63,5.54,10,1.0,0.89,0.15,0.04,0.94,51.11,23000,270,0.19,0.02
98.81,0.04,0.93,81.58,2.53,5.64,10,0.93,0.89,0.15,0.04,0.94,52.22,23500,280,0.18,0.01
98.96,0.04,0.95,81.48,2.45,5.76,10,0.94,0.89,0.14,0.04,0.95,53.33,24000,290,0.19,0.01
99.05,0.04,1.03,81.52,2.38,5.88,10,1.01,0.89,0.13,0.04,0.95,54.44,24500,300,0.18,0.01
99.15,0.03,0.97,82.2,2.34,6.0,10,0.96,0.89,0.13,0.04,0.95,55.56,25000,310,0.18,0.01
