Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
12.36,2.3,2.29,11.76,4.01,2.48,10,2.29,0.0,2.3,0.18,0.11,22.22,10000,5,0.88,0.44
18.73,2.18,2.06,22.2,3.95,2.6,10,2.07,0.25,2.07,0.17,0.23,23.33,10500,10,0.78,0.22
27.28,1.95,1.78,33.08,4.04,2.73,10,1.78,0.51,1.72,0.15,0.34,24.44,11000,15,0.67,0.13
34.89,1.73,1.59,41.18,3.84,2.83,10,1.6,0.59,1.56,0.14,0.41,25.56,11500,20,0.59,0.1
40.38,1.6,1.52,45.5,3.83,2.94,10,1.52,0.69,1.29,0.13,0.51,26.67,12000,25,0.55,0.08
43.99,1.51,1.38,50.3,3.69,3.09,10,1.38,0.69,1.29,0.12,0.52,27.78,12500,30,0.5,0.07
47.36,1.43,1.32,52.8,3.67,3.19,10,1.32,0.71,1.22,0.12,0.55,28.89,13000,35,0.47,0.06
51.08,1.35,1.17,57.32,3.64,3.29,10,1.17,0.76,1.06,0.11,0.61,30.0,13500,40,0.43,0.04
54.35,1.26,1.12,59.92,3.57,3.43,10,1.13,0.77,0.98,0.1,0.64,31.11,14000,45,0.4,0.04
57.7,1.18,1.0,64.1,3.55,3.54,10,1.0,0.79,0.92,0.09,0.66,32.22,14500,50,0.36,0.03
60.83,1.1,0.95,65.78,3.46,3.65,10,0.95,0.8,0.92,0.09,0.67,33.33,15000,55,0.34,0.03
63.43,1.03,0.86,69.6,3.44,3.78,10,0.86,0.82,0.76,0.08,0.72,34.44,15500,60,0.3,0.02
66.09,0.96,0.84,71.12,3.36,3.88,10,0.84,0.83,0.7,0.07,0.75,35.56,16000,65,0.29,0.02
68.41,0.89,0.77,73.3,3.34,3.99,10,0.77,0.84,0.68,0.07,0.76,36.67,16500,70,0.27,0.02
70.38,0.83,0.74,74.34,3.35,4.12,10,0.73,0.84,0.65,0.07,0.77,37.78,17000,75,0.26,0.02
72.31,0.78,0.7,76.02,3.2,4.25,10,0.7,0.86,0.55,0.06,0.8,38.89,17500,80,0.24,0.01
73.78,0.73,0.66,77.32,3.12,4.36,10,0.66,0.86,0.54,0.06,0.81,40.0,18000,85,0.23,0.01
75.62,0.68,0.71,76.64,3.07,4.49,10,0.71,0.87,0.48,0.06,0.83,41.11,18500,90,0.23,0.01
77.54,0.63,0.65,78.82,3.01,4.59,10,0.65,0.87,0.47,0.05,0.83,42.22,19000,95,0.21,0.02
79.38,0.58,0.63,78.94,2.98,4.7,10,0.63,0.87,0.43,0.05,0.84,43.33,19500,100,0.21,0.01
81.35,0.53,0.63,80.24,2.95,4.82,10,0.63,0.88,0.37,0.05,0.87,44.44,20000,105,0.2,0.01
83.17,0.48,0.66,79.82,2.84,4.93,10,0.66,0.88,0.32,0.05,0.88,45.56,20500,110,0.2,0.01
84.98,0.43,0.62,80.66,2.8,5.06,10,0.63,0.88,0.34,0.05,0.87,46.67,21000,115,0.19,0.01
87.0,0.37,0.64,80.66,2.74,5.17,10,0.64,0.88,0.31,0.04,0.89,47.78,21500,120,0.19,0.01
88.64,0.33,0.72,80.46,2.73,5.3,10,0.73,0.89,0.25,0.04,0.9,48.89,22000,125,0.2,0.02
90.41,0.28,0.69,80.62,2.63,5.41,10,0.69,0.89,0.25,0.04,0.91,50.0,22500,130,0.19,0.01
91.75,0.24,0.68,82.02,2.57,5.53,10,0.68,0.89,0.22,0.04,0.92,51.11,23000,135,0.18,0.01
92.92,0.21,0.65,82.36,2.59,5.65,10,0.66,0.89,0.23,0.04,0.91,52.22,23500,140,0.18,0.01
94.01,0.18,0.73,82.52,2.53,5.76,10,0.73,0.89,0.2,0.04,0.92,53.33,24000,145,0.17,0.01
94.71,0.16,0.71,82.44,2.44,5.87,10,0.72,0.89,0.19,0.04,0.93,54.44,24500,150,0.18,0.01
95.63,0.13,0.77,81.8,2.35,5.99,10,0.78,0.89,0.19,0.04,0.93,55.56,25000,155,0.18,0.01
