Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
14.2,2.25,2.03,25.16,4.06,2.49,10,2.03,0.29,2.04,0.17,0.24,22.22,10000,10,0.75,0.22
32.15,1.82,1.62,41.28,3.98,2.61,10,1.62,0.6,1.51,0.14,0.43,23.33,10500,20,0.59,0.11
43.05,1.53,1.37,50.46,3.9,2.72,10,1.37,0.7,1.27,0.12,0.52,24.44,11000,30,0.5,0.06
50.03,1.36,1.23,56.24,3.93,2.84,10,1.24,0.73,1.12,0.11,0.58,25.56,11500,40,0.44,0.05
56.47,1.2,1.08,61.78,3.86,2.95,10,1.08,0.78,0.95,0.1,0.65,26.67,12000,50,0.38,0.03
62.04,1.06,0.95,67.1,3.81,3.08,10,0.95,0.8,0.86,0.09,0.69,27.78,12500,60,0.33,0.03
66.16,0.94,0.87,70.1,3.71,3.2,10,0.87,0.82,0.74,0.08,0.74,28.89,13000,70,0.3,0.03
70.01,0.84,0.78,72.94,3.75,3.31,10,0.78,0.84,0.61,0.07,0.78,30.0,13500,80,0.27,0.02
73.68,0.73,0.71,76.26,3.67,3.42,10,0.71,0.85,0.55,0.06,0.8,31.11,14000,90,0.24,0.02
76.8,0.65,0.74,75.78,3.6,3.55,10,0.73,0.86,0.47,0.06,0.83,32.22,14500,100,0.24,0.02
79.75,0.57,0.72,77.24,3.51,3.67,10,0.72,0.87,0.39,0.05,0.86,33.33,15000,110,0.23,0.01
82.63,0.49,0.71,78.74,3.55,3.79,10,0.71,0.88,0.34,0.05,0.87,34.44,15500,120,0.21,0.01
85.61,0.41,0.76,77.56,3.38,3.89,10,0.76,0.87,0.34,0.05,0.87,35.56,16000,130,0.22,0.01
88.53,0.33,0.74,79.66,3.3,4.01,10,0.74,0.88,0.28,0.05,0.9,36.67,16500,140,0.2,0.01
91.15,0.26,0.79,79.1,3.29,4.13,10,0.79,0.88,0.25,0.05,0.91,37.78,17000,150,0.21,0.01
93.31,0.2,0.83,79.98,3.24,4.25,10,0.83,0.89,0.23,0.04,0.91,38.89,17500,160,0.2,0.01
94.74,0.16,0.79,80.3,3.24,4.37,10,0.79,0.89,0.21,0.04,0.92,40.0,18000,170,0.2,0.01
95.5,0.14,0.85,81.14,3.13,4.48,10,0.85,0.89,0.18,0.04,0.93,41.11,18500,180,0.19,0.01
96.59,0.11,0.86,80.6,3.03,4.6,10,0.86,0.89,0.17,0.04,0.93,42.22,19000,190,0.19,0.01
97.15,0.09,0.89,80.72,3.08,4.73,10,0.89,0.89,0.16,0.04,0.94,43.33,19500,200,0.19,0.01
97.47,0.08,0.94,80.86,2.92,4.84,10,0.94,0.89,0.15,0.04,0.94,44.44,20000,210,0.19,0.01
97.78,0.07,0.9,81.58,2.86,4.97,10,0.9,0.89,0.15,0.04,0.94,45.56,20500,220,0.18,0.01
97.91,0.07,0.9,81.86,2.79,5.09,10,0.9,0.89,0.14,0.04,0.95,46.67,21000,230,0.18,0.01
98.29,0.06,0.86,82.46,2.76,5.2,10,0.86,0.89,0.15,0.04,0.94,47.78,21500,240,0.18,0.01
98.48,0.05,0.85,82.52,2.69,5.31,10,0.85,0.89,0.14,0.04,0.94,48.89,22000,250,0.17,0.01
98.6,0.05,0.91,82.1,2.68,5.43,10,0.91,0.89,0.14,0.04,0.95,50.0,22500,260,0.18,0.01
98.76,0.04,0.88,82.98,2.53,5.53,10,0.88,0.89,0.13,0.04,0.95,51.11,23000,270,0.17,0.01
98.81,0.04,0.88,82.98,2.49,5.65,10,0.88,0.89,0.14,0.04,0.95,52.22,23500,280,0.17,0.01
98.85,0.04,0.81,83.24,2.61,5.76,10,0.82,0.89,0.15,0.04,0.94,53.33,24000,290,0.17,0.01
99.01,0.04,0.84,84.02,2.37,5.88,10,0.84,0.89,0.12,0.03,0.95,54.44,24500,300,0.16,0.01
99.03,0.03,0.79,84.4,2.37,5.99,10,0.79,0.89,0.13,0.03,0.95,55.56,25000,310,0.16,0.01
