Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
12.72,2.28,2.15,22.34,-1.0,2.48,-1,2.14,-1.0,2.2,0.17,0.16,22.22,10000,10,0.78,0.23
31.12,1.83,1.61,39.86,4.17,2.95,10,1.6,0.11999999731779099,1.49,0.14,0.44,26.67,12000,20,0.6,0.09
42.24,1.55,1.34,50.56,3.85,3.42,10,1.33,0.6200000047683716,1.23,0.12,0.54,31.11,14000,30,0.49,0.05
49.76,1.36,1.14,58.8,3.6,3.9,10,1.13,0.7200000286102295,1.03,0.1,0.62,35.56,16000,40,0.41,0.04
56.45,1.19,0.99,64.62,3.28,4.33,10,0.99,0.7699999809265137,0.89,0.09,0.68,40.0,18000,50,0.35,0.02
62.51,1.03,0.8,71.82,3.07,4.83,10,0.8,0.8100000023841858,0.8,0.08,0.71,44.44,20000,60,0.28,0.02
67.93,0.89,0.68,75.9,2.85,5.29,10,0.68,0.8299999833106995,0.59,0.06,0.79,48.89,22000,70,0.24,0.01
73.01,0.75,0.66,77.1,2.71,5.76,10,0.66,0.8600000143051147,0.51,0.06,0.82,53.33,24000,80,0.23,0.02
78.19,0.61,0.58,80.12,2.43,6.23,10,0.58,0.8700000047683716,0.42,0.05,0.85,57.78,26000,90,0.2,0.01
82.86,0.48,0.55,81.6,2.19,6.7,10,0.55,0.8700000047683716,0.38,0.05,0.86,62.22,28000,100,0.18,0.01
87.85,0.35,0.59,82.68,2.02,7.17,10,0.59,0.8700000047683716,0.27,0.04,0.9,66.67,30000,110,0.17,0.01
92.06,0.23,0.63,82.92,1.81,7.62,10,0.63,0.8799999952316284,0.22,0.04,0.92,71.11,32000,120,0.17,0.01
95.35,0.14,0.62,83.38,1.54,8.12,10,0.62,0.8799999952316284,0.21,0.04,0.92,75.56,34000,130,0.17,0.01
97.23,0.09,0.7,83.68,1.36,8.6,10,0.7,0.8799999952316284,0.16,0.03,0.94,80.0,36000,140,0.16,0.01
98.28,0.05,0.75,83.7,1.14,9.05,10,0.75,0.8700000047683716,0.14,0.03,0.94,84.44,38000,150,0.16,0.01
98.93,0.03,0.79,83.54,0.92,9.53,10,0.78,0.8700000047683716,0.15,0.03,0.94,88.89,40000,160,0.16,0.01
99.22,0.03,0.81,83.58,0.67,9.99,10,0.81,0.8600000143051147,0.13,0.03,0.95,93.33,42000,170,0.16,0.01
99.46,0.02,0.76,84.1,0.46,10.46,10,0.76,0.8399999737739563,0.15,0.03,0.94,97.78,44000,180,0.16,0.01
99.49,0.02,0.81,84.56,0.23,10.71,10,0.81,0.8399999737739563,0.12,0.03,0.95,100.0,45000,190,0.15,0.01
