Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
12.53,2.28,2.13,20.6,4.3,2.51,10,2.13,0.13,2.18,0.17,0.17,22.22,10000,10,0.79,0.23
30.74,1.86,1.66,38.5,4.25,2.64,10,1.66,0.58,1.59,0.15,0.4,23.33,10500,20,0.62,0.1
42.63,1.55,1.41,47.72,4.11,2.76,10,1.4,0.69,1.34,0.13,0.5,24.44,11000,30,0.52,0.06
50.02,1.36,1.21,55.18,4.12,2.88,10,1.21,0.73,1.18,0.11,0.56,25.56,11500,40,0.45,0.04
56.61,1.19,1.09,59.76,4.02,3.0,10,1.09,0.76,1.04,0.1,0.62,26.67,12000,50,0.4,0.03
62.13,1.05,1.03,62.3,3.94,3.12,10,1.04,0.79,0.84,0.09,0.69,27.78,12500,60,0.38,0.03
66.44,0.93,0.88,68.48,3.83,3.24,10,0.88,0.79,0.87,0.08,0.69,28.89,13000,70,0.32,0.02
70.53,0.82,0.82,71.8,3.88,3.36,10,0.82,0.83,0.68,0.07,0.76,30.0,13500,80,0.28,0.02
74.1,0.73,0.75,74.04,3.69,3.47,10,0.75,0.84,0.59,0.07,0.79,31.11,14000,90,0.26,0.02
77.17,0.64,0.72,75.46,3.73,3.59,10,0.72,0.85,0.54,0.06,0.81,32.22,14500,100,0.25,0.01
79.91,0.56,0.73,76.72,3.62,3.71,10,0.73,0.86,0.45,0.06,0.84,33.33,15000,110,0.23,0.01
82.89,0.48,0.7,76.78,3.54,3.84,10,0.71,0.86,0.45,0.06,0.84,34.44,15500,120,0.23,0.01
85.76,0.4,0.7,77.9,3.59,3.94,10,0.71,0.87,0.38,0.05,0.86,35.56,16000,130,0.22,0.01
88.47,0.33,0.81,78.5,3.38,4.07,10,0.81,0.88,0.27,0.05,0.9,36.67,16500,140,0.22,0.01
90.84,0.26,0.77,79.24,3.32,4.14,10,0.78,0.88,0.26,0.05,0.9,37.78,17000,150,0.21,0.01
92.77,0.21,0.79,78.96,3.18,4.25,10,0.8,0.88,0.26,0.05,0.9,38.89,17500,160,0.21,0.01
94.49,0.17,0.86,80.44,3.16,4.37,10,0.87,0.89,0.2,0.04,0.92,40.0,18000,170,0.2,0.01
95.3,0.14,0.94,79.54,3.1,4.49,10,0.95,0.89,0.19,0.04,0.93,41.11,18500,180,0.2,0.01
96.4,0.11,0.84,80.22,3.0,4.59,10,0.85,0.89,0.2,0.04,0.92,42.22,19000,190,0.2,0.01
96.94,0.1,0.93,81.04,2.98,4.72,10,0.93,0.89,0.16,0.04,0.94,43.33,19500,200,0.19,0.01
97.4,0.08,0.89,81.08,2.85,4.85,10,0.89,0.89,0.16,0.04,0.94,44.44,20000,210,0.19,0.01
97.74,0.07,0.9,81.28,2.82,4.95,10,0.9,0.89,0.16,0.04,0.94,45.56,20500,220,0.19,0.01
97.88,0.07,0.91,81.92,2.81,5.07,10,0.9,0.89,0.15,0.04,0.94,46.67,21000,230,0.18,0.01
98.16,0.06,0.91,82.28,2.74,5.19,10,0.91,0.89,0.15,0.04,0.94,47.78,21500,240,0.18,0.01
98.23,0.06,0.89,82.56,2.78,5.3,10,0.89,0.89,0.14,0.04,0.95,48.89,22000,250,0.17,0.01
98.47,0.05,0.89,82.3,2.63,5.43,10,0.88,0.89,0.15,0.04,0.94,50.0,22500,260,0.18,0.01
98.58,0.05,0.89,82.74,2.64,5.54,10,0.88,0.89,0.13,0.04,0.95,51.11,23000,270,0.17,0.01
98.71,0.04,0.94,82.58,2.44,5.65,10,0.92,0.89,0.13,0.04,0.95,52.22,23500,280,0.17,0.01
98.83,0.04,0.88,83.22,2.44,5.78,10,0.87,0.89,0.13,0.03,0.95,53.33,24000,290,0.17,0.01
98.91,0.04,0.93,82.82,2.39,5.89,10,0.92,0.89,0.13,0.04,0.95,54.44,24500,300,0.17,0.01
98.99,0.04,0.87,83.0,2.35,6.01,10,0.86,0.89,0.14,0.04,0.95,55.56,25000,310,0.17,0.01
