Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
11.19,2.3,2.3,14.32,4.03,2.48,10,2.3,0.0,2.3,0.18,0.1,22.22,10000,5,0.86,0.5
13.74,2.27,2.11,22.6,4.01,2.6,10,2.11,0.17,2.17,0.17,0.18,23.33,10500,10,0.77,0.26
29.39,1.91,1.73,36.3,3.94,2.71,10,1.74,0.54,1.63,0.15,0.38,24.44,11000,15,0.64,0.12
37.35,1.69,1.58,42.04,3.83,2.83,10,1.59,0.62,1.51,0.14,0.44,25.56,11500,20,0.58,0.09
41.8,1.57,1.6,43.6,3.8,2.94,10,1.61,0.65,1.36,0.13,0.49,26.67,12000,25,0.56,0.1
46.21,1.46,1.45,48.36,3.77,3.08,10,1.45,0.69,1.26,0.13,0.53,27.78,12500,30,0.52,0.07
49.91,1.37,1.31,52.96,3.65,3.19,10,1.31,0.71,1.24,0.12,0.54,28.89,13000,35,0.47,0.06
53.2,1.28,1.19,56.76,3.63,3.3,10,1.19,0.73,1.14,0.11,0.58,30.0,13500,40,0.43,0.04
56.57,1.19,1.11,60.32,3.57,3.41,10,1.11,0.77,1.0,0.1,0.63,31.11,14000,45,0.4,0.04
59.7,1.1,1.01,63.4,3.48,3.55,10,1.01,0.78,0.96,0.1,0.65,32.22,14500,50,0.37,0.03
62.84,1.03,0.97,65.86,3.43,3.66,10,0.97,0.8,0.86,0.09,0.69,33.33,15000,55,0.34,0.02
65.25,0.96,0.88,68.64,3.35,3.78,10,0.88,0.82,0.77,0.08,0.72,34.44,15500,60,0.31,0.02
67.63,0.9,0.85,70.3,3.31,3.9,10,0.84,0.82,0.76,0.08,0.73,35.56,16000,65,0.3,0.02
69.72,0.84,0.81,71.84,3.26,4.02,10,0.81,0.84,0.66,0.07,0.76,36.67,16500,70,0.28,0.02
71.66,0.79,0.76,73.7,3.22,4.11,10,0.76,0.84,0.69,0.07,0.76,37.78,17000,75,0.26,0.02
73.47,0.74,0.72,74.34,3.22,4.24,10,0.73,0.85,0.6,0.07,0.78,38.89,17500,80,0.26,0.01
75.22,0.69,0.68,77.62,3.12,4.35,10,0.68,0.86,0.54,0.06,0.81,40.0,18000,85,0.22,0.01
76.66,0.65,0.73,76.18,3.09,4.47,10,0.72,0.86,0.5,0.06,0.82,41.11,18500,90,0.24,0.02
78.39,0.6,0.66,78.24,3.08,4.58,10,0.66,0.86,0.52,0.06,0.82,42.22,19000,95,0.22,0.01
80.11,0.55,0.68,78.26,2.92,4.7,10,0.68,0.87,0.44,0.05,0.84,43.33,19500,100,0.22,0.01
81.53,0.51,0.64,79.26,2.9,4.83,10,0.64,0.87,0.4,0.05,0.85,44.44,20000,105,0.21,0.01
83.16,0.47,0.65,79.26,2.82,4.94,10,0.65,0.87,0.39,0.05,0.86,45.56,20500,110,0.21,0.01
84.56,0.43,0.66,80.6,2.74,5.07,10,0.66,0.88,0.31,0.04,0.89,46.67,21000,115,0.19,0.01
86.46,0.38,0.62,81.34,2.8,5.17,10,0.62,0.88,0.33,0.05,0.88,47.78,21500,120,0.19,0.01
87.89,0.34,0.64,80.98,2.68,5.29,10,0.64,0.88,0.29,0.04,0.89,48.89,22000,125,0.19,0.01
89.27,0.3,0.69,81.2,2.6,5.43,10,0.68,0.88,0.27,0.04,0.9,50.0,22500,130,0.19,0.01
90.88,0.26,0.66,81.34,2.57,5.53,10,0.66,0.88,0.28,0.04,0.9,51.11,23000,135,0.19,0.01
91.83,0.24,0.67,81.96,2.48,5.66,10,0.66,0.89,0.25,0.04,0.91,52.22,23500,140,0.18,0.01
93.08,0.2,0.75,82.24,2.51,5.76,10,0.75,0.89,0.2,0.04,0.93,53.33,24000,145,0.18,0.01
94.06,0.18,0.73,82.06,2.39,5.89,10,0.73,0.89,0.21,0.04,0.92,54.44,24500,150,0.18,0.01
94.88,0.15,0.76,82.38,2.41,6.0,10,0.76,0.89,0.18,0.04,0.93,55.56,25000,155,0.18,0.01
