Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
15.15,2.26,2.08,23.96,-1.0,2.48,-1,2.08,-1.0,2.08,0.17,0.22,22.22,10000,10,0.76,0.23
32.7,1.81,1.59,40.9,4.04,2.95,10,1.59,0.23000000417232513,1.47,0.14,0.45,26.67,12000,20,0.59,0.1
46.38,1.45,1.36,49.74,3.88,3.43,10,1.36,0.6299999952316284,1.24,0.12,0.54,31.11,14000,30,0.5,0.06
56.35,1.2,1.12,59.2,3.6,3.9,10,1.12,0.699999988079071,1.05,0.1,0.62,35.56,16000,40,0.41,0.05
63.67,1.0,0.97,65.28,3.39,4.37,10,0.97,0.75,0.84,0.09,0.69,40.0,18000,50,0.35,0.03
69.97,0.83,0.84,70.74,3.13,4.83,10,0.84,0.7900000214576721,0.71,0.08,0.74,44.44,20000,60,0.29,0.02
75.33,0.69,0.73,74.6,2.94,5.31,10,0.72,0.8100000023841858,0.63,0.07,0.77,48.89,22000,70,0.25,0.02
79.53,0.58,0.71,76.16,2.75,5.78,10,0.7,0.8299999833106995,0.56,0.06,0.8,53.33,24000,80,0.24,0.02
83.01,0.48,0.65,78.54,2.49,6.25,10,0.64,0.8399999737739563,0.46,0.05,0.84,57.78,26000,90,0.21,0.01
86.27,0.39,0.66,79.36,2.31,6.73,10,0.65,0.8500000238418579,0.37,0.05,0.87,62.22,28000,100,0.21,0.01
89.11,0.31,0.65,79.86,2.04,7.19,10,0.65,0.8600000143051147,0.34,0.05,0.88,66.67,30000,110,0.2,0.01
91.58,0.24,0.65,80.9,1.87,7.67,10,0.63,0.8600000143051147,0.3,0.04,0.89,71.11,32000,120,0.19,0.01
93.66,0.19,0.66,81.88,1.58,8.14,10,0.64,0.8700000047683716,0.24,0.04,0.91,75.56,34000,130,0.18,0.01
95.36,0.14,0.68,83.32,1.45,8.61,10,0.67,0.8799999952316284,0.2,0.04,0.92,80.0,36000,140,0.17,0.01
96.53,0.11,0.79,82.74,1.2,9.08,10,0.77,0.8799999952316284,0.17,0.04,0.94,84.44,38000,150,0.17,0.01
97.26,0.09,0.74,82.98,0.95,9.56,10,0.72,0.8899999856948853,0.18,0.04,0.93,88.89,40000,160,0.17,0.01
97.85,0.07,0.76,83.4,0.71,10.03,10,0.75,0.8799999952316284,0.16,0.04,0.94,93.33,42000,170,0.17,0.01
98.16,0.06,0.73,83.6,0.46,10.5,10,0.71,0.8899999856948853,0.15,0.03,0.94,97.78,44000,180,0.16,0.01
98.73,0.04,0.75,84.06,0.23,10.73,10,0.74,0.8899999856948853,0.16,0.03,0.94,100.0,45000,190,0.16,0.01
