Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
14.17,2.27,2.11,23.82,-1.0,2.48,-1,2.11,-1.0,2.15,0.17,0.18,22.22,10000,10,0.76,0.23
33.03,1.8,1.6,41.7,3.99,2.95,10,1.61,0.17000000178813934,1.53,0.14,0.42,26.67,12000,20,0.58,0.09
46.64,1.44,1.39,51.8,3.8,3.41,10,1.39,0.6000000238418579,1.17,0.12,0.57,31.11,14000,30,0.48,0.07
56.68,1.19,1.09,61.4,3.56,3.88,10,1.09,0.7200000286102295,1.0,0.1,0.63,35.56,16000,40,0.39,0.04
64.55,0.99,0.94,66.62,3.33,4.36,10,0.94,0.7599999904632568,0.86,0.09,0.69,40.0,18000,50,0.33,0.03
70.94,0.82,0.81,71.8,3.22,4.82,10,0.81,0.7900000214576721,0.76,0.08,0.73,44.44,20000,60,0.28,0.02
76.23,0.68,0.68,76.5,2.92,5.3,10,0.69,0.8100000023841858,0.55,0.06,0.8,48.89,22000,70,0.24,0.01
80.29,0.57,0.65,77.06,2.62,5.76,10,0.65,0.8399999737739563,0.53,0.06,0.81,53.33,24000,80,0.23,0.01
83.65,0.47,0.64,78.84,2.45,6.24,10,0.64,0.8399999737739563,0.43,0.05,0.85,57.78,26000,90,0.21,0.01
86.79,0.38,0.57,80.62,2.25,6.7,10,0.57,0.8600000143051147,0.39,0.05,0.86,62.22,28000,100,0.19,0.01
89.45,0.3,0.57,82.82,1.99,7.16,10,0.58,0.8600000143051147,0.29,0.04,0.9,66.67,30000,110,0.17,0.01
91.8,0.24,0.59,82.74,1.8,7.63,10,0.6,0.8700000047683716,0.27,0.04,0.9,71.11,32000,120,0.17,0.01
93.68,0.19,0.57,83.8,1.57,8.12,10,0.58,0.8700000047683716,0.25,0.04,0.91,75.56,34000,130,0.16,0.01
95.32,0.14,0.64,83.78,1.37,8.59,10,0.64,0.8799999952316284,0.2,0.04,0.92,80.0,36000,140,0.16,0.01
96.41,0.11,0.65,84.7,1.11,9.06,10,0.65,0.8799999952316284,0.17,0.03,0.94,84.44,38000,150,0.15,0.01
97.19,0.09,0.65,85.3,0.93,9.52,10,0.65,0.8799999952316284,0.15,0.03,0.94,88.89,40000,160,0.15,0.01
97.75,0.07,0.62,84.92,0.67,10.0,10,0.63,0.8899999856948853,0.17,0.03,0.94,93.33,42000,170,0.15,0.01
98.08,0.06,0.64,84.04,0.47,10.45,10,0.64,0.8799999952316284,0.17,0.03,0.94,97.78,44000,180,0.16,0.01
98.66,0.04,0.69,85.64,0.24,10.71,10,0.69,0.8799999952316284,0.14,0.03,0.95,100.0,45000,190,0.14,0.01
