Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
13.43,2.28,2.09,23.6,4.03,2.48,10,2.09,0.22,2.13,0.17,0.21,22.22,10000,10,0.76,0.27
33.55,1.8,1.68,39.46,3.95,2.6,10,1.68,0.6,1.47,0.14,0.44,23.33,10500,20,0.61,0.11
47.34,1.44,1.41,48.46,3.93,2.71,10,1.41,0.66,1.34,0.13,0.5,24.44,11000,30,0.52,0.07
55.85,1.21,1.22,55.32,3.81,2.83,10,1.23,0.72,1.18,0.11,0.56,25.56,11500,40,0.45,0.05
62.95,1.03,1.12,59.6,3.82,2.95,10,1.13,0.75,1.04,0.1,0.62,26.67,12000,50,0.4,0.04
68.89,0.87,1.02,63.98,3.82,3.07,10,1.03,0.78,0.89,0.09,0.68,27.78,12500,60,0.36,0.04
73.78,0.74,0.93,67.78,3.72,3.19,10,0.93,0.78,0.83,0.08,0.7,28.89,13000,70,0.32,0.03
77.97,0.62,0.92,68.78,3.61,3.29,10,0.93,0.82,0.66,0.08,0.76,30.0,13500,80,0.31,0.03
81.68,0.52,0.82,71.22,3.58,3.42,10,0.83,0.81,0.65,0.07,0.76,31.11,14000,90,0.29,0.03
84.86,0.43,0.87,71.48,3.52,3.54,10,0.88,0.83,0.55,0.07,0.8,32.22,14500,100,0.29,0.02
87.51,0.36,0.83,73.54,3.47,3.66,10,0.84,0.83,0.53,0.06,0.81,33.33,15000,110,0.26,0.02
89.88,0.29,0.83,74.02,3.33,3.77,10,0.84,0.84,0.44,0.06,0.84,34.44,15500,120,0.26,0.02
92.05,0.23,0.93,74.28,3.31,3.88,10,0.93,0.85,0.37,0.06,0.86,35.56,16000,130,0.26,0.02
93.84,0.18,0.85,75.16,3.28,4.0,10,0.86,0.85,0.39,0.06,0.85,36.67,16500,140,0.25,0.02
95.25,0.14,0.95,74.24,3.32,4.13,10,0.95,0.86,0.31,0.05,0.88,37.78,17000,150,0.26,0.02
96.46,0.11,1.01,75.0,3.23,4.25,10,1.01,0.86,0.28,0.05,0.89,38.89,17500,160,0.25,0.02
97.28,0.08,1.03,75.06,3.13,4.36,10,1.03,0.86,0.28,0.05,0.89,40.0,18000,170,0.25,0.02
97.94,0.07,1.16,73.6,3.05,4.48,10,1.16,0.86,0.26,0.06,0.9,41.11,18500,180,0.26,0.02
98.34,0.05,1.24,74.74,3.02,4.58,10,1.24,0.86,0.22,0.05,0.91,42.22,19000,190,0.25,0.02
98.7,0.04,1.2,75.54,2.97,4.71,10,1.2,0.86,0.21,0.05,0.92,43.33,19500,200,0.24,0.02
98.88,0.04,1.24,75.7,2.89,4.82,10,1.23,0.87,0.21,0.05,0.92,44.44,20000,210,0.24,0.02
99.05,0.03,1.25,74.66,2.89,4.94,10,1.25,0.86,0.22,0.05,0.92,45.56,20500,220,0.25,0.02
99.04,0.03,1.22,75.48,2.79,5.07,10,1.22,0.86,0.2,0.05,0.92,46.67,21000,230,0.25,0.02
99.29,0.03,1.2,75.9,2.74,5.19,10,1.2,0.86,0.21,0.05,0.92,47.78,21500,240,0.24,0.02
99.29,0.03,1.19,75.72,2.63,5.3,10,1.19,0.86,0.21,0.05,0.92,48.89,22000,250,0.24,0.02
99.31,0.03,1.23,76.04,2.8,5.46,10,1.23,0.86,0.2,0.05,0.92,50.0,22500,260,0.24,0.02
99.32,0.03,1.17,75.6,2.65,5.61,10,1.17,0.86,0.21,0.05,0.92,51.11,23000,270,0.24,0.02
99.35,0.02,1.17,76.36,2.66,5.73,10,1.17,0.86,0.2,0.05,0.92,52.22,23500,280,0.24,0.02
99.35,0.02,1.14,76.78,2.51,5.85,10,1.14,0.86,0.21,0.05,0.92,53.33,24000,290,0.23,0.02
99.45,0.02,1.16,75.74,2.55,5.97,10,1.15,0.85,0.21,0.05,0.92,54.44,24500,300,0.24,0.02
99.41,0.02,1.14,75.62,2.39,6.09,10,1.14,0.85,0.22,0.05,0.91,55.56,25000,310,0.24,0.02
