Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
11.07,2.3,2.3,12.42,4.07,2.48,10,2.3,0.0,2.3,0.18,0.1,22.22,10000,5,0.88,0.44
17.27,2.21,2.09,24.42,3.94,2.6,10,2.09,0.21,2.13,0.17,0.2,23.33,10500,10,0.76,0.23
28.42,1.94,1.84,30.58,3.88,2.72,10,1.84,0.5,1.72,0.16,0.35,24.44,11000,15,0.69,0.15
38.6,1.67,1.65,39.38,3.85,2.83,10,1.65,0.6,1.52,0.14,0.43,25.56,11500,20,0.61,0.1
45.15,1.5,1.53,43.8,3.83,2.95,10,1.53,0.63,1.42,0.14,0.47,26.67,12000,25,0.56,0.08
51.39,1.34,1.42,47.48,3.81,3.08,10,1.43,0.67,1.3,0.13,0.52,27.78,12500,30,0.53,0.07
56.45,1.21,1.38,49.66,3.71,3.19,10,1.39,0.68,1.23,0.12,0.55,28.89,13000,35,0.5,0.06
61.09,1.09,1.3,53.84,3.7,3.3,10,1.31,0.72,1.11,0.11,0.59,30.0,13500,40,0.46,0.06
65.11,0.98,1.14,58.64,3.58,3.42,10,1.14,0.73,1.06,0.1,0.61,31.11,14000,45,0.41,0.04
69.1,0.87,1.08,60.62,3.55,3.55,10,1.09,0.74,0.98,0.1,0.64,32.22,14500,50,0.39,0.03
72.28,0.79,1.06,62.18,3.45,3.66,10,1.06,0.77,0.87,0.09,0.68,33.33,15000,55,0.38,0.03
74.87,0.71,0.99,64.14,3.44,3.78,10,0.99,0.77,0.84,0.09,0.69,34.44,15500,60,0.36,0.02
77.38,0.65,0.98,65.0,3.34,3.87,10,0.98,0.77,0.81,0.09,0.7,35.56,16000,65,0.35,0.02
79.93,0.58,0.89,68.28,3.3,4.0,10,0.9,0.78,0.78,0.08,0.72,36.67,16500,70,0.32,0.02
81.8,0.52,0.87,68.82,3.21,4.12,10,0.87,0.78,0.74,0.08,0.73,37.78,17000,75,0.31,0.02
83.69,0.47,0.87,69.36,3.23,4.25,10,0.87,0.79,0.69,0.08,0.75,38.89,17500,80,0.31,0.02
85.31,0.43,0.84,71.16,3.13,4.35,10,0.83,0.79,0.61,0.07,0.77,40.0,18000,85,0.29,0.01
86.66,0.38,0.89,69.48,3.09,4.48,10,0.89,0.8,0.6,0.07,0.78,41.11,18500,90,0.31,0.02
88.02,0.35,0.8,72.98,3.02,4.58,10,0.8,0.81,0.58,0.07,0.79,42.22,19000,95,0.27,0.01
89.22,0.31,0.87,71.08,2.96,4.71,10,0.87,0.81,0.54,0.07,0.8,43.33,19500,100,0.29,0.01
90.35,0.28,0.84,72.74,2.86,4.81,10,0.84,0.8,0.5,0.06,0.82,44.44,20000,105,0.27,0.01
91.42,0.25,0.81,74.14,2.99,4.96,10,0.81,0.81,0.44,0.06,0.84,45.56,20500,110,0.26,0.01
92.21,0.22,0.81,74.78,2.84,5.05,10,0.81,0.82,0.43,0.06,0.84,46.67,21000,115,0.25,0.01
93.23,0.2,0.85,74.26,2.74,5.18,10,0.85,0.82,0.4,0.06,0.85,47.78,21500,120,0.26,0.01
93.89,0.18,0.91,73.4,2.73,5.29,10,0.91,0.81,0.39,0.06,0.85,48.89,22000,125,0.27,0.01
94.49,0.16,0.83,74.0,2.61,5.41,10,0.83,0.81,0.41,0.06,0.85,50.0,22500,130,0.26,0.01
95.2,0.14,0.98,73.12,2.57,5.53,10,0.99,0.82,0.35,0.06,0.87,51.11,23000,135,0.27,0.02
95.6,0.13,0.87,74.68,2.5,5.66,10,0.87,0.82,0.37,0.06,0.86,52.22,23500,140,0.25,0.01
96.05,0.12,0.89,74.96,2.45,5.75,10,0.89,0.82,0.32,0.05,0.88,53.33,24000,145,0.25,0.01
96.49,0.11,0.93,76.06,2.42,5.87,10,0.92,0.83,0.29,0.05,0.89,54.44,24500,150,0.24,0.01
97.05,0.09,0.94,75.28,2.38,6.01,10,0.94,0.82,0.32,0.06,0.88,55.56,25000,155,0.25,0.02
