Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
13.84,2.25,2.1,24.58,4.01,2.48,10,2.09,0.19,2.13,0.17,0.2,22.22,10000,10,0.75,0.23
32.39,1.83,1.7,38.86,4.0,2.61,10,1.7,0.59,1.52,0.14,0.42,23.33,10500,20,0.61,0.12
46.09,1.47,1.43,47.5,3.97,2.71,10,1.44,0.67,1.33,0.13,0.51,24.44,11000,30,0.52,0.07
55.06,1.24,1.31,52.38,3.92,2.83,10,1.31,0.72,1.15,0.11,0.58,25.56,11500,40,0.48,0.06
62.53,1.04,1.13,58.48,3.86,2.96,10,1.14,0.74,1.05,0.1,0.62,26.67,12000,50,0.42,0.04
68.7,0.88,1.06,62.38,3.71,3.07,10,1.07,0.76,0.96,0.1,0.65,27.78,12500,60,0.38,0.04
73.52,0.74,0.97,65.52,3.71,3.19,10,0.98,0.79,0.79,0.09,0.71,28.89,13000,70,0.34,0.03
77.98,0.62,0.87,69.28,3.64,3.3,10,0.88,0.8,0.71,0.08,0.74,30.0,13500,80,0.31,0.02
81.61,0.52,0.88,69.22,3.62,3.42,10,0.88,0.8,0.68,0.08,0.75,31.11,14000,90,0.31,0.02
84.73,0.43,0.81,71.94,3.54,3.53,10,0.82,0.81,0.61,0.07,0.78,32.22,14500,100,0.28,0.02
87.39,0.35,0.85,72.54,3.46,3.65,10,0.86,0.82,0.52,0.07,0.81,33.33,15000,110,0.27,0.02
89.77,0.29,0.88,72.86,3.44,3.77,10,0.89,0.84,0.42,0.06,0.84,34.44,15500,120,0.27,0.02
92.01,0.22,0.94,73.3,3.4,3.89,10,0.95,0.85,0.37,0.06,0.86,35.56,16000,130,0.27,0.02
93.68,0.18,0.97,73.3,3.34,4.0,10,0.98,0.85,0.36,0.06,0.87,36.67,16500,140,0.27,0.02
95.25,0.14,1.05,73.52,3.25,4.12,10,1.06,0.85,0.3,0.06,0.88,37.78,17000,150,0.26,0.02
96.53,0.1,1.08,74.36,3.27,4.24,10,1.09,0.86,0.29,0.06,0.89,38.89,17500,160,0.26,0.02
97.4,0.08,1.17,74.58,3.13,4.36,10,1.18,0.86,0.25,0.05,0.9,40.0,18000,170,0.25,0.03
98.1,0.06,1.17,73.26,3.11,4.49,10,1.18,0.85,0.26,0.06,0.9,41.11,18500,180,0.27,0.02
98.67,0.05,1.3,73.94,3.06,4.59,10,1.3,0.86,0.21,0.05,0.92,42.22,19000,190,0.26,0.02
98.87,0.04,1.28,75.22,3.09,4.71,10,1.28,0.87,0.2,0.05,0.92,43.33,19500,200,0.25,0.02
99.13,0.03,1.27,73.98,2.88,4.83,10,1.28,0.85,0.22,0.05,0.91,44.44,20000,210,0.26,0.02
99.16,0.03,1.27,75.16,2.93,4.96,10,1.27,0.86,0.2,0.05,0.92,45.56,20500,220,0.25,0.02
99.24,0.03,1.28,74.4,2.79,5.07,10,1.28,0.86,0.21,0.05,0.92,46.67,21000,230,0.26,0.02
99.35,0.02,1.36,75.54,2.72,5.18,10,1.35,0.87,0.19,0.05,0.93,47.78,21500,240,0.24,0.02
99.49,0.02,1.32,74.94,2.7,5.3,10,1.32,0.86,0.2,0.05,0.92,48.89,22000,250,0.25,0.02
99.47,0.02,1.26,74.54,2.59,5.43,10,1.27,0.86,0.2,0.05,0.92,50.0,22500,260,0.25,0.02
99.36,0.02,1.18,75.24,2.59,5.54,10,1.18,0.86,0.22,0.05,0.92,51.11,23000,270,0.25,0.02
99.55,0.02,1.22,74.98,2.55,5.64,10,1.22,0.85,0.22,0.05,0.92,52.22,23500,280,0.25,0.02
99.46,0.02,1.21,75.88,2.44,5.77,10,1.21,0.86,0.2,0.05,0.92,53.33,24000,290,0.24,0.02
99.5,0.02,1.19,75.54,2.43,5.88,10,1.19,0.85,0.21,0.05,0.92,54.44,24500,300,0.24,0.02
99.45,0.02,1.19,75.36,2.36,6.0,10,1.19,0.85,0.21,0.05,0.92,55.56,25000,310,0.25,0.02
