Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
11.25,2.3,2.3,10.14,4.04,2.47,10,2.3,0.0,2.3,0.18,0.1,22.22,10000,5,0.9,0.48
16.66,2.2,2.1,25.52,3.93,2.6,10,2.1,0.23,2.07,0.17,0.22,23.33,10500,10,0.74,0.23
28.78,1.96,1.83,31.64,3.89,2.72,10,1.83,0.44,1.84,0.16,0.31,24.44,11000,15,0.68,0.16
36.31,1.7,1.66,38.62,3.82,2.83,10,1.66,0.53,1.63,0.15,0.38,25.56,11500,20,0.61,0.12
44.23,1.5,1.54,43.54,3.88,2.95,10,1.53,0.61,1.46,0.14,0.46,26.67,12000,25,0.56,0.08
50.66,1.35,1.41,48.6,3.72,3.08,10,1.41,0.65,1.36,0.13,0.5,27.78,12500,30,0.51,0.07
55.88,1.21,1.34,51.58,3.65,3.19,10,1.34,0.68,1.22,0.12,0.55,28.89,13000,35,0.48,0.06
60.8,1.09,1.23,55.56,3.66,3.29,10,1.23,0.73,1.1,0.11,0.6,30.0,13500,40,0.44,0.05
64.67,0.99,1.15,59.58,3.62,3.42,10,1.14,0.73,1.09,0.11,0.6,31.11,14000,45,0.4,0.04
68.99,0.89,1.09,61.22,3.49,3.55,10,1.09,0.75,0.95,0.1,0.65,32.22,14500,50,0.39,0.04
71.89,0.8,1.03,63.38,3.45,3.67,10,1.03,0.75,0.93,0.09,0.66,33.33,15000,55,0.37,0.03
75.05,0.72,0.98,66.0,3.41,3.76,10,0.98,0.75,0.9,0.09,0.67,34.44,15500,60,0.34,0.03
77.5,0.65,0.94,66.8,3.36,3.88,10,0.94,0.76,0.84,0.09,0.7,35.56,16000,65,0.33,0.02
79.58,0.58,0.93,68.04,3.27,3.99,10,0.92,0.77,0.8,0.08,0.71,36.67,16500,70,0.32,0.03
81.6,0.53,0.88,69.88,3.25,4.13,10,0.87,0.78,0.75,0.08,0.73,37.78,17000,75,0.3,0.03
83.39,0.48,0.87,70.4,3.15,4.24,10,0.87,0.8,0.65,0.07,0.76,38.89,17500,80,0.3,0.02
85.08,0.43,0.81,72.74,3.09,4.35,10,0.81,0.8,0.63,0.07,0.77,40.0,18000,85,0.27,0.02
86.54,0.39,0.84,71.88,3.09,4.48,10,0.83,0.8,0.6,0.07,0.78,41.11,18500,90,0.28,0.02
87.91,0.35,0.81,72.96,3.07,4.6,10,0.81,0.8,0.58,0.07,0.79,42.22,19000,95,0.27,0.02
89.08,0.32,0.81,73.16,2.92,4.7,10,0.81,0.8,0.56,0.07,0.8,43.33,19500,100,0.27,0.02
90.24,0.28,0.8,74.54,2.88,4.82,10,0.79,0.81,0.5,0.06,0.82,44.44,20000,105,0.25,0.02
91.23,0.25,0.87,73.3,2.87,4.93,10,0.86,0.81,0.47,0.06,0.83,45.56,20500,110,0.27,0.02
92.32,0.23,0.83,74.68,2.79,5.05,10,0.83,0.82,0.46,0.06,0.83,46.67,21000,115,0.25,0.02
93.24,0.2,0.88,74.46,2.79,5.18,10,0.87,0.81,0.4,0.06,0.85,47.78,21500,120,0.26,0.02
94.04,0.18,0.9,74.78,2.7,5.3,10,0.89,0.81,0.37,0.06,0.86,48.89,22000,125,0.25,0.02
94.57,0.16,0.89,75.44,2.61,5.4,10,0.88,0.83,0.35,0.05,0.87,50.0,22500,130,0.25,0.02
95.24,0.14,0.9,74.42,2.66,5.53,10,0.89,0.82,0.37,0.06,0.86,51.11,23000,135,0.26,0.02
95.63,0.13,0.91,75.28,2.54,5.65,10,0.9,0.82,0.33,0.05,0.87,52.22,23500,140,0.25,0.02
96.44,0.11,0.99,75.66,2.48,5.78,10,0.98,0.82,0.29,0.05,0.89,53.33,24000,145,0.24,0.02
96.69,0.1,0.93,76.4,2.45,5.87,10,0.92,0.83,0.3,0.05,0.89,54.44,24500,150,0.24,0.02
97.16,0.09,1.0,76.28,2.39,6.01,10,0.99,0.83,0.27,0.05,0.9,55.56,25000,155,0.24,0.02
