Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
12.78,2.28,2.14,18.1,19.89,2.48,10,2.14,0.11,2.19,0.17,0.17,22.22,10000,10,0.82,0.24
29.7,1.88,1.75,37.34,19.6,2.61,10,1.75,0.46,1.76,0.15,0.32,23.33,10500,20,0.63,0.14
42.97,1.55,1.39,49.18,19.47,2.72,10,1.4,0.64,1.45,0.13,0.46,24.44,11000,30,0.51,0.06
50.74,1.35,1.19,55.9,19.05,2.84,10,1.2,0.71,1.23,0.11,0.54,25.56,11500,40,0.44,0.05
57.16,1.19,1.04,63.04,18.82,2.95,10,1.04,0.74,1.14,0.1,0.58,26.67,12000,50,0.37,0.03
62.27,1.06,0.96,65.52,18.53,3.08,10,0.96,0.77,1.0,0.09,0.63,27.78,12500,60,0.34,0.03
66.06,0.96,0.93,67.44,18.22,3.2,10,0.94,0.8,0.85,0.09,0.69,28.89,13000,70,0.33,0.03
70.32,0.84,0.78,72.78,17.91,3.33,10,0.78,0.82,0.76,0.08,0.72,30.0,13500,80,0.27,0.02
73.43,0.74,0.69,75.92,17.74,3.6,10,0.7,0.84,0.65,0.07,0.77,31.11,14000,90,0.24,0.02
76.62,0.66,0.67,76.32,17.42,3.56,10,0.67,0.85,0.6,0.06,0.78,32.22,14500,100,0.24,0.01
79.87,0.57,0.68,76.96,17.11,3.67,10,0.68,0.85,0.55,0.06,0.8,33.33,15000,110,0.23,0.01
83.01,0.48,0.65,78.46,16.79,3.79,10,0.66,0.87,0.42,0.05,0.84,34.44,15500,120,0.22,0.01
86.17,0.39,0.65,78.42,16.5,3.88,10,0.66,0.87,0.4,0.05,0.85,35.56,16000,130,0.22,0.01
88.97,0.32,0.68,79.22,16.3,4.0,10,0.69,0.88,0.35,0.05,0.87,36.67,16500,140,0.21,0.01
91.52,0.25,0.68,79.34,16.0,4.13,10,0.69,0.88,0.33,0.05,0.87,37.78,17000,150,0.21,0.01
93.6,0.19,0.7,80.74,15.71,4.29,10,0.7,0.88,0.28,0.04,0.89,38.89,17500,160,0.19,0.01
95.15,0.15,0.74,80.06,15.46,4.41,10,0.75,0.88,0.27,0.05,0.89,40.0,18000,170,0.2,0.01
96.13,0.12,0.72,80.24,15.12,4.5,10,0.72,0.88,0.27,0.04,0.89,41.11,18500,180,0.2,0.01
97.03,0.1,0.78,80.64,14.92,4.61,10,0.78,0.89,0.23,0.04,0.91,42.22,19000,190,0.19,0.01
97.48,0.08,0.81,80.0,14.56,4.73,10,0.82,0.89,0.24,0.04,0.9,43.33,19500,200,0.2,0.01
97.74,0.07,0.77,81.38,14.32,5.01,10,0.77,0.89,0.23,0.04,0.91,44.44,20000,210,0.19,0.01
98.08,0.06,0.77,81.82,14.05,4.96,10,0.77,0.89,0.22,0.04,0.91,45.56,20500,220,0.18,0.01
98.19,0.06,0.77,81.64,13.7,5.09,10,0.78,0.89,0.21,0.04,0.92,46.67,21000,230,0.18,0.01
98.47,0.05,0.74,81.88,13.42,5.2,10,0.74,0.89,0.21,0.04,0.92,47.78,21500,240,0.18,0.01
98.57,0.05,0.75,82.5,13.17,5.35,10,0.75,0.89,0.21,0.04,0.92,48.89,22000,250,0.18,0.01
98.74,0.04,0.74,81.84,12.8,5.46,10,0.75,0.89,0.21,0.04,0.92,50.0,22500,260,0.18,0.01
98.86,0.04,0.76,81.76,12.6,5.57,10,0.76,0.89,0.2,0.04,0.92,51.11,23000,270,0.18,0.01
98.81,0.04,0.73,82.74,12.33,5.69,10,0.73,0.89,0.2,0.04,0.92,52.22,23500,280,0.17,0.01
98.96,0.04,0.75,82.08,12.06,5.81,10,0.76,0.89,0.21,0.04,0.92,53.33,24000,290,0.18,0.01
99.13,0.03,0.71,83.0,11.76,5.92,10,0.72,0.89,0.2,0.04,0.92,54.44,24500,300,0.17,0.01
99.16,0.03,0.75,82.92,11.48,6.03,10,0.76,0.89,0.18,0.04,0.93,55.56,25000,310,0.17,0.01
