Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
12.09,2.3,2.28,11.44,19.77,2.46,10,2.28,0.0,2.3,0.18,0.11,22.22,10000,5,0.89,0.49
19.41,2.17,2.05,25.48,19.54,2.59,10,2.05,0.22,2.13,0.17,0.2,23.33,10500,10,0.75,0.22
27.92,1.92,1.76,32.84,19.23,2.7,10,1.77,0.45,1.84,0.16,0.3,24.44,11000,15,0.67,0.13
35.19,1.73,1.58,40.92,18.96,2.82,10,1.59,0.55,1.67,0.15,0.37,25.56,11500,20,0.59,0.09
40.89,1.59,1.44,46.42,18.64,2.95,10,1.44,0.63,1.49,0.14,0.43,26.67,12000,25,0.54,0.07
45.16,1.49,1.34,50.66,18.33,3.07,10,1.34,0.65,1.45,0.13,0.46,27.78,12500,30,0.49,0.06
48.57,1.4,1.23,55.06,18.09,3.17,10,1.24,0.69,1.35,0.12,0.5,28.89,13000,35,0.45,0.05
51.95,1.32,1.19,57.5,17.81,3.29,10,1.19,0.71,1.27,0.12,0.54,30.0,13500,40,0.42,0.04
55.26,1.24,1.08,61.12,17.51,3.41,10,1.09,0.74,1.16,0.11,0.57,31.11,14000,45,0.39,0.03
58.55,1.16,0.98,64.28,17.21,3.53,10,0.99,0.78,1.0,0.1,0.63,32.22,14500,50,0.36,0.03
61.09,1.09,0.94,66.52,16.96,3.63,10,0.95,0.79,0.95,0.09,0.65,33.33,15000,55,0.33,0.03
63.87,1.02,0.86,69.56,16.66,3.77,10,0.86,0.79,0.96,0.09,0.65,34.44,15500,60,0.3,0.02
66.37,0.95,0.8,71.62,16.41,3.88,10,0.81,0.82,0.82,0.08,0.7,35.56,16000,65,0.28,0.02
68.37,0.89,0.8,71.46,16.1,3.99,10,0.8,0.82,0.8,0.08,0.71,36.67,16500,70,0.29,0.02
70.23,0.83,0.71,75.1,15.81,4.11,10,0.71,0.84,0.69,0.07,0.75,37.78,17000,75,0.25,0.01
72.4,0.77,0.68,76.4,15.55,4.23,10,0.68,0.84,0.72,0.07,0.74,38.89,17500,80,0.24,0.01
74.3,0.72,0.67,77.1,15.27,4.35,10,0.67,0.85,0.61,0.06,0.78,40.0,18000,85,0.23,0.01
75.99,0.67,0.66,77.4,15.02,4.47,10,0.67,0.86,0.55,0.06,0.8,41.11,18500,90,0.23,0.01
78.33,0.61,0.64,77.76,14.72,4.57,10,0.65,0.86,0.53,0.06,0.81,42.22,19000,95,0.22,0.01
80.57,0.55,0.62,79.08,14.44,4.71,10,0.62,0.87,0.51,0.06,0.81,43.33,19500,100,0.21,0.01
82.62,0.49,0.6,79.8,14.14,4.82,10,0.61,0.87,0.44,0.05,0.84,44.44,20000,105,0.2,0.01
84.58,0.44,0.64,78.52,13.88,4.94,10,0.64,0.87,0.43,0.05,0.84,45.56,20500,110,0.21,0.01
86.46,0.39,0.61,80.0,13.61,5.06,10,0.61,0.88,0.37,0.05,0.86,46.67,21000,115,0.2,0.01
88.62,0.32,0.6,81.2,13.32,5.15,10,0.6,0.88,0.39,0.05,0.86,47.78,21500,120,0.19,0.01
90.42,0.28,0.63,80.68,13.06,5.28,10,0.63,0.88,0.35,0.05,0.87,48.89,22000,125,0.19,0.01
92.22,0.23,0.71,80.66,12.76,5.41,10,0.71,0.88,0.28,0.04,0.89,50.0,22500,130,0.19,0.01
93.15,0.2,0.66,79.76,12.46,5.52,10,0.67,0.88,0.31,0.05,0.88,51.11,23000,135,0.2,0.01
94.54,0.16,0.64,82.1,12.19,5.64,10,0.65,0.89,0.28,0.04,0.89,52.22,23500,140,0.18,0.01
95.27,0.14,0.69,81.34,11.92,5.74,10,0.7,0.89,0.26,0.04,0.9,53.33,24000,145,0.19,0.01
96.13,0.12,0.71,81.26,11.63,5.87,10,0.72,0.89,0.24,0.04,0.91,54.44,24500,150,0.19,0.01
96.63,0.1,0.7,81.74,11.35,5.97,10,0.7,0.89,0.24,0.04,0.91,55.56,25000,155,0.18,0.01
