Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
12.92,2.28,2.16,22.2,-1.0,2.46,-1,2.15,-1.0,2.2,0.17,0.16,22.22,10000,10,0.78,0.24
31.01,1.84,1.59,40.7,19.74,2.94,10,1.58,0.10000000149011612,1.66,0.15,0.37,26.67,12000,20,0.59,0.09
41.64,1.56,1.37,48.64,18.62,3.39,10,1.36,0.5600000023841858,1.43,0.13,0.46,31.11,14000,30,0.51,0.05
50.01,1.35,1.11,59.02,17.53,3.87,10,1.1,0.6499999761581421,1.16,0.11,0.57,35.56,16000,40,0.41,0.03
57.1,1.17,0.97,65.26,16.4,4.35,10,0.97,0.75,0.99,0.1,0.63,40.0,18000,50,0.35,0.03
63.42,1.01,0.78,72.66,15.24,4.82,10,0.78,0.7900000214576721,0.84,0.08,0.69,44.44,20000,60,0.27,0.01
68.87,0.86,0.67,76.54,14.11,5.28,10,0.67,0.8299999833106995,0.76,0.07,0.73,48.89,22000,70,0.23,0.01
73.73,0.73,0.66,76.62,13.05,5.73,10,0.67,0.8399999737739563,0.58,0.06,0.79,53.33,24000,80,0.23,0.01
79.15,0.58,0.56,80.18,11.92,6.23,10,0.56,0.8600000143051147,0.49,0.05,0.82,57.78,26000,90,0.2,0.01
83.81,0.45,0.56,80.52,10.8,6.68,10,0.56,0.8700000047683716,0.4,0.05,0.85,62.22,28000,100,0.19,0.01
88.56,0.32,0.55,82.04,9.66,7.15,10,0.55,0.8799999952316284,0.36,0.04,0.87,66.67,30000,110,0.18,0.01
92.78,0.21,0.59,82.44,8.56,7.62,10,0.6,0.8799999952316284,0.28,0.04,0.89,71.11,32000,120,0.18,0.01
95.65,0.13,0.64,82.66,7.43,8.16,10,0.64,0.8799999952316284,0.23,0.04,0.91,75.56,34000,130,0.17,0.01
97.45,0.08,0.64,83.62,6.32,8.61,10,0.64,0.8799999952316284,0.21,0.04,0.92,80.0,36000,140,0.16,0.01
98.45,0.05,0.71,83.42,5.28,9.08,10,0.71,0.8799999952316284,0.19,0.04,0.92,84.44,38000,150,0.17,0.01
98.92,0.03,0.76,82.32,4.08,9.56,10,0.76,0.8799999952316284,0.19,0.04,0.93,88.89,40000,160,0.18,0.01
99.33,0.02,0.77,82.94,2.94,10.16,10,0.77,0.8600000143051147,0.18,0.04,0.93,93.33,42000,170,0.17,0.01
99.53,0.02,0.74,83.72,1.82,10.64,10,0.74,0.8500000238418579,0.17,0.03,0.93,97.78,44000,180,0.16,0.01
99.66,0.01,0.68,84.48,0.69,10.87,10,0.67,0.8399999737739563,0.17,0.03,0.93,100.0,45000,190,0.16,0.01
