Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
11.71,2.3,2.3,12.92,20.05,2.54,10,2.3,0.0,2.3,0.18,0.1,22.22,10000,5,0.87,0.45
16.29,2.24,2.03,26.0,19.82,2.67,10,2.02,0.24,2.11,0.17,0.21,23.33,10500,10,0.74,0.22
30.77,1.86,1.63,38.52,19.52,2.78,10,1.63,0.53,1.71,0.15,0.35,24.44,11000,15,0.61,0.1
38.41,1.65,1.51,43.44,19.27,2.9,10,1.51,0.58,1.62,0.14,0.39,25.56,11500,20,0.57,0.07
42.18,1.56,1.39,48.72,18.93,3.02,10,1.39,0.63,1.51,0.13,0.44,26.67,12000,25,0.51,0.06
45.47,1.48,1.29,53.44,18.62,3.15,10,1.28,0.67,1.42,0.13,0.48,27.78,12500,30,0.47,0.05
48.99,1.39,1.21,56.14,18.34,3.27,10,1.21,0.72,1.26,0.12,0.54,28.89,13000,35,0.44,0.04
52.47,1.3,1.13,59.38,18.03,3.4,10,1.14,0.72,1.23,0.11,0.55,30.0,13500,40,0.41,0.04
55.94,1.22,1.04,63.38,17.83,3.51,10,1.04,0.75,1.13,0.1,0.59,31.11,14000,45,0.37,0.03
58.83,1.14,0.93,67.34,17.51,3.63,10,0.93,0.77,1.04,0.09,0.63,32.22,14500,50,0.33,0.03
61.42,1.07,0.87,69.86,17.2,3.74,10,0.87,0.79,0.98,0.09,0.65,33.33,15000,55,0.3,0.02
64.0,1.0,0.83,71.28,16.97,3.85,10,0.83,0.8,0.91,0.08,0.67,34.44,15500,60,0.29,0.02
66.31,0.94,0.76,73.08,16.66,3.98,10,0.76,0.82,0.84,0.08,0.7,35.56,16000,65,0.27,0.01
68.18,0.89,0.78,73.1,16.37,4.1,10,0.77,0.82,0.79,0.08,0.72,36.67,16500,70,0.27,0.02
70.2,0.84,0.69,76.08,16.03,4.21,10,0.69,0.84,0.74,0.07,0.74,37.78,17000,75,0.24,0.01
72.01,0.79,0.66,77.34,15.8,4.35,10,0.66,0.84,0.7,0.07,0.75,38.89,17500,80,0.23,0.01
73.98,0.73,0.64,77.82,15.43,4.46,10,0.64,0.85,0.68,0.06,0.76,40.0,18000,85,0.22,0.01
75.54,0.69,0.63,78.56,15.23,4.6,10,0.62,0.85,0.61,0.06,0.78,41.11,18500,90,0.21,0.01
77.54,0.64,0.61,79.08,14.91,4.7,10,0.61,0.86,0.53,0.06,0.81,42.22,19000,95,0.21,0.01
79.47,0.58,0.59,79.6,14.69,4.84,10,0.59,0.87,0.49,0.05,0.82,43.33,19500,100,0.2,0.01
80.94,0.54,0.58,80.6,14.36,4.94,10,0.57,0.87,0.47,0.05,0.83,44.44,20000,105,0.19,0.01
82.78,0.49,0.56,80.92,14.08,5.07,10,0.56,0.87,0.46,0.05,0.83,45.56,20500,110,0.19,0.01
84.39,0.44,0.54,82.04,13.8,5.18,10,0.53,0.88,0.42,0.05,0.84,46.67,21000,115,0.18,0.01
86.38,0.39,0.55,81.62,13.5,5.3,10,0.55,0.88,0.4,0.05,0.85,47.78,21500,120,0.18,0.01
88.1,0.34,0.55,82.16,13.25,5.41,10,0.55,0.88,0.33,0.04,0.87,48.89,22000,125,0.18,0.01
89.52,0.3,0.56,81.78,12.95,5.55,10,0.56,0.88,0.34,0.04,0.87,50.0,22500,130,0.18,0.01
91.09,0.26,0.53,83.28,12.66,5.66,10,0.53,0.88,0.31,0.04,0.88,51.11,23000,135,0.17,0.01
92.03,0.23,0.52,83.16,12.34,5.79,10,0.53,0.88,0.33,0.04,0.88,52.22,23500,140,0.17,0.01
93.34,0.19,0.59,83.38,12.11,5.91,10,0.58,0.89,0.27,0.04,0.89,53.33,24000,145,0.17,0.01
94.3,0.17,0.6,82.56,11.77,6.04,10,0.6,0.89,0.28,0.04,0.89,54.44,24500,150,0.17,0.01
95.08,0.15,0.57,84.14,11.52,6.15,10,0.56,0.89,0.26,0.04,0.9,55.56,25000,155,0.16,0.01
