Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
12.7,2.27,2.11,23.46,-1.0,2.49,-1,2.11,-1.0,2.16,0.17,0.19,22.22,10000,10,0.77,0.28
34.01,1.77,1.57,40.64,19.96,2.99,10,1.57,0.1899999976158142,1.64,0.15,0.38,26.67,12000,20,0.59,0.09
44.95,1.49,1.37,49.3,18.78,3.43,10,1.37,0.5699999928474426,1.39,0.13,0.49,31.11,14000,30,0.51,0.06
52.67,1.29,1.12,59.34,17.69,3.93,10,1.13,0.6600000262260437,1.19,0.11,0.57,35.56,16000,40,0.41,0.04
59.91,1.1,0.98,64.64,16.53,4.37,10,0.99,0.7400000095367432,0.94,0.09,0.66,40.0,18000,50,0.35,0.03
65.83,0.94,0.8,71.26,15.41,4.84,10,0.8,0.7900000214576721,0.83,0.08,0.7,44.44,20000,60,0.29,0.02
70.29,0.82,0.72,74.76,14.28,5.33,10,0.73,0.8199999928474426,0.73,0.07,0.74,48.89,22000,70,0.25,0.02
74.25,0.71,0.68,76.28,13.14,5.79,10,0.69,0.8399999737739563,0.63,0.06,0.78,53.33,24000,80,0.24,0.01
78.29,0.6,0.59,79.6,12.02,6.29,10,0.59,0.8500000238418579,0.51,0.05,0.82,57.78,26000,90,0.2,0.01
82.24,0.5,0.56,80.36,10.9,6.74,10,0.56,0.8700000047683716,0.47,0.05,0.83,62.22,28000,100,0.2,0.01
86.65,0.38,0.54,82.2,9.81,7.19,10,0.55,0.8799999952316284,0.37,0.04,0.86,66.67,30000,110,0.18,0.01
90.63,0.27,0.52,83.62,8.64,7.68,10,0.53,0.8799999952316284,0.31,0.04,0.88,71.11,32000,120,0.16,0.01
94.01,0.18,0.57,82.76,7.48,8.29,10,0.57,0.8799999952316284,0.26,0.04,0.9,75.56,34000,130,0.17,0.01
96.39,0.11,0.62,83.36,6.36,8.75,10,0.62,0.8799999952316284,0.23,0.04,0.91,80.0,36000,140,0.17,0.01
97.79,0.07,0.59,84.16,5.22,9.1,10,0.6,0.8700000047683716,0.24,0.04,0.91,84.44,38000,150,0.16,0.01
98.59,0.04,0.63,84.3,4.15,9.55,10,0.63,0.8700000047683716,0.2,0.04,0.92,88.89,40000,160,0.16,0.01
98.97,0.03,0.63,84.72,3.03,10.05,10,0.63,0.8600000143051147,0.19,0.03,0.93,93.33,42000,170,0.15,0.01
99.34,0.02,0.69,83.62,1.81,10.52,10,0.69,0.8399999737739563,0.18,0.04,0.93,97.78,44000,180,0.16,0.01
99.44,0.02,0.74,82.98,0.67,10.82,10,0.74,0.8399999737739563,0.18,0.04,0.93,100.0,45000,190,0.17,0.01
