Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
13.0,2.27,2.12,23.06,-1.0,2.49,-1,2.13,-1.0,2.2,0.17,0.16,22.22,10000,10,0.77,0.24
31.17,1.84,1.63,40.02,19.93,2.97,10,1.63,0.11999999731779099,1.72,0.15,0.35,26.67,12000,20,0.6,0.1
42.89,1.53,1.37,50.26,18.84,3.43,10,1.37,0.5299999713897705,1.43,0.13,0.46,31.11,14000,30,0.5,0.06
51.1,1.32,1.13,60.26,17.68,3.89,10,1.13,0.6499999761581421,1.18,0.11,0.57,35.56,16000,40,0.4,0.04
58.21,1.14,0.95,66.48,16.56,4.37,10,0.96,0.7300000190734863,0.99,0.09,0.64,40.0,18000,50,0.34,0.03
64.3,0.98,0.82,71.72,15.44,4.85,10,0.82,0.7799999713897705,0.83,0.08,0.7,44.44,20000,60,0.28,0.02
69.6,0.84,0.73,74.6,14.29,5.32,10,0.73,0.8199999928474426,0.67,0.07,0.76,48.89,22000,70,0.25,0.01
73.77,0.72,0.71,75.78,13.16,5.78,10,0.72,0.8399999737739563,0.62,0.06,0.78,53.33,24000,80,0.24,0.02
78.28,0.61,0.62,78.74,12.04,6.28,10,0.62,0.8500000238418579,0.58,0.06,0.8,57.78,26000,90,0.21,0.02
82.47,0.49,0.59,80.84,10.89,6.71,10,0.59,0.8600000143051147,0.41,0.05,0.85,62.22,28000,100,0.19,0.01
86.62,0.38,0.56,82.4,9.77,7.19,10,0.56,0.8799999952316284,0.37,0.04,0.86,66.67,30000,110,0.18,0.01
90.9,0.27,0.55,83.68,8.64,7.68,10,0.55,0.8799999952316284,0.3,0.04,0.89,71.11,32000,120,0.16,0.01
94.26,0.17,0.6,83.88,7.5,8.14,10,0.61,0.8799999952316284,0.25,0.04,0.91,75.56,34000,130,0.16,0.01
96.64,0.1,0.65,83.6,6.36,8.77,10,0.66,0.8799999952316284,0.23,0.04,0.91,80.0,36000,140,0.16,0.01
97.86,0.07,0.69,83.8,5.29,9.08,10,0.69,0.8700000047683716,0.21,0.04,0.92,84.44,38000,150,0.16,0.01
98.67,0.04,0.69,83.66,4.08,9.68,10,0.69,0.8700000047683716,0.21,0.04,0.92,88.89,40000,160,0.16,0.01
99.05,0.03,0.68,82.7,2.96,10.05,10,0.69,0.8500000238418579,0.22,0.04,0.92,93.33,42000,170,0.17,0.01
99.34,0.02,0.7,84.5,1.83,10.5,10,0.7,0.8100000023841858,0.19,0.03,0.93,97.78,44000,180,0.16,0.01
99.46,0.02,0.73,84.12,0.7,10.89,10,0.73,0.7799999713897705,0.18,0.03,0.93,100.0,45000,190,0.16,0.01
