Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
14.38,2.25,2.01,24.42,19.94,2.48,10,2.02,0.31,2.02,0.17,0.25,22.22,10000,10,0.76,0.23
35.07,1.75,1.6,40.02,19.69,2.61,10,1.6,0.54,1.68,0.15,0.36,23.33,10500,20,0.6,0.09
45.2,1.48,1.4,47.94,19.85,3.12,10,1.41,0.64,1.45,0.13,0.46,24.44,11000,30,0.52,0.07
52.5,1.29,1.32,51.88,19.15,3.05,10,1.33,0.67,1.3,0.12,0.52,25.56,11500,40,0.48,0.06
59.36,1.12,1.07,60.72,18.8,2.98,10,1.08,0.74,1.11,0.1,0.6,26.67,12000,50,0.39,0.03
65.49,0.96,0.98,64.46,18.54,3.07,10,0.99,0.75,1.05,0.1,0.63,27.78,12500,60,0.36,0.03
69.96,0.84,0.92,66.52,18.26,3.2,10,0.93,0.78,0.9,0.09,0.68,28.89,13000,70,0.33,0.02
74.39,0.72,0.81,71.2,17.99,3.31,10,0.81,0.81,0.76,0.08,0.73,30.0,13500,80,0.29,0.02
78.07,0.62,0.81,71.08,17.73,3.43,10,0.81,0.82,0.68,0.07,0.75,31.11,14000,90,0.29,0.02
81.27,0.53,0.72,74.7,17.42,3.56,10,0.72,0.83,0.59,0.06,0.78,32.22,14500,100,0.25,0.02
84.11,0.45,0.75,74.84,17.16,3.85,10,0.75,0.83,0.56,0.06,0.8,33.33,15000,110,0.25,0.02
86.7,0.38,0.69,77.04,16.85,3.81,10,0.7,0.85,0.49,0.06,0.82,34.44,15500,120,0.23,0.01
89.46,0.3,0.72,77.12,16.58,3.89,10,0.72,0.85,0.43,0.06,0.84,35.56,16000,130,0.23,0.02
91.78,0.23,0.75,77.88,16.29,4.02,10,0.75,0.86,0.38,0.05,0.86,36.67,16500,140,0.22,0.02
93.85,0.18,0.82,77.14,15.98,4.14,10,0.82,0.86,0.36,0.05,0.86,37.78,17000,150,0.23,0.02
95.31,0.14,0.84,77.38,15.7,4.25,10,0.84,0.87,0.32,0.05,0.88,38.89,17500,160,0.23,0.01
96.31,0.11,0.83,76.64,15.45,4.38,10,0.84,0.86,0.34,0.05,0.87,40.0,18000,170,0.23,0.02
96.89,0.1,0.85,78.22,15.26,4.66,10,0.86,0.87,0.27,0.05,0.89,41.11,18500,180,0.22,0.01
97.72,0.07,1.0,77.42,14.86,4.61,10,1.0,0.87,0.25,0.05,0.9,42.22,19000,190,0.23,0.02
98.0,0.07,0.86,79.14,14.62,4.72,10,0.85,0.87,0.27,0.05,0.9,43.33,19500,200,0.21,0.02
98.43,0.05,0.92,77.98,14.32,4.86,10,0.92,0.87,0.26,0.05,0.9,44.44,20000,210,0.22,0.02
98.6,0.05,0.88,79.36,14.02,4.97,10,0.88,0.88,0.24,0.05,0.9,45.56,20500,220,0.21,0.01
98.73,0.04,0.85,79.86,13.76,5.11,10,0.85,0.88,0.24,0.04,0.9,46.67,21000,230,0.2,0.02
98.86,0.04,0.9,79.48,13.5,5.25,10,0.9,0.88,0.24,0.05,0.91,47.78,21500,240,0.21,0.02
98.99,0.04,0.89,79.78,13.18,5.35,10,0.9,0.87,0.24,0.05,0.9,48.89,22000,250,0.2,0.02
99.06,0.03,0.88,80.64,12.88,5.44,10,0.89,0.88,0.22,0.04,0.92,50.0,22500,260,0.19,0.01
99.09,0.03,0.89,80.02,12.6,5.56,10,0.89,0.88,0.22,0.04,0.91,51.11,23000,270,0.2,0.02
99.12,0.03,0.82,80.36,12.29,5.67,10,0.82,0.88,0.23,0.04,0.91,52.22,23500,280,0.2,0.01
99.11,0.03,0.87,80.66,12.0,5.81,10,0.87,0.88,0.21,0.04,0.92,53.33,24000,290,0.19,0.01
99.14,0.03,0.85,81.08,11.82,5.95,10,0.86,0.88,0.22,0.04,0.92,54.44,24500,300,0.19,0.02
99.24,0.03,0.86,81.36,11.46,6.03,10,0.87,0.88,0.2,0.04,0.92,55.56,25000,310,0.19,0.01
