Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
12.91,2.28,2.16,20.46,-1.0,2.47,-1,2.15,-1.0,2.18,0.17,0.16,22.22,10000,10,0.8,0.26
33.59,1.79,1.61,40.34,19.82,2.93,10,1.61,0.10999999940395355,1.65,0.15,0.38,26.67,12000,20,0.6,0.11
46.85,1.45,1.34,49.68,18.7,3.43,10,1.34,0.5600000023841858,1.36,0.13,0.5,31.11,14000,30,0.5,0.06
55.12,1.23,1.14,57.94,17.66,3.91,10,1.14,0.6700000166893005,1.16,0.11,0.58,35.56,16000,40,0.42,0.04
63.09,1.02,1.03,63.08,16.55,4.39,10,1.03,0.7300000190734863,0.98,0.1,0.64,40.0,18000,50,0.37,0.04
69.71,0.85,0.86,69.6,15.37,4.86,10,0.85,0.7599999904632568,0.89,0.08,0.68,44.44,20000,60,0.3,0.02
75.12,0.7,0.7,74.64,14.32,5.32,10,0.7,0.7799999713897705,0.69,0.07,0.75,48.89,22000,70,0.25,0.01
79.07,0.59,0.66,77.14,13.15,5.81,10,0.66,0.8199999928474426,0.61,0.06,0.78,53.33,24000,80,0.23,0.01
82.48,0.5,0.64,77.98,12.01,6.26,10,0.64,0.8299999833106995,0.53,0.06,0.81,57.78,26000,90,0.22,0.01
85.56,0.41,0.59,80.44,10.94,6.73,10,0.59,0.8399999737739563,0.5,0.05,0.82,62.22,28000,100,0.2,0.01
88.37,0.33,0.62,79.86,9.73,7.36,10,0.62,0.8399999737739563,0.44,0.05,0.84,66.67,30000,110,0.2,0.02
90.79,0.26,0.54,82.92,8.63,7.82,10,0.54,0.8500000238418579,0.34,0.04,0.87,71.11,32000,120,0.17,0.01
92.88,0.21,0.57,82.86,7.49,8.16,10,0.57,0.8700000047683716,0.33,0.04,0.88,75.56,34000,130,0.17,0.01
94.65,0.16,0.59,83.42,6.33,8.63,10,0.59,0.8700000047683716,0.27,0.04,0.9,80.0,36000,140,0.17,0.01
96.0,0.12,0.59,82.54,5.22,9.1,10,0.6,0.8700000047683716,0.28,0.04,0.89,84.44,38000,150,0.17,0.01
97.04,0.09,0.53,84.82,4.1,9.56,10,0.53,0.8700000047683716,0.25,0.04,0.9,88.89,40000,160,0.15,0.01
97.6,0.08,0.63,83.74,2.93,10.04,10,0.63,0.8700000047683716,0.23,0.04,0.91,93.33,42000,170,0.16,0.01
98.0,0.07,0.62,84.8,1.81,10.57,10,0.61,0.8799999952316284,0.21,0.03,0.92,97.78,44000,180,0.15,0.01
98.49,0.05,0.6,85.02,0.68,10.89,10,0.6,0.8799999952316284,0.19,0.03,0.92,100.0,45000,190,0.15,0.01
