Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
12.71,2.29,2.16,25.84,19.85,2.48,10,2.16,0.09,2.24,0.18,0.15,22.22,10000,10,0.74,0.25
33.4,1.81,1.65,39.22,19.57,2.59,10,1.65,0.55,1.64,0.15,0.39,23.33,10500,20,0.61,0.11
46.19,1.47,1.4,48.86,19.29,2.7,10,1.39,0.63,1.47,0.13,0.46,24.44,11000,30,0.51,0.07
55.38,1.23,1.23,55.62,19.01,2.83,10,1.23,0.68,1.31,0.12,0.52,25.56,11500,40,0.44,0.05
62.96,1.03,1.12,60.22,18.74,2.95,10,1.11,0.73,1.15,0.11,0.59,26.67,12000,50,0.4,0.04
69.08,0.86,1.04,63.42,18.43,3.06,10,1.03,0.73,1.04,0.1,0.62,27.78,12500,60,0.37,0.03
74.2,0.72,0.95,66.58,18.14,3.19,10,0.95,0.77,0.93,0.09,0.66,28.89,13000,70,0.33,0.03
78.47,0.61,0.9,68.82,17.89,3.29,10,0.89,0.77,0.87,0.08,0.69,30.0,13500,80,0.31,0.02
82.2,0.51,0.89,69.74,17.62,3.42,10,0.88,0.8,0.72,0.08,0.74,31.11,14000,90,0.3,0.03
84.99,0.42,0.81,72.56,17.33,3.53,10,0.8,0.81,0.64,0.07,0.77,32.22,14500,100,0.27,0.02
87.5,0.35,0.8,73.04,17.03,3.65,10,0.8,0.82,0.59,0.07,0.78,33.33,15000,110,0.27,0.02
89.88,0.28,0.8,74.0,16.73,3.77,10,0.8,0.82,0.55,0.06,0.79,34.44,15500,120,0.26,0.02
91.94,0.23,0.82,73.96,16.46,3.88,10,0.82,0.83,0.5,0.06,0.81,35.56,16000,130,0.26,0.02
93.67,0.18,0.86,74.1,16.19,4.0,10,0.85,0.83,0.47,0.06,0.82,36.67,16500,140,0.26,0.02
95.16,0.14,0.91,73.9,15.92,4.12,10,0.9,0.84,0.4,0.06,0.85,37.78,17000,150,0.26,0.02
96.22,0.11,0.91,74.36,15.62,4.24,10,0.9,0.84,0.4,0.06,0.85,38.89,17500,160,0.26,0.02
97.07,0.09,0.88,74.9,15.34,4.35,10,0.88,0.84,0.39,0.06,0.85,40.0,18000,170,0.25,0.02
97.76,0.07,0.94,75.18,15.03,4.49,10,0.93,0.84,0.35,0.06,0.86,41.11,18500,180,0.25,0.02
98.22,0.06,0.99,75.48,14.78,4.58,10,0.98,0.84,0.33,0.06,0.87,42.22,19000,190,0.25,0.02
98.6,0.05,1.01,74.88,14.52,4.72,10,1.0,0.84,0.33,0.06,0.87,43.33,19500,200,0.25,0.02
98.77,0.04,0.98,75.8,14.21,4.82,10,0.96,0.84,0.33,0.05,0.87,44.44,20000,210,0.24,0.02
98.92,0.04,1.03,75.54,13.92,4.95,10,1.02,0.84,0.31,0.05,0.88,45.56,20500,220,0.24,0.02
99.1,0.03,1.0,75.08,13.66,5.07,10,0.99,0.84,0.34,0.06,0.87,46.67,21000,230,0.25,0.02
99.15,0.03,1.1,74.6,13.39,5.18,10,1.09,0.84,0.3,0.06,0.88,47.78,21500,240,0.25,0.02
99.13,0.03,1.11,75.58,13.09,5.31,10,1.09,0.85,0.28,0.05,0.89,48.89,22000,250,0.24,0.02
99.24,0.03,0.97,75.3,12.82,5.42,10,0.97,0.84,0.33,0.05,0.87,50.0,22500,260,0.25,0.02
99.25,0.03,1.03,74.76,12.53,5.53,10,1.03,0.82,0.33,0.06,0.87,51.11,23000,270,0.25,0.02
99.28,0.03,0.97,75.6,12.24,5.65,10,0.97,0.83,0.32,0.05,0.87,52.22,23500,280,0.24,0.02
99.32,0.03,1.01,75.9,11.96,5.76,10,1.01,0.84,0.3,0.05,0.88,53.33,24000,290,0.24,0.02
99.27,0.03,0.95,76.3,11.69,5.89,10,0.95,0.83,0.32,0.05,0.88,54.44,24500,300,0.24,0.02
99.37,0.02,0.98,75.52,11.4,6.0,10,0.97,0.83,0.31,0.05,0.88,55.56,25000,310,0.24,0.02
