Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
11.69,2.3,2.3,9.14,19.81,2.47,10,2.3,0.0,2.3,0.18,0.1,22.22,10000,5,0.91,0.4
17.01,2.19,2.06,23.56,19.54,2.59,10,2.06,0.23,2.09,0.17,0.23,23.33,10500,10,0.76,0.24
30.64,1.88,1.78,33.16,19.28,2.7,10,1.79,0.4,1.85,0.16,0.28,24.44,11000,15,0.67,0.15
39.95,1.62,1.62,40.5,18.99,2.82,10,1.62,0.58,1.57,0.14,0.41,25.56,11500,20,0.6,0.11
46.23,1.47,1.5,44.36,18.7,2.94,10,1.5,0.57,1.59,0.14,0.41,26.67,12000,25,0.56,0.08
51.91,1.32,1.41,47.78,18.39,3.07,10,1.42,0.62,1.44,0.13,0.46,27.78,12500,30,0.52,0.07
56.41,1.21,1.28,52.04,18.12,3.18,10,1.28,0.65,1.37,0.12,0.49,28.89,13000,35,0.48,0.05
61.04,1.09,1.22,55.16,17.87,3.29,10,1.22,0.7,1.22,0.11,0.55,30.0,13500,40,0.45,0.05
65.15,0.98,1.12,59.0,17.58,3.41,10,1.12,0.7,1.18,0.11,0.56,31.11,14000,45,0.41,0.04
69.0,0.88,1.08,59.96,17.29,3.52,10,1.09,0.7,1.11,0.1,0.59,32.22,14500,50,0.4,0.04
71.99,0.8,1.0,63.84,16.98,3.65,10,1.0,0.73,1.05,0.1,0.61,33.33,15000,55,0.36,0.03
74.81,0.72,0.98,65.0,16.75,3.77,10,0.98,0.72,1.08,0.1,0.61,34.44,15500,60,0.35,0.03
77.08,0.65,0.94,65.9,16.46,3.88,10,0.94,0.76,0.89,0.09,0.68,35.56,16000,65,0.34,0.03
79.3,0.59,0.91,66.92,16.16,3.99,10,0.91,0.74,0.92,0.09,0.67,36.67,16500,70,0.33,0.03
81.3,0.53,0.86,69.82,15.9,4.12,10,0.87,0.76,0.87,0.08,0.69,37.78,17000,75,0.3,0.03
83.03,0.48,0.86,69.24,15.62,4.23,10,0.87,0.76,0.83,0.08,0.7,38.89,17500,80,0.31,0.03
84.74,0.44,0.79,71.88,15.33,4.36,10,0.8,0.78,0.75,0.07,0.73,40.0,18000,85,0.28,0.02
86.24,0.39,0.78,72.94,15.06,4.48,10,0.79,0.77,0.73,0.07,0.73,41.11,18500,90,0.27,0.02
87.56,0.35,0.77,73.42,14.76,4.59,10,0.77,0.79,0.65,0.07,0.76,42.22,19000,95,0.27,0.02
88.87,0.31,0.8,72.7,14.48,4.7,10,0.81,0.78,0.63,0.07,0.77,43.33,19500,100,0.27,0.02
90.0,0.28,0.77,73.74,14.21,4.82,10,0.78,0.8,0.58,0.07,0.78,44.44,20000,105,0.26,0.02
91.2,0.25,0.75,74.44,13.91,4.95,10,0.75,0.8,0.55,0.06,0.8,45.56,20500,110,0.26,0.02
92.16,0.22,0.76,74.28,13.64,5.06,10,0.77,0.8,0.51,0.06,0.81,46.67,21000,115,0.26,0.02
93.42,0.19,0.75,74.86,13.36,5.18,10,0.76,0.8,0.5,0.06,0.81,47.78,21500,120,0.25,0.02
94.05,0.17,0.79,74.74,13.07,5.29,10,0.8,0.81,0.45,0.06,0.83,48.89,22000,125,0.25,0.02
94.79,0.15,0.78,75.38,12.77,5.42,10,0.79,0.81,0.47,0.06,0.83,50.0,22500,130,0.25,0.02
95.49,0.13,0.83,74.66,12.51,5.51,10,0.84,0.82,0.41,0.06,0.84,51.11,23000,135,0.25,0.02
96.07,0.12,0.82,75.36,12.22,5.67,10,0.82,0.81,0.41,0.06,0.84,52.22,23500,140,0.25,0.02
96.55,0.11,0.85,75.12,11.93,5.76,10,0.86,0.8,0.39,0.06,0.85,53.33,24000,145,0.25,0.02
96.96,0.1,0.85,75.3,11.67,5.88,10,0.86,0.81,0.37,0.06,0.86,54.44,24500,150,0.25,0.02
97.21,0.09,0.85,75.62,11.37,6.0,10,0.85,0.81,0.37,0.06,0.86,55.56,25000,155,0.24,0.02
