Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
14.06,2.25,2.09,26.4,-1.0,2.5,-1,2.09,-1.0,2.17,0.17,0.18,22.22,10000,10,0.74,0.23
34.06,1.78,1.61,40.62,19.9,2.96,10,1.61,0.1599999964237213,1.7,0.15,0.35,26.67,12000,20,0.59,0.1
50.27,1.34,1.4,48.96,18.84,3.43,10,1.4,0.5,1.42,0.13,0.47,31.11,14000,30,0.51,0.07
62.69,1.04,1.16,58.08,17.71,3.89,10,1.16,0.6000000238418579,1.14,0.11,0.58,35.56,16000,40,0.42,0.05
72.13,0.8,1.0,64.62,16.56,4.39,10,0.99,0.6899999976158142,1.1,0.1,0.6,40.0,18000,50,0.35,0.03
78.66,0.62,0.89,68.04,15.4,4.84,10,0.89,0.6700000166893005,0.84,0.08,0.69,44.44,20000,60,0.32,0.02
83.2,0.49,0.79,72.24,14.3,5.31,10,0.79,0.7099999785423279,0.77,0.08,0.72,48.89,22000,70,0.28,0.02
86.67,0.39,0.76,73.66,13.18,5.8,10,0.76,0.7200000286102295,0.68,0.07,0.75,53.33,24000,80,0.26,0.02
89.16,0.33,0.71,75.78,12.02,6.26,10,0.7,0.7099999785423279,0.6,0.06,0.78,57.78,26000,90,0.24,0.02
91.21,0.27,0.67,77.42,10.86,6.73,10,0.66,0.7099999785423279,0.53,0.06,0.81,62.22,28000,100,0.23,0.01
92.66,0.22,0.71,76.34,9.75,7.22,10,0.71,0.7099999785423279,0.51,0.06,0.81,66.67,30000,110,0.24,0.02
93.46,0.2,0.72,77.36,8.63,7.66,10,0.71,0.6800000071525574,0.4,0.05,0.85,71.11,32000,120,0.23,0.01
94.29,0.17,0.68,78.72,7.47,8.13,10,0.67,0.7300000190734863,0.37,0.05,0.86,75.56,34000,130,0.21,0.01
94.96,0.15,0.65,79.8,6.34,8.63,10,0.64,0.7099999785423279,0.36,0.05,0.86,80.0,36000,140,0.2,0.01
95.34,0.14,0.65,80.88,5.22,9.07,10,0.64,0.7200000286102295,0.32,0.04,0.88,84.44,38000,150,0.19,0.01
95.76,0.13,0.68,80.76,4.1,9.57,10,0.68,0.7099999785423279,0.28,0.04,0.89,88.89,40000,160,0.19,0.01
96.1,0.12,0.61,82.72,2.95,10.0,10,0.6,0.6600000262260437,0.27,0.04,0.9,93.33,42000,170,0.17,0.01
96.29,0.11,0.65,83.16,1.82,10.49,10,0.64,0.6800000071525574,0.23,0.04,0.91,97.78,44000,180,0.17,0.01
97.1,0.09,0.61,83.62,0.68,10.87,10,0.61,0.7099999785423279,0.23,0.04,0.91,100.0,45000,190,0.16,0.01
