Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
11.75,2.3,2.28,10.32,19.95,2.49,10,2.27,0.0,2.3,0.18,0.12,22.22,10000,10,0.9,0.4
29.74,1.89,1.61,40.52,19.64,2.61,10,1.61,0.53,1.72,0.15,0.35,23.33,10500,20,0.59,0.1
44.39,1.51,1.4,48.34,19.37,2.72,10,1.4,0.61,1.49,0.13,0.43,24.44,11000,30,0.52,0.07
54.41,1.26,1.25,54.38,19.04,2.83,10,1.24,0.69,1.24,0.12,0.55,25.56,11500,40,0.46,0.06
62.22,1.05,1.08,60.88,18.77,2.96,10,1.07,0.71,1.18,0.11,0.57,26.67,12000,50,0.39,0.04
68.68,0.89,0.96,65.36,18.47,3.07,10,0.96,0.75,1.01,0.09,0.63,27.78,12500,60,0.35,0.03
73.54,0.76,1.02,64.2,18.22,3.2,10,1.02,0.75,0.94,0.09,0.66,28.89,13000,70,0.36,0.03
77.95,0.63,0.89,68.26,17.93,3.48,10,0.89,0.76,0.87,0.08,0.69,30.0,13500,80,0.32,0.03
81.62,0.52,0.84,70.52,17.6,3.45,10,0.84,0.78,0.76,0.08,0.73,31.11,14000,90,0.29,0.03
84.97,0.43,0.8,71.14,17.35,3.54,10,0.81,0.81,0.63,0.07,0.77,32.22,14500,100,0.29,0.02
88.01,0.34,0.78,73.06,17.06,3.66,10,0.78,0.81,0.6,0.07,0.78,33.33,15000,110,0.27,0.02
90.66,0.26,0.86,72.92,16.77,3.78,10,0.86,0.83,0.5,0.06,0.81,34.44,15500,120,0.27,0.02
93.15,0.2,0.88,73.74,16.5,3.9,10,0.89,0.84,0.43,0.06,0.84,35.56,16000,130,0.26,0.02
94.98,0.15,0.88,74.46,16.25,4.01,10,0.89,0.84,0.42,0.06,0.84,36.67,16500,140,0.26,0.02
96.52,0.1,0.99,74.42,15.92,4.14,10,0.99,0.85,0.35,0.06,0.87,37.78,17000,150,0.26,0.02
97.68,0.07,1.05,74.04,15.72,4.26,10,1.06,0.85,0.32,0.06,0.87,38.89,17500,160,0.26,0.02
98.29,0.05,1.09,74.22,15.36,4.38,10,1.09,0.85,0.31,0.06,0.88,40.0,18000,170,0.26,0.03
98.8,0.04,1.12,73.68,15.1,4.49,10,1.12,0.85,0.3,0.06,0.88,41.11,18500,180,0.26,0.03
98.98,0.03,1.15,73.72,14.83,4.6,10,1.16,0.86,0.3,0.06,0.88,42.22,19000,190,0.26,0.03
99.25,0.03,1.16,74.82,14.52,4.72,10,1.17,0.86,0.26,0.05,0.9,43.33,19500,200,0.25,0.02
99.34,0.02,1.23,72.06,14.24,4.84,10,1.23,0.84,0.29,0.06,0.88,44.44,20000,210,0.28,0.02
99.33,0.02,1.24,74.0,13.99,4.98,10,1.23,0.86,0.27,0.06,0.89,45.56,20500,220,0.26,0.03
99.34,0.03,1.14,74.36,13.72,5.1,10,1.14,0.85,0.28,0.05,0.89,46.67,21000,230,0.26,0.03
99.54,0.02,1.09,74.96,13.39,5.19,10,1.09,0.85,0.28,0.05,0.89,47.78,21500,240,0.25,0.02
99.51,0.02,1.19,74.64,13.12,5.31,10,1.17,0.85,0.27,0.05,0.89,48.89,22000,250,0.25,0.03
99.51,0.02,1.19,75.54,12.82,5.43,10,1.18,0.85,0.25,0.05,0.9,50.0,22500,260,0.24,0.03
99.54,0.02,1.09,75.54,12.55,5.55,10,1.1,0.85,0.27,0.05,0.89,51.11,23000,270,0.24,0.03
99.52,0.02,1.12,75.82,12.26,5.68,10,1.12,0.85,0.26,0.05,0.9,52.22,23500,280,0.24,0.02
99.51,0.02,1.15,74.66,11.98,5.8,10,1.13,0.84,0.26,0.05,0.9,53.33,24000,290,0.25,0.02
99.45,0.02,1.08,75.62,11.72,5.91,10,1.08,0.84,0.27,0.05,0.9,54.44,24500,300,0.24,0.02
99.45,0.02,1.11,76.16,11.42,6.02,10,1.1,0.84,0.26,0.05,0.9,55.56,25000,310,0.24,0.02
