Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
10.11,2.32,2.31,11.04,4.54,1.8,10,2.31,0.01,2.3,0.18,0.12,22.22,10000,10,0.89,0.49
13.1,2.26,2.13,18.04,4.56,1.85,10,2.12,0.24,2.08,0.17,0.2,23.33,10500,20,0.82,0.28
22.92,1.93,1.84,26.9,4.33,1.92,10,1.83,0.45,1.82,0.16,0.28,24.44,11000,30,0.73,0.14
31.31,1.76,1.67,36.22,4.38,1.98,10,1.66,0.55,1.63,0.15,0.36,25.56,11500,40,0.64,0.11
38.11,1.6,1.52,42.0,4.22,2.1,10,1.51,0.64,1.43,0.14,0.43,26.67,12000,50,0.58,0.08
44.5,1.47,1.36,49.62,4.3,2.17,10,1.34,0.7,1.27,0.13,0.5,27.78,12500,60,0.5,0.06
51.54,1.31,1.22,56.36,4.15,2.21,10,1.2,0.75,1.13,0.11,0.57,28.89,13000,70,0.44,0.04
57.66,1.16,1.21,57.24,4.15,2.3,10,1.19,0.77,0.98,0.1,0.63,30.0,13500,80,0.43,0.04
63.61,1.01,1.2,60.52,4.2,2.4,10,1.17,0.8,0.78,0.09,0.7,31.11,14000,90,0.39,0.04
69.15,0.86,1.15,63.12,3.95,2.49,10,1.12,0.82,0.71,0.09,0.73,32.22,14500,100,0.37,0.04
74.9,0.71,1.25,62.56,4.02,2.59,10,1.22,0.84,0.59,0.08,0.78,33.33,15000,110,0.37,0.04
80.69,0.55,1.51,64.18,3.88,2.65,10,1.47,0.86,0.43,0.08,0.83,34.44,15500,120,0.36,0.04
86.41,0.4,1.57,64.48,3.92,2.79,10,1.53,0.87,0.38,0.08,0.85,35.56,16000,130,0.36,0.03
90.64,0.3,1.68,63.32,3.74,2.86,10,1.65,0.87,0.33,0.08,0.87,36.67,16500,140,0.37,0.03
93.93,0.21,1.95,64.78,3.76,2.92,10,1.9,0.88,0.26,0.07,0.9,37.78,17000,150,0.35,0.04
95.59,0.16,2.02,64.58,3.71,3.0,10,1.98,0.88,0.24,0.07,0.91,38.89,17500,160,0.35,0.04
96.21,0.14,1.92,67.06,3.44,3.07,10,1.87,0.88,0.23,0.07,0.91,40.0,18000,170,0.33,0.04
97.05,0.12,2.02,67.12,3.65,3.18,10,1.97,0.89,0.21,0.07,0.92,41.11,18500,180,0.33,0.03
97.5,0.11,1.98,68.22,3.38,3.2,10,1.94,0.89,0.2,0.07,0.92,42.22,19000,190,0.32,0.03
97.7,0.1,2.16,66.92,3.34,3.31,10,2.09,0.89,0.19,0.07,0.93,43.33,19500,200,0.33,0.03
98.09,0.09,2.02,68.2,3.22,3.39,10,1.97,0.89,0.19,0.07,0.92,44.44,20000,210,0.32,0.04
97.78,0.09,1.94,67.6,3.18,3.49,10,1.9,0.89,0.2,0.07,0.92,45.56,20500,220,0.32,0.03
98.02,0.09,1.89,68.24,3.04,3.58,10,1.86,0.89,0.2,0.07,0.92,46.67,21000,230,0.32,0.03
98.54,0.07,1.95,68.16,3.06,3.63,10,1.91,0.89,0.2,0.07,0.92,47.78,21500,240,0.32,0.04
98.45,0.07,1.92,69.0,3.01,3.71,10,1.88,0.89,0.2,0.06,0.92,48.89,22000,250,0.31,0.03
98.61,0.07,1.93,68.72,3.0,3.78,10,1.89,0.89,0.19,0.06,0.92,50.0,22500,260,0.31,0.03
98.62,0.07,1.88,69.28,2.92,3.87,10,1.84,0.89,0.19,0.06,0.92,51.11,23000,270,0.31,0.03
98.55,0.07,1.85,69.32,2.88,3.99,10,1.81,0.89,0.19,0.06,0.92,52.22,23500,280,0.31,0.03
98.74,0.06,1.84,69.04,2.89,4.03,10,1.81,0.89,0.2,0.06,0.92,53.33,24000,290,0.31,0.03
98.74,0.06,1.83,69.76,2.66,4.11,10,1.8,0.89,0.19,0.06,0.93,54.44,24500,300,0.3,0.03
98.75,0.06,1.85,69.12,2.65,4.19,10,1.81,0.89,0.2,0.06,0.92,55.56,25000,310,0.31,0.03
