Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
9.95,2.33,2.31,10.8,-1.0,1.61,-1,2.31,-1.0,2.3,0.18,0.12,22.22,10000,10,0.89,0.5
15.54,2.19,1.92,24.48,4.05,1.91,10,1.91,0.009999999776482582,1.96,0.17,0.23,26.67,12000,20,0.76,0.17
26.25,1.87,1.79,29.88,4.08,2.25,10,1.79,0.3499999940395355,1.67,0.15,0.34,31.11,14000,30,0.7,0.14
35.79,1.68,1.46,43.18,3.77,2.55,10,1.45,0.5199999809265137,1.48,0.14,0.43,35.56,16000,40,0.57,0.07
43.78,1.5,1.28,51.14,3.47,2.85,10,1.27,0.6399999856948853,1.29,0.12,0.5,40.0,18000,50,0.49,0.05
52.07,1.3,1.13,59.58,3.33,3.15,10,1.11,0.7200000286102295,1.02,0.1,0.61,44.44,20000,60,0.4,0.03
59.41,1.12,0.99,64.7,3.05,3.41,10,0.97,0.7900000214576721,0.84,0.09,0.68,48.89,22000,70,0.35,0.03
65.94,0.94,0.98,67.22,2.71,3.68,10,0.96,0.8299999833106995,0.65,0.08,0.76,53.33,24000,80,0.33,0.02
73.2,0.75,1.01,69.22,2.61,4.01,10,0.98,0.8500000238418579,0.52,0.07,0.8,57.78,26000,90,0.31,0.02
80.68,0.55,1.19,69.32,2.3,4.38,10,1.15,0.8600000143051147,0.41,0.07,0.84,62.22,28000,100,0.31,0.03
87.3,0.38,1.2,70.7,2.11,4.65,10,1.16,0.8700000047683716,0.35,0.06,0.87,66.67,30000,110,0.29,0.03
92.09,0.25,1.33,71.78,1.84,4.92,10,1.29,0.8700000047683716,0.27,0.06,0.9,71.11,32000,120,0.28,0.03
94.92,0.18,1.45,72.68,1.62,5.16,10,1.4,0.8700000047683716,0.22,0.06,0.92,75.56,34000,130,0.27,0.03
96.75,0.13,1.44,72.94,1.46,5.57,10,1.4,0.8700000047683716,0.21,0.06,0.92,80.0,36000,140,0.27,0.03
97.62,0.1,1.56,73.24,1.15,5.88,10,1.51,0.8700000047683716,0.18,0.05,0.93,84.44,38000,150,0.27,0.02
98.43,0.07,1.68,72.6,0.93,6.23,10,1.63,0.8700000047683716,0.18,0.06,0.93,88.89,40000,160,0.27,0.03
98.61,0.06,1.56,73.58,0.81,6.35,10,1.52,0.8700000047683716,0.18,0.05,0.93,93.33,42000,170,0.26,0.03
99.2,0.05,1.63,73.92,0.49,6.69,10,1.57,0.8700000047683716,0.16,0.05,0.94,97.78,44000,180,0.26,0.03
99.18,0.04,1.67,71.78,0.23,6.82,10,1.63,0.8700000047683716,0.19,0.06,0.93,100.0,45000,190,0.28,0.03
