Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
10.07,2.32,2.31,10.8,4.04,1.6,10,2.31,0.01,2.3,0.18,0.12,22.22,10000,10,0.89,0.49
10.76,2.3,2.26,14.08,4.0,1.66,10,2.26,0.02,2.28,0.18,0.13,23.33,10500,20,0.86,0.39
22.19,2.0,1.82,29.02,3.89,1.72,10,1.81,0.44,1.83,0.16,0.27,24.44,11000,30,0.71,0.15
32.27,1.75,1.65,37.72,3.92,1.79,10,1.63,0.57,1.59,0.15,0.39,25.56,11500,40,0.62,0.1
39.97,1.58,1.46,45.44,3.87,1.9,10,1.44,0.62,1.49,0.14,0.42,26.67,12000,50,0.55,0.07
46.04,1.45,1.4,48.16,3.93,1.97,10,1.37,0.71,1.21,0.12,0.54,27.78,12500,60,0.52,0.06
52.71,1.29,1.24,55.02,3.69,2.05,10,1.22,0.73,1.12,0.11,0.57,28.89,13000,70,0.45,0.04
58.43,1.14,1.15,59.7,3.61,2.11,10,1.13,0.78,0.95,0.1,0.64,30.0,13500,80,0.4,0.04
64.09,0.99,1.09,63.32,3.57,2.19,10,1.06,0.81,0.81,0.09,0.69,31.11,14000,90,0.37,0.03
69.56,0.85,1.17,62.84,3.46,2.25,10,1.14,0.83,0.7,0.09,0.73,32.22,14500,100,0.37,0.04
75.22,0.69,1.3,63.56,3.51,2.33,10,1.27,0.85,0.53,0.08,0.8,33.33,15000,110,0.36,0.04
80.56,0.55,1.3,66.06,3.43,2.41,10,1.28,0.86,0.47,0.07,0.82,34.44,15500,120,0.34,0.03
85.91,0.42,1.48,65.92,3.38,2.46,10,1.45,0.87,0.37,0.07,0.86,35.56,16000,130,0.34,0.04
89.85,0.32,1.55,65.82,3.31,2.54,10,1.52,0.87,0.34,0.07,0.87,36.67,16500,140,0.34,0.04
93.12,0.23,1.68,68.0,3.23,2.65,10,1.65,0.88,0.27,0.07,0.9,37.78,17000,150,0.32,0.03
94.91,0.18,1.82,66.48,3.17,2.73,10,1.77,0.88,0.25,0.07,0.9,38.89,17500,160,0.34,0.04
96.02,0.15,1.86,68.14,3.14,2.78,10,1.82,0.88,0.24,0.07,0.91,40.0,18000,170,0.32,0.04
96.84,0.13,1.86,68.02,3.08,2.86,10,1.82,0.88,0.21,0.07,0.92,41.11,18500,180,0.32,0.03
97.47,0.11,1.89,68.5,3.05,2.89,10,1.84,0.88,0.2,0.06,0.92,42.22,19000,190,0.32,0.03
97.58,0.1,1.88,68.88,2.97,2.98,10,1.83,0.89,0.2,0.06,0.92,43.33,19500,200,0.31,0.03
97.89,0.09,1.83,69.1,2.86,3.13,10,1.79,0.89,0.2,0.06,0.92,44.44,20000,210,0.31,0.03
98.13,0.08,1.84,70.74,2.98,3.14,10,1.79,0.89,0.18,0.06,0.93,45.56,20500,220,0.29,0.03
98.07,0.09,1.79,70.16,2.93,3.27,10,1.75,0.89,0.2,0.06,0.92,46.67,21000,230,0.3,0.03
98.31,0.08,1.78,70.86,2.97,3.31,10,1.74,0.89,0.19,0.06,0.93,47.78,21500,240,0.29,0.03
98.34,0.08,1.85,69.9,3.09,3.5,10,1.81,0.89,0.18,0.06,0.93,48.89,22000,250,0.3,0.03
98.4,0.07,1.72,71.16,2.64,3.5,10,1.69,0.89,0.19,0.06,0.93,50.0,22500,260,0.29,0.03
98.53,0.07,1.69,71.54,2.64,3.47,10,1.66,0.89,0.19,0.06,0.93,51.11,23000,270,0.28,0.03
98.34,0.08,1.65,71.94,2.5,3.58,10,1.62,0.89,0.19,0.06,0.93,52.22,23500,280,0.28,0.03
98.61,0.07,1.72,71.28,2.48,3.64,10,1.68,0.89,0.18,0.06,0.93,53.33,24000,290,0.29,0.03
98.74,0.06,1.7,71.62,2.42,3.69,10,1.66,0.89,0.19,0.06,0.93,54.44,24500,300,0.28,0.03
98.71,0.06,1.65,71.88,2.38,3.78,10,1.62,0.89,0.19,0.06,0.93,55.56,25000,310,0.28,0.03
