Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
10.03,2.33,2.32,9.38,4.21,1.61,10,2.32,0.02,2.29,0.18,0.13,22.22,10000,5,0.91,0.51
10.22,2.32,2.31,10.78,4.07,1.7,10,2.31,0.01,2.3,0.18,0.12,23.33,10500,10,0.89,0.5
10.56,2.31,2.29,12.48,3.92,1.79,10,2.29,0.01,2.3,0.18,0.12,24.44,11000,15,0.88,0.45
15.6,2.22,2.08,19.4,3.97,1.84,10,2.08,0.2,2.15,0.17,0.18,25.56,11500,20,0.81,0.23
21.52,2.0,1.87,25.92,3.98,1.97,10,1.86,0.37,1.91,0.16,0.25,26.67,12000,25,0.74,0.16
26.01,1.89,1.79,30.18,3.99,2.03,10,1.77,0.45,1.83,0.16,0.28,27.78,12500,30,0.7,0.13
31.43,1.8,1.67,36.48,3.79,2.19,10,1.65,0.52,1.7,0.15,0.35,28.89,13000,35,0.64,0.1
36.78,1.67,1.52,41.46,3.84,2.14,10,1.5,0.6,1.57,0.14,0.39,30.0,13500,40,0.59,0.08
40.08,1.59,1.44,44.8,3.85,2.22,10,1.42,0.64,1.47,0.13,0.44,31.11,14000,45,0.55,0.06
43.53,1.51,1.34,48.88,3.58,2.32,10,1.33,0.67,1.39,0.13,0.46,32.22,14500,50,0.51,0.06
46.71,1.43,1.29,51.26,3.62,2.44,10,1.27,0.71,1.28,0.12,0.51,33.33,15000,55,0.49,0.05
50.29,1.35,1.22,55.06,3.48,2.48,10,1.19,0.74,1.15,0.11,0.56,34.44,15500,60,0.45,0.04
53.61,1.26,1.15,58.4,3.44,2.51,10,1.12,0.76,1.06,0.11,0.6,35.56,16000,65,0.42,0.03
56.94,1.18,1.12,60.24,3.39,2.65,10,1.09,0.79,0.95,0.1,0.64,36.67,16500,70,0.4,0.04
59.88,1.11,1.06,62.76,3.38,2.71,10,1.04,0.8,0.92,0.09,0.66,37.78,17000,75,0.37,0.03
62.78,1.04,1.02,63.74,3.38,2.81,10,1.0,0.8,0.92,0.09,0.66,38.89,17500,80,0.36,0.03
65.45,0.96,1.04,64.62,3.21,2.86,10,1.01,0.82,0.78,0.09,0.71,40.0,18000,85,0.35,0.03
68.26,0.89,1.1,63.5,3.23,2.95,10,1.07,0.83,0.69,0.08,0.74,41.11,18500,90,0.36,0.03
71.5,0.8,1.1,65.62,3.32,3.0,10,1.08,0.84,0.63,0.08,0.76,42.22,19000,95,0.34,0.03
74.55,0.72,1.06,67.16,3.04,3.06,10,1.03,0.85,0.56,0.08,0.78,43.33,19500,100,0.33,0.03
77.52,0.64,1.11,67.42,2.95,3.16,10,1.08,0.86,0.52,0.07,0.8,44.44,20000,105,0.33,0.03
80.69,0.56,1.18,68.3,3.06,3.17,10,1.14,0.87,0.45,0.07,0.83,45.56,20500,110,0.32,0.03
83.84,0.47,1.28,68.0,2.83,3.28,10,1.24,0.87,0.39,0.07,0.85,46.67,21000,115,0.32,0.03
86.7,0.4,1.4,67.7,2.88,3.29,10,1.36,0.87,0.37,0.07,0.86,47.78,21500,120,0.32,0.03
89.47,0.33,1.43,67.84,2.8,3.42,10,1.39,0.88,0.31,0.07,0.88,48.89,22000,125,0.32,0.03
91.74,0.27,1.5,67.94,2.78,3.52,10,1.46,0.88,0.29,0.07,0.89,50.0,22500,130,0.32,0.03
92.85,0.24,1.57,68.74,2.59,3.53,10,1.53,0.88,0.27,0.07,0.89,51.11,23000,135,0.31,0.03
94.15,0.21,1.58,68.72,2.57,3.56,10,1.55,0.88,0.26,0.07,0.9,52.22,23500,140,0.31,0.03
95.17,0.18,1.58,69.56,2.5,3.68,10,1.53,0.88,0.24,0.06,0.91,53.33,24000,145,0.3,0.03
95.88,0.16,1.64,69.84,2.45,3.75,10,1.61,0.89,0.23,0.06,0.91,54.44,24500,150,0.3,0.03
96.22,0.15,1.64,69.74,2.33,3.86,10,1.6,0.89,0.22,0.06,0.91,55.56,25000,155,0.3,0.03
