Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
10.12,2.32,2.31,9.84,-1.0,1.64,-1,2.31,-1.0,2.3,0.18,0.12,22.22,10000,10,0.9,0.5
14.28,2.23,2.03,21.08,4.23,1.94,10,2.02,0.009999999776482582,2.06,0.17,0.2,26.67,12000,20,0.79,0.22
25.55,1.88,1.73,32.18,4.0,2.21,10,1.72,0.2800000011920929,1.77,0.16,0.3,31.11,14000,30,0.68,0.11
36.12,1.65,1.48,43.74,3.63,2.55,10,1.46,0.47999998927116394,1.57,0.14,0.39,35.56,16000,40,0.56,0.07
44.99,1.45,1.32,51.62,3.44,2.82,10,1.3,0.5899999737739563,1.33,0.12,0.5,40.0,18000,50,0.48,0.05
53.9,1.24,1.17,58.18,3.27,3.16,10,1.16,0.6899999976158142,1.09,0.11,0.59,44.44,20000,60,0.42,0.04
61.47,1.06,1.05,63.26,3.0,3.4,10,1.03,0.75,0.83,0.09,0.69,48.89,22000,70,0.37,0.03
67.98,0.89,1.02,65.18,2.82,3.76,10,1.0,0.8100000023841858,0.73,0.08,0.73,53.33,24000,80,0.35,0.03
73.89,0.73,1.02,68.28,2.64,4.04,10,0.99,0.8299999833106995,0.59,0.07,0.78,57.78,26000,90,0.32,0.03
80.24,0.57,1.13,68.88,2.33,4.3,10,1.1,0.8500000238418579,0.43,0.07,0.84,62.22,28000,100,0.31,0.03
86.32,0.41,1.29,68.8,2.08,4.64,10,1.26,0.8700000047683716,0.35,0.07,0.87,66.67,30000,110,0.31,0.03
91.15,0.28,1.4,70.44,1.83,4.86,10,1.36,0.8700000047683716,0.27,0.06,0.9,71.11,32000,120,0.3,0.03
94.14,0.2,1.53,71.46,1.59,5.28,10,1.48,0.8799999952316284,0.23,0.06,0.91,75.56,34000,130,0.29,0.03
96.17,0.14,1.61,72.32,1.37,5.52,10,1.55,0.8799999952316284,0.2,0.06,0.92,80.0,36000,140,0.28,0.03
97.52,0.1,1.6,71.8,1.22,5.82,10,1.56,0.8799999952316284,0.2,0.06,0.92,84.44,38000,150,0.28,0.04
98.07,0.08,1.65,72.24,0.98,6.06,10,1.61,0.8700000047683716,0.19,0.06,0.93,88.89,40000,160,0.28,0.03
98.55,0.07,1.77,71.58,0.67,6.41,10,1.7,0.8700000047683716,0.17,0.06,0.93,93.33,42000,170,0.28,0.03
99.13,0.05,1.73,72.98,0.47,6.75,10,1.67,0.8700000047683716,0.17,0.06,0.93,97.78,44000,180,0.27,0.03
99.07,0.05,1.7,72.74,0.23,6.91,10,1.64,0.8500000238418579,0.17,0.06,0.93,100.0,45000,190,0.27,0.03
