Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
9.94,2.32,2.31,9.84,-1.0,1.62,-1,2.31,-1.0,2.3,0.18,0.12,22.22,10000,10,0.9,0.5
11.12,2.3,2.23,15.2,4.23,1.91,10,2.23,0.009999999776482582,2.25,0.18,0.15,26.67,12000,20,0.85,0.35
22.98,1.97,1.81,29.44,3.95,2.21,10,1.8,0.05999999865889549,1.85,0.16,0.26,31.11,14000,30,0.71,0.13
32.74,1.73,1.56,41.14,3.67,2.5,10,1.54,0.4300000071525574,1.56,0.14,0.39,35.56,16000,40,0.59,0.08
42.86,1.5,1.37,50.16,3.46,2.8,10,1.35,0.5899999737739563,1.37,0.13,0.48,40.0,18000,50,0.5,0.06
52.09,1.29,1.18,56.82,3.25,3.1,10,1.16,0.6700000166893005,1.06,0.11,0.6,44.44,20000,60,0.43,0.04
59.83,1.1,1.05,63.12,2.96,3.39,10,1.03,0.7599999904632568,0.91,0.09,0.66,48.89,22000,70,0.37,0.03
66.03,0.94,1.0,66.1,2.81,3.69,10,0.98,0.800000011920929,0.78,0.08,0.71,53.33,24000,80,0.34,0.03
72.49,0.77,1.01,67.52,2.49,4.03,10,0.99,0.8299999833106995,0.63,0.08,0.76,57.78,26000,90,0.32,0.03
79.21,0.59,1.05,69.46,2.32,4.27,10,1.02,0.8500000238418579,0.49,0.07,0.82,62.22,28000,100,0.31,0.02
85.47,0.43,1.22,70.36,1.99,4.58,10,1.2,0.8700000047683716,0.35,0.06,0.87,66.67,30000,110,0.3,0.03
90.35,0.31,1.4,69.3,1.86,4.89,10,1.36,0.8700000047683716,0.29,0.06,0.89,71.11,32000,120,0.31,0.03
93.92,0.21,1.64,68.92,1.65,5.19,10,1.61,0.8700000047683716,0.24,0.06,0.91,75.56,34000,130,0.31,0.03
95.99,0.15,1.59,71.06,1.4,5.4,10,1.56,0.8700000047683716,0.22,0.06,0.92,80.0,36000,140,0.29,0.03
97.34,0.11,1.63,72.5,1.17,5.73,10,1.59,0.8700000047683716,0.19,0.06,0.93,84.44,38000,150,0.28,0.03
98.22,0.08,1.73,71.96,0.9,6.08,10,1.69,0.8700000047683716,0.18,0.06,0.93,88.89,40000,160,0.28,0.03
98.6,0.06,1.66,72.54,0.76,6.39,10,1.62,0.8700000047683716,0.18,0.06,0.93,93.33,42000,170,0.27,0.03
98.75,0.06,1.68,72.52,0.45,6.67,10,1.64,0.8500000238418579,0.17,0.06,0.93,97.78,44000,180,0.27,0.03
98.93,0.05,1.7,73.1,0.23,6.78,10,1.66,0.8500000238418579,0.17,0.06,0.93,100.0,45000,190,0.27,0.03
