Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
10.01,2.32,2.31,9.82,4.23,1.68,10,2.31,0.01,2.3,0.18,0.12,22.22,10000,10,0.9,0.49
12.89,2.27,2.14,16.88,4.68,1.99,10,2.13,0.2,2.12,0.17,0.19,23.33,10500,20,0.83,0.27
22.3,1.96,1.85,25.38,4.83,2.01,10,1.84,0.41,1.87,0.16,0.26,24.44,11000,30,0.75,0.14
29.39,1.78,1.68,32.94,3.93,2.15,10,1.67,0.52,1.69,0.15,0.34,25.56,11500,40,0.67,0.1
39.04,1.59,1.5,43.82,4.22,1.96,10,1.49,0.62,1.46,0.14,0.44,26.67,12000,50,0.56,0.07
46.81,1.4,1.34,50.06,4.0,2.03,10,1.33,0.69,1.3,0.12,0.5,27.78,12500,60,0.5,0.05
53.95,1.23,1.18,56.72,3.79,2.1,10,1.17,0.73,1.13,0.11,0.57,28.89,13000,70,0.43,0.04
61.06,1.06,1.17,57.98,3.73,2.16,10,1.16,0.75,1.01,0.1,0.62,30.0,13500,80,0.42,0.04
67.63,0.89,1.08,62.38,3.61,2.22,10,1.07,0.79,0.85,0.09,0.68,31.11,14000,90,0.38,0.04
73.78,0.73,1.13,63.24,4.11,2.65,10,1.12,0.82,0.69,0.08,0.74,32.22,14500,100,0.37,0.04
79.36,0.58,1.28,64.28,3.89,2.75,10,1.25,0.83,0.55,0.08,0.79,33.33,15000,110,0.36,0.04
84.85,0.44,1.39,65.08,4.08,2.82,10,1.38,0.85,0.45,0.08,0.83,34.44,15500,120,0.35,0.04
89.82,0.31,1.49,65.92,3.5,2.53,10,1.47,0.86,0.37,0.07,0.86,35.56,16000,130,0.34,0.04
93.1,0.23,1.71,66.04,3.32,2.58,10,1.67,0.87,0.3,0.07,0.88,36.67,16500,140,0.34,0.04
95.32,0.17,1.77,66.56,3.25,2.72,10,1.73,0.87,0.27,0.07,0.9,37.78,17000,150,0.33,0.04
96.78,0.13,1.95,65.56,3.22,2.74,10,1.9,0.87,0.25,0.07,0.91,38.89,17500,160,0.34,0.04
97.37,0.11,1.85,66.54,3.27,2.83,10,1.82,0.88,0.25,0.07,0.9,40.0,18000,170,0.33,0.04
97.34,0.11,2.04,66.38,3.52,3.17,10,1.98,0.88,0.23,0.07,0.91,41.11,18500,180,0.34,0.04
98.26,0.08,1.9,67.22,3.48,3.3,10,1.85,0.88,0.22,0.07,0.91,42.22,19000,190,0.33,0.03
98.56,0.07,2.0,67.66,3.09,3.19,10,1.96,0.88,0.2,0.07,0.92,43.33,19500,200,0.32,0.04
98.51,0.07,1.84,68.84,2.9,3.11,10,1.81,0.88,0.21,0.06,0.92,44.44,20000,210,0.31,0.04
98.47,0.07,1.8,68.76,2.99,3.16,10,1.79,0.88,0.21,0.06,0.92,45.56,20500,220,0.31,0.04
98.64,0.07,1.93,67.4,2.89,3.22,10,1.9,0.88,0.21,0.07,0.92,46.67,21000,230,0.33,0.04
98.83,0.06,1.78,69.48,2.92,3.34,10,1.76,0.88,0.21,0.06,0.92,47.78,21500,240,0.31,0.04
98.86,0.06,1.84,68.92,2.66,3.3,10,1.81,0.88,0.21,0.06,0.92,48.89,22000,250,0.31,0.04
98.95,0.05,1.78,69.52,2.59,3.38,10,1.76,0.88,0.21,0.06,0.92,50.0,22500,260,0.3,0.04
98.86,0.06,1.79,69.44,2.57,3.44,10,1.77,0.88,0.2,0.06,0.92,51.11,23000,270,0.31,0.04
98.93,0.06,1.83,68.9,2.52,3.56,10,1.81,0.88,0.2,0.06,0.92,52.22,23500,280,0.31,0.04
98.94,0.06,1.72,70.32,2.42,3.65,10,1.71,0.88,0.2,0.06,0.92,53.33,24000,290,0.3,0.04
99.05,0.05,1.75,70.16,2.39,3.68,10,1.74,0.88,0.2,0.06,0.92,54.44,24500,300,0.3,0.04
99.02,0.05,1.8,70.18,2.31,3.73,10,1.78,0.88,0.2,0.06,0.92,55.56,25000,310,0.3,0.04
