Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
10.15,2.32,2.31,10.42,4.8,1.82,10,2.31,0.01,2.3,0.18,0.12,22.22,10000,10,0.9,0.5
12.51,2.28,2.08,20.3,4.49,1.9,10,2.08,0.24,2.11,0.17,0.2,23.33,10500,20,0.8,0.25
24.18,1.92,1.85,26.94,4.37,1.93,10,1.84,0.44,1.82,0.16,0.28,24.44,11000,30,0.73,0.15
33.35,1.72,1.61,38.22,4.39,2.05,10,1.6,0.56,1.63,0.15,0.37,25.56,11500,40,0.62,0.1
41.92,1.52,1.45,45.34,4.25,2.1,10,1.44,0.63,1.46,0.14,0.44,26.67,12000,50,0.55,0.07
48.27,1.36,1.51,43.78,4.29,2.19,10,1.49,0.67,1.26,0.13,0.52,27.78,12500,60,0.56,0.07
54.67,1.21,1.25,53.86,4.11,2.28,10,1.23,0.7,1.19,0.12,0.55,28.89,13000,70,0.46,0.05
61.79,1.04,1.11,60.64,4.11,2.37,10,1.1,0.77,0.97,0.1,0.64,30.0,13500,80,0.39,0.03
68.19,0.88,1.14,61.02,3.9,2.39,10,1.12,0.8,0.82,0.09,0.7,31.11,14000,90,0.39,0.04
74.58,0.72,1.21,62.28,4.26,2.48,10,1.19,0.82,0.64,0.09,0.76,32.22,14500,100,0.38,0.04
79.97,0.57,1.29,63.42,3.94,2.58,10,1.27,0.84,0.55,0.08,0.79,33.33,15000,110,0.37,0.04
85.15,0.44,1.38,64.0,3.85,2.67,10,1.36,0.85,0.47,0.08,0.82,34.44,15500,120,0.36,0.04
90.0,0.31,1.53,65.66,3.4,2.45,10,1.51,0.86,0.37,0.07,0.86,35.56,16000,130,0.34,0.04
93.43,0.22,1.83,64.1,3.31,2.54,10,1.79,0.87,0.3,0.07,0.88,36.67,16500,140,0.36,0.04
95.48,0.16,1.78,66.66,3.21,2.6,10,1.75,0.87,0.28,0.07,0.89,37.78,17000,150,0.33,0.04
96.76,0.13,1.93,66.0,3.19,2.7,10,1.89,0.88,0.24,0.07,0.91,38.89,17500,160,0.34,0.04
97.31,0.11,1.82,66.56,3.1,2.77,10,1.8,0.88,0.24,0.07,0.91,40.0,18000,170,0.33,0.04
97.68,0.1,1.93,66.82,3.05,2.79,10,1.89,0.88,0.23,0.07,0.91,41.11,18500,180,0.33,0.04
98.14,0.08,1.96,67.24,3.04,2.9,10,1.92,0.88,0.22,0.07,0.92,42.22,19000,190,0.33,0.04
98.47,0.07,1.89,67.78,2.96,2.96,10,1.85,0.88,0.21,0.07,0.92,43.33,19500,200,0.32,0.04
98.29,0.08,1.91,66.74,2.91,3.04,10,1.88,0.88,0.23,0.07,0.91,44.44,20000,210,0.33,0.04
98.57,0.07,1.83,68.06,2.84,3.11,10,1.8,0.88,0.22,0.07,0.92,45.56,20500,220,0.32,0.04
98.61,0.07,1.8,67.66,2.76,3.21,10,1.78,0.88,0.22,0.07,0.91,46.67,21000,230,0.32,0.04
98.72,0.06,1.72,68.68,2.74,3.28,10,1.7,0.88,0.23,0.06,0.91,47.78,21500,240,0.31,0.04
98.82,0.06,1.83,68.78,2.7,3.33,10,1.8,0.88,0.21,0.06,0.92,48.89,22000,250,0.31,0.03
98.85,0.06,1.72,68.88,2.61,3.4,10,1.7,0.88,0.21,0.06,0.92,50.0,22500,260,0.31,0.04
98.95,0.06,1.78,68.8,2.55,3.52,10,1.75,0.88,0.2,0.06,0.92,51.11,23000,270,0.31,0.04
98.96,0.06,1.72,69.2,2.59,3.51,10,1.71,0.88,0.21,0.06,0.92,52.22,23500,280,0.31,0.04
98.85,0.06,1.79,68.48,2.53,3.61,10,1.77,0.88,0.21,0.06,0.92,53.33,24000,290,0.32,0.04
98.89,0.06,1.77,69.54,2.38,3.69,10,1.74,0.88,0.2,0.06,0.92,54.44,24500,300,0.3,0.04
98.99,0.05,1.65,70.56,2.38,3.76,10,1.63,0.88,0.2,0.06,0.92,55.56,25000,310,0.29,0.03
