Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
10.28,2.32,2.31,10.34,4.47,1.79,10,2.31,0.01,2.3,0.18,0.12,22.22,10000,10,0.9,0.5
11.37,2.3,2.21,18.54,4.51,1.84,10,2.21,0.05,2.26,0.18,0.14,23.33,10500,20,0.81,0.32
23.08,1.96,1.87,25.9,4.52,1.93,10,1.86,0.44,1.82,0.16,0.27,24.44,11000,30,0.74,0.17
32.03,1.73,1.66,37.24,4.32,2.03,10,1.64,0.53,1.65,0.15,0.35,25.56,11500,40,0.63,0.1
43.01,1.5,1.5,44.34,4.23,2.11,10,1.48,0.61,1.5,0.14,0.42,26.67,12000,50,0.56,0.07
51.53,1.3,1.35,50.44,4.13,2.16,10,1.33,0.69,1.27,0.12,0.51,27.78,12500,60,0.5,0.06
59.34,1.11,1.29,53.48,4.3,2.28,10,1.27,0.69,1.19,0.12,0.55,28.89,13000,70,0.47,0.05
66.61,0.92,1.28,55.94,4.08,2.35,10,1.26,0.71,1.06,0.11,0.59,30.0,13500,80,0.44,0.06
73.13,0.75,1.19,60.32,3.89,2.41,10,1.17,0.8,0.78,0.09,0.71,31.11,14000,90,0.4,0.04
79.42,0.58,1.24,61.24,3.82,2.49,10,1.23,0.8,0.7,0.09,0.73,32.22,14500,100,0.39,0.04
84.84,0.44,1.33,62.68,3.93,2.59,10,1.31,0.83,0.55,0.08,0.79,33.33,15000,110,0.37,0.04
89.39,0.32,1.5,63.1,3.87,2.7,10,1.49,0.84,0.45,0.08,0.83,34.44,15500,120,0.37,0.04
93.05,0.22,1.76,62.32,4.02,2.74,10,1.73,0.85,0.37,0.08,0.86,35.56,16000,130,0.38,0.05
95.6,0.16,2.03,62.54,3.8,2.84,10,2.0,0.86,0.31,0.08,0.88,36.67,16500,140,0.37,0.05
97.12,0.11,2.08,63.52,3.69,2.94,10,2.04,0.86,0.28,0.08,0.89,37.78,17000,150,0.36,0.05
98.03,0.09,2.07,64.42,3.63,3.0,10,2.02,0.86,0.27,0.07,0.89,38.89,17500,160,0.36,0.05
98.51,0.07,2.31,63.02,3.54,3.09,10,2.24,0.86,0.24,0.08,0.91,40.0,18000,170,0.37,0.05
98.31,0.08,2.08,64.4,3.39,3.12,10,2.04,0.87,0.25,0.07,0.9,41.11,18500,180,0.36,0.05
99.12,0.05,2.04,65.62,3.41,3.26,10,2.0,0.87,0.25,0.07,0.9,42.22,19000,190,0.34,0.04
99.04,0.05,2.1,64.5,3.31,3.29,10,2.07,0.86,0.24,0.07,0.91,43.33,19500,200,0.36,0.04
98.91,0.06,2.08,64.96,3.23,3.44,10,2.05,0.86,0.24,0.07,0.91,44.44,20000,210,0.35,0.04
99.26,0.04,2.09,65.26,3.18,3.46,10,2.06,0.86,0.23,0.07,0.91,45.56,20500,220,0.35,0.04
98.96,0.05,2.0,65.58,3.25,3.61,10,1.97,0.87,0.24,0.07,0.91,46.67,21000,230,0.34,0.04
99.21,0.05,2.08,65.3,3.05,3.65,10,2.05,0.86,0.23,0.07,0.91,47.78,21500,240,0.35,0.04
99.08,0.05,1.94,65.6,3.16,3.74,10,1.92,0.86,0.24,0.07,0.91,48.89,22000,250,0.34,0.04
99.1,0.05,2.21,63.52,3.01,3.79,10,2.17,0.85,0.24,0.07,0.91,50.0,22500,260,0.36,0.05
99.0,0.05,2.01,66.18,2.91,3.91,10,1.99,0.86,0.23,0.07,0.91,51.11,23000,270,0.34,0.04
99.32,0.04,1.95,66.36,2.79,3.94,10,1.93,0.86,0.22,0.07,0.91,52.22,23500,280,0.34,0.04
99.36,0.04,1.96,65.44,2.83,4.05,10,1.94,0.85,0.23,0.07,0.91,53.33,24000,290,0.35,0.04
99.14,0.05,1.83,66.9,2.73,4.1,10,1.82,0.86,0.24,0.07,0.91,54.44,24500,300,0.33,0.04
99.23,0.05,1.9,66.58,2.76,4.24,10,1.89,0.86,0.23,0.07,0.91,55.56,25000,310,0.33,0.04
