Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
9.78,2.33,2.31,10.98,4.05,1.61,10,2.31,0.02,2.29,0.18,0.12,22.22,10000,5,0.89,0.49
10.11,2.32,2.31,10.56,4.12,1.69,10,2.31,0.01,2.3,0.18,0.12,23.33,10500,10,0.89,0.49
11.84,2.29,2.23,14.8,4.04,1.76,10,2.23,0.05,2.26,0.18,0.15,24.44,11000,15,0.85,0.37
18.23,2.11,2.01,20.06,3.95,1.83,10,2.0,0.29,2.03,0.17,0.2,25.56,11500,20,0.8,0.19
22.78,1.93,1.9,25.96,3.81,1.9,10,1.88,0.38,1.89,0.16,0.26,26.67,12000,25,0.74,0.17
28.09,1.81,1.8,28.78,3.76,2.02,10,1.79,0.45,1.8,0.16,0.29,27.78,12500,30,0.71,0.13
34.1,1.71,1.68,34.68,3.84,2.0,10,1.67,0.51,1.69,0.15,0.34,28.89,13000,35,0.65,0.11
42.0,1.54,1.57,39.58,3.69,2.18,10,1.55,0.55,1.6,0.14,0.39,30.0,13500,40,0.6,0.08
47.63,1.41,1.49,43.5,3.77,2.21,10,1.47,0.62,1.45,0.14,0.45,31.11,14000,45,0.56,0.07
52.23,1.29,1.38,47.2,3.57,2.24,10,1.37,0.66,1.32,0.13,0.49,32.22,14500,50,0.53,0.06
57.07,1.17,1.3,51.48,3.53,2.34,10,1.29,0.67,1.27,0.12,0.52,33.33,15000,55,0.49,0.05
61.31,1.07,1.31,51.22,3.64,2.47,10,1.3,0.69,1.15,0.12,0.56,34.44,15500,60,0.49,0.05
65.87,0.96,1.2,55.86,3.41,2.5,10,1.18,0.72,1.08,0.11,0.59,35.56,16000,65,0.44,0.04
69.1,0.87,1.16,57.96,3.3,2.56,10,1.15,0.73,1.02,0.1,0.62,36.67,16500,70,0.42,0.04
72.28,0.78,1.15,59.1,3.33,2.66,10,1.13,0.73,0.97,0.1,0.63,37.78,17000,75,0.41,0.04
75.46,0.7,1.17,59.46,3.31,2.74,10,1.15,0.75,0.91,0.1,0.66,38.89,17500,80,0.41,0.04
78.41,0.62,1.18,61.32,3.21,2.84,10,1.16,0.78,0.76,0.09,0.71,40.0,18000,85,0.39,0.03
80.7,0.55,1.24,59.8,3.11,2.88,10,1.22,0.78,0.75,0.09,0.72,41.11,18500,90,0.4,0.04
83.22,0.49,1.26,59.9,3.19,2.95,10,1.24,0.78,0.69,0.09,0.74,42.22,19000,95,0.4,0.04
85.78,0.42,1.29,62.54,3.09,2.99,10,1.27,0.81,0.58,0.08,0.78,43.33,19500,100,0.37,0.04
87.75,0.36,1.47,58.54,2.94,3.06,10,1.44,0.79,0.57,0.09,0.78,44.44,20000,105,0.41,0.05
89.55,0.32,1.38,63.44,2.9,3.15,10,1.35,0.82,0.48,0.08,0.82,45.56,20500,110,0.37,0.04
91.48,0.27,1.45,61.94,2.83,3.23,10,1.43,0.83,0.46,0.08,0.83,46.67,21000,115,0.38,0.04
92.85,0.23,1.59,62.42,2.79,3.34,10,1.55,0.83,0.4,0.08,0.85,47.78,21500,120,0.38,0.04
94.35,0.19,1.63,63.72,2.7,3.42,10,1.61,0.83,0.37,0.08,0.86,48.89,22000,125,0.36,0.04
95.36,0.16,1.67,63.34,2.7,3.47,10,1.64,0.84,0.35,0.08,0.87,50.0,22500,130,0.37,0.04
96.29,0.14,1.79,62.92,2.67,3.51,10,1.76,0.84,0.33,0.08,0.87,51.11,23000,135,0.37,0.04
96.74,0.13,1.88,63.52,2.51,3.64,10,1.84,0.84,0.29,0.07,0.89,52.22,23500,140,0.36,0.04
97.13,0.11,1.99,62.02,2.58,3.7,10,1.95,0.82,0.3,0.08,0.89,53.33,24000,145,0.38,0.04
97.52,0.1,1.76,65.08,2.51,3.77,10,1.74,0.84,0.29,0.07,0.89,54.44,24500,150,0.35,0.04
97.71,0.1,1.84,65.38,2.34,3.8,10,1.8,0.85,0.29,0.07,0.89,55.56,25000,155,0.35,0.04
