Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
10.12,2.32,2.31,10.44,4.51,1.84,10,2.31,0.01,2.3,0.18,0.12,22.22,10000,10,0.9,0.51
10.32,2.31,2.3,11.74,4.49,2.0,10,2.3,0.01,2.3,0.18,0.11,23.33,10500,20,0.88,0.47
16.84,2.15,1.94,23.6,5.28,2.05,10,1.93,0.36,1.94,0.17,0.23,24.44,11000,30,0.76,0.18
28.23,1.81,1.76,31.42,4.61,2.08,10,1.74,0.47,1.76,0.16,0.3,25.56,11500,40,0.69,0.13
38.22,1.6,1.61,39.64,4.49,2.16,10,1.59,0.57,1.56,0.14,0.4,26.67,12000,50,0.6,0.1
47.59,1.39,1.47,45.22,4.95,2.32,10,1.44,0.64,1.39,0.13,0.47,27.78,12500,60,0.55,0.08
55.35,1.21,1.36,50.28,4.34,2.34,10,1.34,0.68,1.25,0.12,0.52,28.89,13000,70,0.5,0.06
62.87,1.01,1.28,54.3,4.29,2.46,10,1.26,0.72,1.06,0.11,0.59,30.0,13500,80,0.46,0.05
69.72,0.84,1.23,58.3,4.61,2.63,10,1.21,0.77,0.89,0.1,0.67,31.11,14000,90,0.42,0.05
75.47,0.68,1.32,58.96,4.41,2.65,10,1.29,0.79,0.75,0.09,0.72,32.22,14500,100,0.41,0.05
81.11,0.54,1.37,60.48,4.16,2.73,10,1.34,0.8,0.66,0.09,0.75,33.33,15000,110,0.4,0.05
85.63,0.41,1.44,59.9,4.03,2.95,10,1.41,0.81,0.6,0.09,0.77,34.44,15500,120,0.4,0.05
89.92,0.3,1.59,61.5,4.1,2.86,10,1.56,0.83,0.48,0.08,0.82,35.56,16000,130,0.38,0.05
93.2,0.22,1.89,61.94,3.92,3.04,10,1.85,0.85,0.36,0.08,0.86,36.67,16500,140,0.38,0.06
95.61,0.15,2.01,61.38,3.89,3.05,10,1.96,0.85,0.33,0.08,0.87,37.78,17000,150,0.39,0.06
96.89,0.12,1.97,63.18,3.85,3.16,10,1.93,0.86,0.3,0.08,0.88,38.89,17500,160,0.37,0.06
98.13,0.08,2.09,64.08,3.75,3.28,10,2.04,0.86,0.26,0.07,0.9,40.0,18000,170,0.36,0.05
98.31,0.08,2.28,62.64,3.53,3.38,10,2.22,0.86,0.25,0.08,0.9,41.11,18500,180,0.37,0.05
98.83,0.06,2.21,63.72,3.92,3.51,10,2.16,0.86,0.25,0.07,0.9,42.22,19000,190,0.36,0.05
98.78,0.06,2.13,64.32,2.97,2.98,10,2.09,0.86,0.25,0.07,0.9,43.33,19500,200,0.36,0.05
99.09,0.05,2.09,64.7,3.02,3.11,10,2.06,0.86,0.25,0.07,0.9,44.44,20000,210,0.35,0.05
99.03,0.05,2.08,64.4,2.99,3.22,10,2.05,0.86,0.24,0.07,0.91,45.56,20500,220,0.36,0.05
99.17,0.05,2.08,64.8,2.84,3.22,10,2.04,0.86,0.24,0.07,0.91,46.67,21000,230,0.35,0.05
99.09,0.05,2.02,64.8,2.79,3.34,10,1.99,0.86,0.25,0.07,0.9,47.78,21500,240,0.35,0.05
99.1,0.05,2.07,64.56,2.77,3.33,10,2.03,0.85,0.25,0.07,0.9,48.89,22000,250,0.35,0.05
99.25,0.05,2.04,65.16,2.7,3.44,10,2.0,0.86,0.23,0.07,0.91,50.0,22500,260,0.35,0.05
99.3,0.04,2.07,65.46,2.59,3.61,10,2.02,0.86,0.24,0.07,0.91,51.11,23000,270,0.35,0.05
99.09,0.05,2.01,66.1,2.65,3.65,10,1.97,0.86,0.24,0.07,0.91,52.22,23500,280,0.34,0.05
99.17,0.05,2.0,66.02,2.47,3.74,10,1.97,0.86,0.23,0.07,0.91,53.33,24000,290,0.34,0.05
99.13,0.05,2.06,65.98,2.39,3.74,10,2.02,0.85,0.22,0.07,0.92,54.44,24500,300,0.34,0.05
99.15,0.05,1.95,65.52,2.39,3.92,10,1.92,0.84,0.24,0.07,0.91,55.56,25000,310,0.34,0.05
