Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
10.07,2.33,2.31,10.02,4.21,1.66,10,2.31,0.02,2.29,0.18,0.12,22.22,10000,5,0.9,0.51
10.12,2.32,2.31,10.32,4.05,1.67,10,2.31,0.01,2.3,0.18,0.12,23.33,10500,10,0.9,0.5
10.39,2.31,2.3,10.28,4.04,1.76,10,2.3,0.01,2.3,0.18,0.12,24.44,11000,15,0.9,0.49
11.27,2.3,2.28,14.0,3.95,1.86,10,2.28,0.01,2.3,0.18,0.12,25.56,11500,20,0.86,0.43
19.32,2.11,1.96,22.2,3.81,1.93,10,1.95,0.34,1.97,0.17,0.23,26.67,12000,25,0.78,0.19
25.66,1.86,1.83,26.8,3.88,2.0,10,1.82,0.42,1.83,0.16,0.27,27.78,12500,30,0.73,0.15
32.15,1.73,1.77,32.08,3.72,2.09,10,1.76,0.44,1.75,0.16,0.31,28.89,13000,35,0.68,0.13
39.92,1.57,1.57,40.54,3.75,2.11,10,1.56,0.57,1.56,0.14,0.4,30.0,13500,40,0.59,0.1
45.97,1.43,1.51,43.48,3.68,2.18,10,1.49,0.57,1.51,0.14,0.41,31.11,14000,45,0.57,0.08
50.32,1.33,1.43,47.54,3.5,2.32,10,1.41,0.62,1.41,0.13,0.46,32.22,14500,50,0.52,0.07
55.42,1.22,1.38,49.26,3.48,2.32,10,1.37,0.64,1.29,0.13,0.51,33.33,15000,55,0.51,0.06
59.95,1.11,1.29,52.46,3.52,2.45,10,1.28,0.69,1.18,0.12,0.56,34.44,15500,60,0.48,0.05
64.05,1.0,1.22,55.5,3.43,2.49,10,1.21,0.71,1.11,0.11,0.58,35.56,16000,65,0.44,0.05
68.06,0.9,1.16,58.56,3.33,2.54,10,1.15,0.72,1.06,0.1,0.6,36.67,16500,70,0.41,0.04
71.39,0.81,1.14,59.76,3.42,2.65,10,1.13,0.73,0.98,0.1,0.64,37.78,17000,75,0.4,0.04
74.46,0.73,1.17,59.3,3.28,2.77,10,1.16,0.74,0.92,0.1,0.66,38.89,17500,80,0.41,0.04
77.39,0.65,1.12,61.88,3.26,2.8,10,1.1,0.76,0.82,0.09,0.69,40.0,18000,85,0.38,0.04
79.71,0.58,1.14,62.0,3.05,2.91,10,1.12,0.77,0.75,0.09,0.72,41.11,18500,90,0.38,0.04
82.42,0.51,1.14,63.14,3.12,3.0,10,1.13,0.78,0.71,0.09,0.73,42.22,19000,95,0.37,0.04
84.82,0.44,1.15,63.4,3.12,3.05,10,1.14,0.79,0.64,0.08,0.76,43.33,19500,100,0.37,0.04
86.99,0.39,1.32,60.92,3.12,3.17,10,1.31,0.79,0.6,0.09,0.77,44.44,20000,105,0.39,0.04
88.78,0.33,1.33,63.88,2.92,3.21,10,1.31,0.79,0.52,0.08,0.8,45.56,20500,110,0.36,0.04
90.41,0.29,1.37,63.2,2.9,3.33,10,1.35,0.82,0.48,0.08,0.82,46.67,21000,115,0.37,0.04
91.93,0.25,1.51,62.56,2.85,3.4,10,1.49,0.82,0.45,0.08,0.83,47.78,21500,120,0.37,0.04
93.59,0.21,1.61,63.44,2.8,3.43,10,1.58,0.83,0.39,0.08,0.85,48.89,22000,125,0.37,0.05
94.36,0.19,1.56,65.02,2.77,3.54,10,1.53,0.82,0.37,0.07,0.86,50.0,22500,130,0.35,0.04
95.37,0.16,1.81,63.72,2.64,3.55,10,1.77,0.82,0.33,0.08,0.87,51.11,23000,135,0.36,0.04
96.2,0.14,1.68,65.36,2.65,3.66,10,1.65,0.82,0.32,0.07,0.88,52.22,23500,140,0.35,0.04
96.92,0.12,1.78,64.56,2.52,3.71,10,1.75,0.83,0.31,0.07,0.88,53.33,24000,145,0.35,0.04
97.18,0.11,1.69,65.74,2.55,3.84,10,1.66,0.83,0.31,0.07,0.88,54.44,24500,150,0.34,0.04
97.47,0.11,1.72,65.8,2.46,3.87,10,1.69,0.83,0.3,0.07,0.89,55.56,25000,155,0.34,0.04
