Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
31.47,1.89,1.52,44.14,-1.0,1.57,-1,1.52,-1.0,1.63,0.14,0.41,22.22,10000,10,0.56,0.08
47.22,1.46,1.25,54.6,4.01,1.84,10,1.25,0.5799999833106995,1.31,0.12,0.52,26.67,12000,20,0.45,0.05
54.21,1.28,1.06,61.82,3.72,2.11,10,1.06,0.699999988079071,1.08,0.1,0.61,31.11,14000,30,0.38,0.03
60.66,1.11,0.9,68.34,3.58,2.41,10,0.9,0.7699999809265137,0.9,0.09,0.67,35.56,16000,40,0.32,0.02
65.97,0.96,0.81,71.64,3.28,2.7,10,0.81,0.8100000023841858,0.77,0.08,0.72,40.0,18000,50,0.28,0.02
71.46,0.81,0.74,74.12,3.11,2.97,10,0.74,0.8399999737739563,0.64,0.07,0.77,44.44,20000,60,0.26,0.01
76.34,0.67,0.7,75.7,2.83,3.25,10,0.71,0.8600000143051147,0.53,0.06,0.8,48.89,22000,70,0.24,0.01
80.84,0.54,0.7,77.5,2.64,3.54,10,0.71,0.8700000047683716,0.43,0.06,0.84,53.33,24000,80,0.22,0.01
84.83,0.43,0.71,77.74,2.48,3.84,10,0.72,0.8799999952316284,0.4,0.05,0.85,57.78,26000,90,0.22,0.01
88.18,0.34,0.79,77.78,2.2,4.1,10,0.79,0.8799999952316284,0.32,0.05,0.88,62.22,28000,100,0.22,0.01
90.82,0.27,0.79,78.46,1.96,4.37,10,0.79,0.8799999952316284,0.3,0.05,0.89,66.67,30000,110,0.22,0.01
93.06,0.21,0.85,78.54,1.81,4.64,10,0.84,0.8899999856948853,0.26,0.05,0.9,71.11,32000,120,0.21,0.01
94.71,0.16,0.86,78.78,1.56,4.93,10,0.86,0.8799999952316284,0.25,0.05,0.91,75.56,34000,130,0.21,0.01
95.71,0.13,0.84,78.82,1.32,5.23,10,0.84,0.8799999952316284,0.24,0.05,0.91,80.0,36000,140,0.21,0.01
96.82,0.1,0.87,79.44,1.15,5.51,10,0.87,0.8799999952316284,0.23,0.04,0.91,84.44,38000,150,0.21,0.01
97.45,0.08,0.91,79.54,0.89,5.78,10,0.91,0.8700000047683716,0.21,0.04,0.92,88.89,40000,160,0.2,0.01
97.95,0.07,0.94,79.74,0.66,6.02,10,0.93,0.8600000143051147,0.2,0.04,0.92,93.33,42000,170,0.2,0.01
98.29,0.05,0.96,78.9,0.47,6.33,10,0.95,0.8500000238418579,0.2,0.04,0.92,97.78,44000,180,0.21,0.01
98.47,0.05,0.95,80.08,0.25,6.5,10,0.94,0.8399999737739563,0.2,0.04,0.92,100.0,45000,190,0.2,0.01
