Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
25.32,2.08,1.81,35.08,4.05,1.58,10,1.81,0.42,1.91,0.16,0.3,22.22,10000,5,0.65,0.15
39.71,1.68,1.49,47.0,4.02,1.63,10,1.5,0.59,1.58,0.14,0.41,23.33,10500,10,0.53,0.08
46.77,1.48,1.35,50.5,3.87,1.72,10,1.36,0.66,1.41,0.13,0.49,24.44,11000,15,0.5,0.07
50.96,1.37,1.23,56.04,3.87,1.8,10,1.23,0.7,1.3,0.12,0.52,25.56,11500,20,0.44,0.05
54.58,1.27,1.14,59.16,3.83,1.83,10,1.14,0.74,1.17,0.11,0.57,26.67,12000,25,0.41,0.04
58.19,1.18,1.07,61.96,3.71,1.91,10,1.08,0.76,1.08,0.1,0.6,27.78,12500,30,0.38,0.04
60.99,1.1,1.0,64.22,3.72,2.0,10,1.01,0.77,1.06,0.1,0.61,28.89,13000,35,0.36,0.03
63.87,1.03,1.01,64.04,3.67,2.06,10,1.01,0.8,0.91,0.09,0.67,30.0,13500,40,0.36,0.03
66.76,0.95,0.91,67.58,3.58,2.11,10,0.92,0.81,0.88,0.09,0.68,31.11,14000,45,0.32,0.03
69.42,0.87,0.86,69.54,3.51,2.21,10,0.87,0.82,0.79,0.08,0.71,32.22,14500,50,0.3,0.02
71.31,0.82,0.84,70.42,3.48,2.25,10,0.85,0.83,0.76,0.08,0.72,33.33,15000,55,0.3,0.02
74.09,0.74,0.85,71.02,3.36,2.35,10,0.86,0.85,0.63,0.07,0.77,34.44,15500,60,0.29,0.02
76.27,0.68,0.84,70.82,3.36,2.41,10,0.85,0.85,0.64,0.07,0.77,35.56,16000,65,0.29,0.02
78.41,0.62,0.84,72.68,3.33,2.49,10,0.85,0.86,0.55,0.07,0.8,36.67,16500,70,0.27,0.02
80.24,0.57,0.82,72.94,3.2,2.57,10,0.82,0.86,0.55,0.07,0.8,37.78,17000,75,0.27,0.02
82.04,0.52,0.9,71.84,3.17,2.64,10,0.91,0.87,0.47,0.07,0.82,38.89,17500,80,0.28,0.02
84.1,0.46,0.84,73.5,3.13,2.71,10,0.85,0.87,0.47,0.06,0.83,40.0,18000,85,0.26,0.02
85.63,0.42,0.9,72.72,3.06,2.75,10,0.91,0.87,0.45,0.06,0.83,41.11,18500,90,0.27,0.02
87.09,0.38,0.91,73.8,3.06,2.8,10,0.92,0.88,0.4,0.06,0.85,42.22,19000,95,0.26,0.02
88.27,0.35,0.89,73.22,2.97,2.92,10,0.9,0.88,0.41,0.06,0.84,43.33,19500,100,0.27,0.02
89.26,0.32,0.95,73.8,2.88,2.99,10,0.95,0.88,0.36,0.06,0.86,44.44,20000,105,0.26,0.02
90.19,0.29,0.93,74.3,2.84,3.06,10,0.94,0.88,0.35,0.06,0.87,45.56,20500,110,0.26,0.02
90.78,0.28,0.94,74.72,2.84,3.13,10,0.95,0.88,0.34,0.06,0.87,46.67,21000,115,0.25,0.02
91.76,0.25,0.98,74.7,2.71,3.22,10,0.98,0.88,0.32,0.06,0.88,47.78,21500,120,0.25,0.02
92.31,0.24,0.96,74.4,2.68,3.29,10,0.96,0.88,0.33,0.06,0.88,48.89,22000,125,0.26,0.02
92.85,0.22,0.97,75.3,2.59,3.34,10,0.97,0.89,0.3,0.05,0.88,50.0,22500,130,0.25,0.02
93.55,0.2,0.99,74.98,2.59,3.44,10,0.99,0.89,0.3,0.05,0.89,51.11,23000,135,0.25,0.02
93.82,0.19,0.98,75.32,2.52,3.47,10,0.98,0.89,0.29,0.05,0.89,52.22,23500,140,0.25,0.02
94.11,0.18,0.93,75.6,2.51,3.54,10,0.94,0.89,0.31,0.05,0.88,53.33,24000,145,0.24,0.02
94.43,0.17,0.99,76.3,2.46,3.62,10,0.99,0.89,0.27,0.05,0.9,54.44,24500,150,0.24,0.02
94.88,0.16,0.98,76.36,2.33,3.66,10,0.99,0.89,0.27,0.05,0.9,55.56,25000,155,0.24,0.02
