Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
31.37,1.89,1.53,44.9,-1.0,1.54,-1,1.52,-1.0,1.63,0.14,0.4,22.22,10000,10,0.55,0.08
47.13,1.45,1.25,54.44,3.94,1.82,10,1.24,0.5699999928474426,1.32,0.12,0.52,26.67,12000,20,0.46,0.05
53.9,1.28,1.05,62.28,3.8,2.11,10,1.04,0.699999988079071,1.09,0.1,0.61,31.11,14000,30,0.38,0.03
60.35,1.1,0.95,66.92,3.64,2.39,10,0.93,0.7699999809265137,0.87,0.09,0.68,35.56,16000,40,0.33,0.03
66.51,0.94,0.84,70.64,3.31,2.69,10,0.83,0.8100000023841858,0.77,0.08,0.72,40.0,18000,50,0.29,0.02
71.31,0.81,0.78,74.04,3.11,2.96,10,0.77,0.8299999833106995,0.65,0.07,0.77,44.44,20000,60,0.26,0.02
76.08,0.67,0.73,75.78,2.88,3.24,10,0.72,0.8500000238418579,0.56,0.06,0.8,48.89,22000,70,0.24,0.02
80.42,0.55,0.74,76.52,2.68,3.55,10,0.73,0.8700000047683716,0.45,0.06,0.83,53.33,24000,80,0.23,0.01
84.27,0.45,0.73,78.2,2.4,3.84,10,0.72,0.8799999952316284,0.39,0.05,0.85,57.78,26000,90,0.22,0.01
87.56,0.36,0.75,78.0,2.18,4.13,10,0.75,0.8799999952316284,0.34,0.05,0.87,62.22,28000,100,0.22,0.01
90.53,0.28,0.77,78.6,2.07,4.38,10,0.77,0.8899999856948853,0.31,0.05,0.88,66.67,30000,110,0.21,0.01
92.68,0.22,0.81,79.3,1.79,4.66,10,0.8,0.8899999856948853,0.27,0.05,0.9,71.11,32000,120,0.21,0.01
94.5,0.17,0.82,80.22,1.52,4.94,10,0.81,0.8799999952316284,0.25,0.04,0.91,75.56,34000,130,0.2,0.01
95.85,0.13,0.88,79.7,1.31,5.2,10,0.87,0.8799999952316284,0.22,0.04,0.91,80.0,36000,140,0.2,0.01
96.84,0.1,0.87,80.12,1.11,5.49,10,0.86,0.8799999952316284,0.22,0.04,0.92,84.44,38000,150,0.2,0.01
97.5,0.08,0.9,80.38,0.93,5.82,10,0.89,0.8700000047683716,0.2,0.04,0.92,88.89,40000,160,0.2,0.01
97.94,0.07,0.93,80.12,0.74,6.07,10,0.92,0.8600000143051147,0.2,0.04,0.92,93.33,42000,170,0.2,0.01
98.32,0.05,0.89,80.44,0.44,6.37,10,0.87,0.8500000238418579,0.21,0.04,0.92,97.78,44000,180,0.2,0.01
98.58,0.05,0.89,80.38,0.24,6.51,10,0.88,0.8399999737739563,0.21,0.04,0.92,100.0,45000,190,0.2,0.01
