Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
24.04,2.09,1.83,34.26,3.93,1.57,10,1.83,0.38,1.95,0.16,0.29,22.22,10000,5,0.66,0.16
39.02,1.68,1.51,45.02,3.93,1.62,10,1.51,0.59,1.59,0.14,0.42,23.33,10500,10,0.55,0.08
45.8,1.49,1.42,49.54,3.92,1.72,10,1.42,0.65,1.44,0.13,0.47,24.44,11000,15,0.5,0.08
49.82,1.39,1.3,53.6,3.79,1.79,10,1.3,0.69,1.32,0.12,0.51,25.56,11500,20,0.46,0.06
53.05,1.3,1.19,56.94,3.8,1.85,10,1.19,0.72,1.23,0.11,0.55,26.67,12000,25,0.43,0.05
56.04,1.22,1.13,60.12,3.75,1.91,10,1.13,0.74,1.18,0.11,0.57,27.78,12500,30,0.4,0.04
59.16,1.14,1.06,62.48,3.61,2.02,10,1.05,0.77,1.05,0.1,0.62,28.89,13000,35,0.38,0.03
62.34,1.07,1.03,63.48,3.6,2.05,10,1.03,0.78,1.0,0.1,0.64,30.0,13500,40,0.37,0.03
64.69,1.0,0.99,65.66,3.59,2.14,10,0.99,0.8,0.91,0.09,0.67,31.11,14000,45,0.34,0.03
67.32,0.93,0.95,67.4,3.51,2.22,10,0.95,0.82,0.83,0.09,0.7,32.22,14500,50,0.33,0.03
69.94,0.86,0.91,68.56,3.37,2.28,10,0.91,0.82,0.78,0.08,0.72,33.33,15000,55,0.31,0.03
72.12,0.79,0.93,68.4,3.4,2.35,10,0.92,0.84,0.68,0.08,0.75,34.44,15500,60,0.32,0.03
74.8,0.72,0.87,70.28,3.44,2.39,10,0.87,0.84,0.67,0.07,0.76,35.56,16000,65,0.3,0.02
76.86,0.66,0.87,71.54,3.33,2.5,10,0.86,0.86,0.58,0.07,0.79,36.67,16500,70,0.28,0.02
78.93,0.61,0.86,71.54,3.24,2.54,10,0.87,0.86,0.57,0.07,0.79,37.78,17000,75,0.28,0.02
81.36,0.54,0.87,72.56,3.21,2.62,10,0.87,0.86,0.52,0.07,0.81,38.89,17500,80,0.27,0.02
82.93,0.5,0.9,72.18,3.13,2.72,10,0.9,0.86,0.49,0.07,0.82,40.0,18000,85,0.28,0.02
84.51,0.45,0.91,72.54,3.09,2.79,10,0.91,0.87,0.45,0.06,0.83,41.11,18500,90,0.27,0.02
85.83,0.41,0.93,72.78,2.97,2.85,10,0.93,0.87,0.41,0.06,0.85,42.22,19000,95,0.27,0.02
87.62,0.37,0.95,72.68,2.96,2.92,10,0.95,0.88,0.39,0.06,0.85,43.33,19500,100,0.27,0.02
88.86,0.33,0.96,73.34,2.93,2.98,10,0.97,0.88,0.36,0.06,0.86,44.44,20000,105,0.27,0.02
89.74,0.3,0.94,74.28,2.83,3.05,10,0.94,0.88,0.36,0.06,0.86,45.56,20500,110,0.26,0.02
90.78,0.28,0.97,74.14,2.76,3.12,10,0.97,0.88,0.34,0.06,0.87,46.67,21000,115,0.26,0.02
91.51,0.25,0.97,74.06,2.72,3.22,10,0.97,0.88,0.34,0.06,0.87,47.78,21500,120,0.26,0.02
92.14,0.24,0.98,74.84,2.67,3.26,10,0.98,0.88,0.34,0.06,0.87,48.89,22000,125,0.25,0.02
92.92,0.22,1.03,74.82,2.61,3.36,10,1.02,0.89,0.29,0.05,0.89,50.0,22500,130,0.25,0.02
93.34,0.2,1.02,75.04,2.58,3.43,10,1.02,0.89,0.3,0.05,0.89,51.11,23000,135,0.25,0.02
93.56,0.2,1.02,74.84,2.51,3.45,10,1.02,0.89,0.31,0.06,0.88,52.22,23500,140,0.25,0.02
94.07,0.18,1.03,75.14,2.45,3.54,10,1.03,0.89,0.28,0.05,0.89,53.33,24000,145,0.25,0.02
94.36,0.17,1.03,75.06,2.45,3.62,10,1.03,0.89,0.28,0.05,0.89,54.44,24500,150,0.25,0.02
94.7,0.16,1.07,74.98,2.37,3.68,10,1.07,0.89,0.28,0.05,0.89,55.56,25000,155,0.25,0.02
