Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
34.26,1.83,1.55,43.54,-1.0,1.55,-1,1.55,-1.0,1.62,0.14,0.41,22.22,10000,10,0.56,0.09
49.16,1.42,1.31,53.06,4.07,1.84,10,1.32,0.5799999833106995,1.32,0.12,0.52,26.67,12000,20,0.47,0.06
56.91,1.21,1.08,62.02,3.9,2.15,10,1.08,0.6899999976158142,1.1,0.1,0.6,31.11,14000,30,0.38,0.04
63.0,1.03,0.95,66.08,3.55,2.42,10,0.96,0.7599999904632568,0.92,0.09,0.67,35.56,16000,40,0.34,0.03
68.18,0.89,0.86,70.52,3.3,2.71,10,0.87,0.800000011920929,0.77,0.08,0.72,40.0,18000,50,0.29,0.03
72.84,0.76,0.81,72.42,3.05,2.96,10,0.82,0.8299999833106995,0.63,0.07,0.77,44.44,20000,60,0.28,0.02
77.32,0.63,0.8,73.9,2.97,3.28,10,0.81,0.8500000238418579,0.57,0.07,0.79,48.89,22000,70,0.26,0.02
81.58,0.52,0.79,75.4,2.8,3.54,10,0.79,0.8600000143051147,0.46,0.06,0.83,53.33,24000,80,0.25,0.02
84.69,0.44,0.77,76.92,2.43,3.82,10,0.78,0.8700000047683716,0.41,0.06,0.85,57.78,26000,90,0.23,0.02
87.5,0.36,0.84,75.88,2.24,4.12,10,0.85,0.8799999952316284,0.35,0.05,0.87,62.22,28000,100,0.24,0.02
90.47,0.28,0.83,77.4,2.01,4.39,10,0.83,0.8799999952316284,0.32,0.05,0.88,66.67,30000,110,0.23,0.02
92.54,0.22,0.87,78.02,1.77,4.65,10,0.87,0.8899999856948853,0.28,0.05,0.89,71.11,32000,120,0.22,0.02
94.13,0.18,0.89,77.8,1.66,4.93,10,0.9,0.8799999952316284,0.26,0.05,0.9,75.56,34000,130,0.22,0.02
95.55,0.14,0.92,77.94,1.33,5.25,10,0.92,0.8799999952316284,0.25,0.05,0.91,80.0,36000,140,0.22,0.02
96.51,0.11,0.94,78.8,1.09,5.51,10,0.94,0.8799999952316284,0.23,0.05,0.91,84.44,38000,150,0.21,0.02
97.23,0.09,0.94,79.24,0.94,5.8,10,0.95,0.8700000047683716,0.23,0.05,0.91,88.89,40000,160,0.21,0.02
97.77,0.07,0.95,79.06,0.71,6.08,10,0.95,0.8700000047683716,0.22,0.05,0.92,93.33,42000,170,0.21,0.02
98.15,0.06,0.98,78.54,0.44,6.37,10,0.99,0.8600000143051147,0.21,0.05,0.92,97.78,44000,180,0.21,0.02
98.45,0.05,1.01,78.78,0.24,6.5,10,1.01,0.8500000238418579,0.2,0.05,0.92,100.0,45000,190,0.21,0.02
