Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
25.0,2.07,1.77,35.98,4.02,1.56,10,1.77,0.44,1.89,0.16,0.3,22.22,10000,5,0.64,0.13
40.49,1.64,1.5,44.76,3.97,1.63,10,1.5,0.58,1.62,0.14,0.41,23.33,10500,10,0.55,0.08
47.82,1.44,1.35,51.06,3.86,1.7,10,1.35,0.64,1.47,0.13,0.45,24.44,11000,15,0.49,0.06
52.63,1.32,1.26,54.24,3.8,1.78,10,1.26,0.69,1.33,0.12,0.51,25.56,11500,20,0.46,0.05
56.43,1.22,1.15,58.92,3.73,1.86,10,1.15,0.72,1.24,0.11,0.55,26.67,12000,25,0.41,0.04
59.93,1.12,1.06,61.76,3.72,1.9,10,1.06,0.75,1.11,0.1,0.6,27.78,12500,30,0.38,0.03
62.86,1.04,1.02,63.84,3.73,1.99,10,1.02,0.77,1.0,0.1,0.64,28.89,13000,35,0.36,0.03
65.7,0.97,0.97,65.92,3.66,2.06,10,0.97,0.79,0.97,0.09,0.65,30.0,13500,40,0.34,0.03
68.13,0.89,0.95,67.16,3.57,2.13,10,0.95,0.81,0.83,0.09,0.7,31.11,14000,45,0.33,0.02
70.61,0.82,0.91,68.12,3.47,2.19,10,0.92,0.81,0.8,0.08,0.71,32.22,14500,50,0.32,0.02
72.84,0.76,0.89,69.08,3.41,2.27,10,0.89,0.83,0.72,0.08,0.74,33.33,15000,55,0.31,0.02
75.24,0.69,0.87,69.9,3.38,2.32,10,0.88,0.84,0.67,0.07,0.76,34.44,15500,60,0.3,0.02
77.72,0.64,0.85,70.86,3.34,2.39,10,0.85,0.84,0.68,0.07,0.75,35.56,16000,65,0.29,0.02
79.87,0.57,0.86,70.84,3.25,2.47,10,0.86,0.85,0.6,0.07,0.78,36.67,16500,70,0.29,0.02
81.82,0.52,0.83,73.22,3.2,2.54,10,0.83,0.86,0.53,0.07,0.81,37.78,17000,75,0.27,0.02
83.56,0.47,0.84,73.26,3.25,2.62,10,0.84,0.86,0.49,0.06,0.82,38.89,17500,80,0.27,0.02
85.14,0.43,0.85,73.56,3.12,2.7,10,0.85,0.86,0.49,0.06,0.82,40.0,18000,85,0.26,0.02
86.35,0.39,0.92,72.9,3.04,2.79,10,0.92,0.87,0.43,0.06,0.84,41.11,18500,90,0.27,0.02
87.81,0.35,0.88,73.54,3.0,2.81,10,0.88,0.87,0.43,0.06,0.84,42.22,19000,95,0.26,0.02
88.95,0.33,0.92,74.8,2.91,2.87,10,0.92,0.88,0.37,0.06,0.86,43.33,19500,100,0.25,0.02
90.1,0.3,0.93,74.54,2.98,2.96,10,0.92,0.88,0.37,0.06,0.86,44.44,20000,105,0.25,0.02
90.81,0.28,0.93,74.86,2.79,3.04,10,0.93,0.88,0.35,0.06,0.87,45.56,20500,110,0.25,0.02
91.26,0.26,0.96,75.32,2.74,3.11,10,0.96,0.88,0.33,0.06,0.88,46.67,21000,115,0.25,0.02
91.97,0.24,0.97,74.68,2.72,3.21,10,0.97,0.88,0.33,0.06,0.88,47.78,21500,120,0.25,0.02
92.69,0.22,0.99,74.4,2.69,3.25,10,0.98,0.88,0.31,0.06,0.88,48.89,22000,125,0.26,0.02
93.12,0.21,0.97,74.76,2.59,3.31,10,0.97,0.89,0.3,0.05,0.89,50.0,22500,130,0.25,0.02
93.38,0.2,0.97,75.5,2.53,3.41,10,0.96,0.89,0.3,0.05,0.89,51.11,23000,135,0.24,0.02
93.73,0.19,0.97,75.92,2.49,3.46,10,0.96,0.89,0.29,0.05,0.89,52.22,23500,140,0.24,0.01
93.88,0.19,1.0,75.84,2.45,3.53,10,0.99,0.89,0.27,0.05,0.89,53.33,24000,145,0.24,0.01
94.17,0.18,1.06,75.94,2.35,3.61,10,1.05,0.89,0.26,0.05,0.9,54.44,24500,150,0.24,0.02
94.47,0.17,0.97,76.62,2.32,3.71,10,0.95,0.89,0.28,0.05,0.89,55.56,25000,155,0.23,0.02
