Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
32.8,1.86,1.54,43.62,4.47,1.71,10,1.55,0.59,1.56,0.14,0.43,22.22,10000,10,0.56,0.09
49.53,1.4,1.32,52.18,4.37,1.76,10,1.32,0.67,1.36,0.12,0.5,23.33,10500,20,0.48,0.05
58.34,1.17,1.15,58.54,4.06,2.18,10,1.15,0.73,1.17,0.11,0.58,24.44,11000,30,0.41,0.04
65.28,0.98,1.03,63.02,4.01,1.91,10,1.03,0.76,1.03,0.1,0.63,25.56,11500,40,0.37,0.04
71.54,0.81,0.98,65.38,4.16,1.99,10,0.98,0.79,0.84,0.09,0.7,26.67,12000,50,0.35,0.03
76.84,0.66,0.92,68.72,4.19,2.17,10,0.92,0.81,0.75,0.08,0.73,27.78,12500,60,0.31,0.03
81.57,0.53,0.98,68.4,3.77,2.13,10,0.98,0.83,0.61,0.08,0.78,28.89,13000,70,0.32,0.03
86.01,0.41,0.99,69.9,4.1,2.18,10,0.99,0.84,0.52,0.07,0.81,30.0,13500,80,0.3,0.03
89.34,0.32,1.03,70.68,3.75,2.41,10,1.03,0.85,0.46,0.07,0.83,31.11,14000,90,0.29,0.02
92.28,0.24,1.1,70.54,3.84,2.4,10,1.1,0.86,0.4,0.07,0.85,32.22,14500,100,0.29,0.02
93.8,0.19,1.13,70.44,3.74,2.53,10,1.13,0.86,0.39,0.06,0.85,33.33,15000,110,0.3,0.02
95.1,0.16,1.21,71.06,3.61,2.52,10,1.21,0.87,0.33,0.06,0.88,34.44,15500,120,0.29,0.02
96.0,0.13,1.23,71.86,3.67,2.6,10,1.22,0.87,0.31,0.06,0.88,35.56,16000,130,0.28,0.02
96.56,0.11,1.25,72.04,3.48,2.83,10,1.24,0.87,0.3,0.06,0.89,36.67,16500,140,0.28,0.03
96.96,0.1,1.27,72.1,3.37,2.76,10,1.26,0.87,0.28,0.06,0.89,37.78,17000,150,0.28,0.02
97.15,0.1,1.3,72.62,3.48,2.98,10,1.29,0.87,0.27,0.06,0.9,38.89,17500,160,0.27,0.02
97.33,0.09,1.32,72.38,3.29,2.93,10,1.3,0.87,0.27,0.06,0.9,40.0,18000,170,0.28,0.02
97.47,0.09,1.25,72.7,3.5,3.1,10,1.24,0.87,0.29,0.06,0.89,41.11,18500,180,0.27,0.02
97.7,0.08,1.33,73.12,3.25,3.14,10,1.32,0.88,0.25,0.06,0.91,42.22,19000,190,0.27,0.02
97.83,0.08,1.3,73.12,3.07,3.14,10,1.29,0.87,0.25,0.06,0.9,43.33,19500,200,0.27,0.02
97.94,0.07,1.28,73.18,3.14,3.29,10,1.27,0.87,0.26,0.06,0.9,44.44,20000,210,0.27,0.02
98.07,0.07,1.34,73.24,2.96,3.32,10,1.33,0.88,0.24,0.06,0.91,45.56,20500,220,0.27,0.02
98.15,0.06,1.33,73.54,2.93,3.48,10,1.31,0.88,0.25,0.06,0.9,46.67,21000,230,0.26,0.03
98.21,0.06,1.32,74.14,2.91,3.4,10,1.31,0.88,0.24,0.06,0.91,47.78,21500,240,0.26,0.02
98.29,0.06,1.34,73.56,3.17,3.7,10,1.32,0.88,0.24,0.06,0.91,48.89,22000,250,0.26,0.02
98.32,0.06,1.3,73.74,2.91,3.62,10,1.29,0.88,0.25,0.06,0.9,50.0,22500,260,0.26,0.02
98.39,0.06,1.27,74.04,2.73,3.69,10,1.26,0.88,0.25,0.06,0.9,51.11,23000,270,0.26,0.02
98.32,0.06,1.26,74.0,2.68,3.79,10,1.25,0.88,0.25,0.06,0.9,52.22,23500,280,0.26,0.02
98.42,0.06,1.35,73.24,2.79,3.89,10,1.33,0.88,0.24,0.06,0.91,53.33,24000,290,0.27,0.02
98.44,0.05,1.28,73.78,2.77,3.95,10,1.27,0.88,0.24,0.06,0.91,54.44,24500,300,0.26,0.02
98.48,0.05,1.28,73.86,2.7,4.05,10,1.27,0.88,0.24,0.05,0.91,55.56,25000,310,0.26,0.02
