Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
25.34,2.07,1.84,34.72,4.02,1.56,10,1.84,0.42,1.9,0.16,0.31,22.22,10000,5,0.65,0.17
40.34,1.65,1.54,43.92,3.94,1.63,10,1.54,0.55,1.63,0.14,0.39,23.33,10500,10,0.56,0.08
47.47,1.45,1.38,50.5,3.87,1.7,10,1.39,0.65,1.46,0.13,0.46,24.44,11000,15,0.5,0.06
52.42,1.32,1.29,53.32,3.88,1.79,10,1.29,0.68,1.33,0.12,0.52,25.56,11500,20,0.47,0.05
57.0,1.2,1.2,56.72,3.76,1.88,10,1.2,0.7,1.26,0.12,0.54,26.67,12000,25,0.43,0.05
61.31,1.09,1.12,60.14,3.74,1.89,10,1.13,0.74,1.11,0.11,0.6,27.78,12500,30,0.4,0.04
64.96,0.99,1.06,62.52,3.65,2.01,10,1.06,0.75,1.07,0.1,0.61,28.89,13000,35,0.37,0.04
68.13,0.91,0.99,64.6,3.6,2.08,10,1.0,0.78,0.95,0.09,0.66,30.0,13500,40,0.35,0.03
71.17,0.83,0.99,65.16,3.55,2.1,10,0.99,0.78,0.89,0.09,0.68,31.11,14000,45,0.35,0.03
73.82,0.74,0.96,66.5,3.48,2.22,10,0.96,0.8,0.81,0.09,0.71,32.22,14500,50,0.34,0.03
76.48,0.68,0.89,68.9,3.47,2.27,10,0.9,0.81,0.74,0.08,0.73,33.33,15000,55,0.31,0.03
78.5,0.61,0.89,68.86,3.5,2.35,10,0.89,0.81,0.75,0.08,0.73,34.44,15500,60,0.31,0.02
80.93,0.55,0.87,70.5,3.29,2.48,10,0.88,0.82,0.66,0.07,0.76,35.56,16000,65,0.3,0.02
83.23,0.49,0.86,71.84,3.24,2.51,10,0.86,0.83,0.61,0.07,0.78,36.67,16500,70,0.28,0.02
85.49,0.42,0.88,71.7,3.18,2.57,10,0.88,0.84,0.55,0.07,0.8,37.78,17000,75,0.28,0.02
86.97,0.38,0.88,72.54,3.17,2.65,10,0.88,0.84,0.54,0.07,0.8,38.89,17500,80,0.27,0.02
88.44,0.34,0.91,72.24,3.12,2.7,10,0.92,0.85,0.49,0.07,0.82,40.0,18000,85,0.28,0.02
89.63,0.31,0.94,72.26,3.05,2.79,10,0.94,0.85,0.44,0.06,0.84,41.11,18500,90,0.28,0.02
91.14,0.26,1.0,72.12,3.01,2.86,10,0.99,0.86,0.39,0.06,0.85,42.22,19000,95,0.28,0.02
92.18,0.24,0.97,73.42,2.88,2.92,10,0.97,0.86,0.4,0.06,0.85,43.33,19500,100,0.27,0.02
92.94,0.22,0.98,73.1,2.94,2.98,10,0.98,0.86,0.38,0.06,0.86,44.44,20000,105,0.27,0.02
93.54,0.2,1.0,73.36,2.89,3.06,10,1.0,0.86,0.36,0.06,0.86,45.56,20500,110,0.27,0.02
94.18,0.18,1.07,73.38,2.81,3.16,10,1.06,0.87,0.33,0.06,0.87,46.67,21000,115,0.27,0.02
94.6,0.17,1.04,72.8,2.75,3.22,10,1.04,0.87,0.35,0.06,0.87,47.78,21500,120,0.27,0.02
95.25,0.15,1.07,73.52,2.64,3.27,10,1.07,0.87,0.33,0.06,0.88,48.89,22000,125,0.26,0.02
95.58,0.14,1.07,74.52,2.6,3.34,10,1.07,0.87,0.31,0.06,0.88,50.0,22500,130,0.25,0.02
95.74,0.14,1.06,73.94,2.54,3.39,10,1.05,0.87,0.31,0.06,0.88,51.11,23000,135,0.26,0.02
95.86,0.13,1.05,74.2,2.47,3.49,10,1.05,0.87,0.31,0.06,0.88,52.22,23500,140,0.26,0.02
96.11,0.13,1.09,74.02,2.49,3.53,10,1.1,0.87,0.31,0.06,0.88,53.33,24000,145,0.26,0.02
96.39,0.12,1.05,74.8,2.43,3.62,10,1.05,0.87,0.29,0.05,0.89,54.44,24500,150,0.25,0.02
96.52,0.11,1.1,74.94,2.33,3.66,10,1.1,0.87,0.28,0.05,0.89,55.56,25000,155,0.25,0.02
