Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
33.0,1.84,1.57,43.52,4.41,1.72,10,1.56,0.59,1.59,0.14,0.41,22.22,10000,10,0.56,0.1
51.52,1.35,1.35,51.28,4.35,1.79,10,1.34,0.67,1.37,0.12,0.5,23.33,10500,20,0.49,0.06
61.8,1.08,1.15,59.56,4.25,1.87,10,1.15,0.73,1.14,0.11,0.58,24.44,11000,30,0.4,0.04
70.05,0.86,1.07,62.2,4.22,1.94,10,1.07,0.76,0.98,0.1,0.64,25.56,11500,40,0.38,0.04
76.37,0.68,1.02,64.14,4.17,2.0,10,1.02,0.78,0.9,0.09,0.67,26.67,12000,50,0.36,0.03
81.6,0.53,1.03,64.42,4.06,2.11,10,1.03,0.8,0.74,0.08,0.73,27.78,12500,60,0.36,0.03
86.22,0.4,1.01,66.36,3.99,2.15,10,1.01,0.82,0.66,0.08,0.76,28.89,13000,70,0.34,0.02
90.17,0.29,1.06,67.04,4.01,2.24,10,1.06,0.83,0.54,0.08,0.8,30.0,13500,80,0.33,0.03
93.17,0.21,1.17,66.48,3.9,2.31,10,1.17,0.84,0.48,0.07,0.82,31.11,14000,90,0.34,0.03
95.4,0.14,1.24,68.04,3.71,2.28,10,1.24,0.85,0.4,0.07,0.85,32.22,14500,100,0.32,0.02
96.93,0.1,1.3,67.06,3.59,2.39,10,1.3,0.85,0.39,0.07,0.85,33.33,15000,110,0.33,0.02
97.62,0.08,1.36,67.62,3.54,2.43,10,1.35,0.86,0.34,0.07,0.87,34.44,15500,120,0.32,0.02
98.24,0.06,1.44,68.14,3.61,2.52,10,1.43,0.86,0.34,0.07,0.87,35.56,16000,130,0.32,0.03
98.56,0.05,1.4,67.74,3.6,2.64,10,1.39,0.86,0.33,0.07,0.87,36.67,16500,140,0.32,0.02
98.75,0.05,1.47,68.14,3.5,2.77,10,1.46,0.86,0.31,0.07,0.88,37.78,17000,150,0.32,0.02
98.95,0.04,1.47,68.02,3.39,2.8,10,1.45,0.85,0.3,0.07,0.88,38.89,17500,160,0.32,0.02
99.01,0.04,1.49,68.3,3.48,2.94,10,1.48,0.86,0.3,0.07,0.88,40.0,18000,170,0.32,0.03
98.9,0.04,1.5,68.16,3.29,3.0,10,1.48,0.86,0.29,0.07,0.89,41.11,18500,180,0.32,0.03
98.95,0.04,1.47,68.1,3.21,3.06,10,1.46,0.85,0.3,0.07,0.88,42.22,19000,190,0.32,0.03
99.0,0.04,1.42,68.74,3.21,3.13,10,1.41,0.85,0.3,0.07,0.88,43.33,19500,200,0.31,0.03
99.04,0.04,1.41,68.72,3.2,3.22,10,1.4,0.85,0.3,0.07,0.89,44.44,20000,210,0.31,0.03
99.14,0.03,1.43,68.42,3.15,3.29,10,1.43,0.85,0.29,0.07,0.89,45.56,20500,220,0.32,0.02
99.13,0.03,1.45,68.3,2.83,3.39,10,1.45,0.85,0.3,0.07,0.89,46.67,21000,230,0.32,0.03
99.15,0.03,1.44,69.14,3.01,3.49,10,1.43,0.85,0.29,0.06,0.89,47.78,21500,240,0.31,0.02
99.18,0.03,1.4,69.22,2.89,3.54,10,1.39,0.84,0.3,0.07,0.89,48.89,22000,250,0.31,0.02
99.2,0.03,1.36,69.92,2.77,3.59,10,1.36,0.85,0.3,0.06,0.89,50.0,22500,260,0.3,0.03
99.16,0.03,1.41,69.64,2.67,3.69,10,1.4,0.84,0.29,0.06,0.89,51.11,23000,270,0.3,0.03
99.22,0.03,1.44,69.4,2.87,3.77,10,1.43,0.85,0.28,0.06,0.89,52.22,23500,280,0.31,0.03
99.14,0.03,1.4,69.92,2.69,3.82,10,1.38,0.84,0.29,0.06,0.89,53.33,24000,290,0.3,0.02
99.1,0.04,1.37,69.96,2.53,3.93,10,1.35,0.84,0.3,0.06,0.88,54.44,24500,300,0.3,0.02
99.05,0.04,1.4,69.98,2.53,4.02,10,1.39,0.84,0.28,0.06,0.89,55.56,25000,310,0.3,0.02
