Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
33.73,1.83,1.49,46.62,-1.0,1.56,-1,1.49,-1.0,1.58,0.14,0.42,22.22,10000,10,0.53,0.08
56.51,1.24,1.25,56.56,3.97,1.84,10,1.25,0.5899999737739563,1.3,0.12,0.53,26.67,12000,20,0.43,0.06
68.05,0.93,1.13,60.26,3.73,2.13,10,1.12,0.6800000071525574,1.09,0.1,0.6,31.11,14000,30,0.4,0.05
76.4,0.7,1.03,64.26,3.54,2.4,10,1.03,0.7099999785423279,0.93,0.09,0.66,35.56,16000,40,0.36,0.04
82.15,0.53,0.92,68.26,3.35,2.7,10,0.91,0.7300000190734863,0.82,0.08,0.7,40.0,18000,50,0.32,0.03
86.76,0.4,0.9,70.22,3.24,3.02,10,0.89,0.7599999904632568,0.67,0.07,0.75,44.44,20000,60,0.3,0.02
89.86,0.31,0.96,70.16,3.02,3.31,10,0.94,0.7799999713897705,0.58,0.07,0.78,48.89,22000,70,0.3,0.03
92.11,0.24,0.93,71.3,2.68,3.59,10,0.91,0.7699999809265137,0.52,0.07,0.81,53.33,24000,80,0.29,0.02
93.38,0.21,0.92,72.06,2.48,3.9,10,0.9,0.7799999713897705,0.49,0.07,0.82,57.78,26000,90,0.28,0.02
94.12,0.19,0.97,72.1,2.23,4.64,10,0.95,0.7799999713897705,0.44,0.06,0.83,62.22,28000,100,0.28,0.02
94.57,0.17,0.96,73.4,2.31,5.11,10,0.94,0.7799999713897705,0.39,0.06,0.85,66.67,30000,110,0.27,0.02
94.87,0.16,0.96,73.88,2.01,5.43,10,0.94,0.7900000214576721,0.38,0.06,0.86,71.11,32000,120,0.26,0.02
94.94,0.16,0.96,74.48,2.07,5.77,10,0.94,0.7699999809265137,0.35,0.06,0.87,75.56,34000,130,0.26,0.02
94.85,0.16,0.98,75.54,1.64,6.16,10,0.95,0.7599999904632568,0.32,0.06,0.88,80.0,36000,140,0.24,0.02
94.76,0.16,0.91,76.68,1.31,6.45,10,0.88,0.75,0.32,0.05,0.88,84.44,38000,150,0.23,0.02
94.69,0.16,0.93,76.44,1.05,6.66,10,0.91,0.75,0.31,0.05,0.88,88.89,40000,160,0.24,0.02
94.53,0.17,0.9,76.88,0.77,7.26,10,0.87,0.75,0.31,0.05,0.88,93.33,42000,170,0.23,0.02
94.45,0.17,0.9,77.88,0.57,7.54,10,0.88,0.7300000190734863,0.29,0.05,0.89,97.78,44000,180,0.22,0.02
95.31,0.14,0.91,77.32,0.21,7.47,10,0.89,0.7300000190734863,0.28,0.05,0.89,100.0,45000,190,0.23,0.02
