Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
25.23,2.05,1.78,38.04,3.98,1.58,10,1.78,0.42,1.89,0.16,0.3,22.22,10000,5,0.62,0.15
43.19,1.58,1.5,46.24,3.9,1.64,10,1.5,0.56,1.64,0.14,0.39,23.33,10500,10,0.54,0.08
52.48,1.33,1.33,52.2,4.02,1.69,10,1.33,0.65,1.38,0.13,0.49,24.44,11000,15,0.48,0.06
58.66,1.16,1.22,56.9,3.84,1.77,10,1.22,0.68,1.28,0.12,0.53,25.56,11500,20,0.43,0.05
63.88,1.02,1.2,57.76,3.73,1.85,10,1.21,0.68,1.21,0.11,0.56,26.67,12000,25,0.42,0.05
68.68,0.9,1.09,61.46,3.69,1.91,10,1.1,0.73,1.07,0.1,0.61,27.78,12500,30,0.39,0.04
72.3,0.79,1.04,63.76,3.68,1.99,10,1.05,0.74,1.02,0.1,0.63,28.89,13000,35,0.36,0.04
75.5,0.7,1.01,64.9,3.62,2.08,10,1.02,0.75,0.94,0.09,0.66,30.0,13500,40,0.35,0.03
78.59,0.62,0.98,65.46,3.54,2.18,10,0.99,0.76,0.86,0.09,0.68,31.11,14000,45,0.35,0.03
81.33,0.54,0.97,66.28,3.61,2.2,10,0.98,0.77,0.81,0.09,0.7,32.22,14500,50,0.34,0.03
83.68,0.47,0.94,67.32,3.53,2.28,10,0.95,0.78,0.77,0.08,0.72,33.33,15000,55,0.33,0.03
85.92,0.41,0.94,68.18,3.33,2.33,10,0.95,0.8,0.7,0.08,0.74,34.44,15500,60,0.32,0.03
87.97,0.35,0.94,68.2,3.33,2.42,10,0.95,0.8,0.64,0.08,0.77,35.56,16000,65,0.32,0.03
89.82,0.3,0.95,69.18,3.35,2.48,10,0.96,0.82,0.59,0.07,0.78,36.67,16500,70,0.31,0.03
91.42,0.26,1.0,69.1,3.27,2.57,10,1.01,0.81,0.56,0.07,0.79,37.78,17000,75,0.31,0.02
92.71,0.22,1.01,69.66,3.17,2.62,10,1.01,0.81,0.52,0.07,0.81,38.89,17500,80,0.3,0.03
94.01,0.19,1.01,68.92,3.17,2.71,10,1.02,0.82,0.51,0.07,0.81,40.0,18000,85,0.31,0.02
94.6,0.17,1.04,69.62,3.1,2.77,10,1.05,0.82,0.48,0.07,0.82,41.11,18500,90,0.3,0.03
95.46,0.14,1.13,69.0,2.97,2.86,10,1.14,0.83,0.43,0.07,0.84,42.22,19000,95,0.31,0.03
96.12,0.13,1.11,70.22,2.98,2.93,10,1.12,0.84,0.41,0.07,0.84,43.33,19500,100,0.3,0.03
96.64,0.11,1.13,69.68,2.93,2.97,10,1.14,0.83,0.41,0.07,0.84,44.44,20000,105,0.3,0.03
96.95,0.1,1.15,70.32,2.8,3.08,10,1.16,0.83,0.4,0.07,0.85,45.56,20500,110,0.3,0.03
97.07,0.1,1.13,70.0,2.78,3.11,10,1.14,0.83,0.41,0.07,0.85,46.67,21000,115,0.3,0.03
97.37,0.09,1.18,70.36,2.76,3.2,10,1.19,0.82,0.38,0.07,0.85,47.78,21500,120,0.3,0.03
97.48,0.09,1.17,69.58,2.65,3.24,10,1.18,0.83,0.38,0.07,0.86,48.89,22000,125,0.3,0.03
97.56,0.09,1.19,70.08,2.6,3.33,10,1.2,0.83,0.37,0.06,0.86,50.0,22500,130,0.3,0.03
97.52,0.09,1.16,70.88,2.59,3.39,10,1.17,0.83,0.36,0.06,0.86,51.11,23000,135,0.29,0.03
97.54,0.08,1.17,71.08,2.54,3.51,10,1.19,0.82,0.35,0.06,0.87,52.22,23500,140,0.29,0.03
97.83,0.08,1.18,70.76,2.47,3.59,10,1.19,0.82,0.36,0.06,0.86,53.33,24000,145,0.29,0.03
98.0,0.07,1.19,71.5,2.39,3.66,10,1.2,0.83,0.34,0.06,0.87,54.44,24500,150,0.28,0.03
97.86,0.08,1.15,70.96,2.35,3.71,10,1.16,0.81,0.35,0.06,0.87,55.56,25000,155,0.29,0.02
