Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
33.88,1.82,1.49,47.3,4.01,1.6,10,1.49,0.59,1.59,0.14,0.41,22.22,10000,10,0.53,0.08
52.8,1.32,1.28,54.88,3.98,1.67,10,1.28,0.68,1.31,0.12,0.52,23.33,10500,20,0.45,0.06
62.42,1.06,1.15,59.14,3.92,1.72,10,1.15,0.72,1.16,0.11,0.58,24.44,11000,30,0.41,0.04
69.9,0.86,1.09,61.76,3.86,1.8,10,1.09,0.76,0.97,0.1,0.65,25.56,11500,40,0.38,0.04
75.95,0.69,1.03,64.6,3.77,1.88,10,1.02,0.78,0.85,0.09,0.69,26.67,12000,50,0.35,0.03
81.37,0.53,1.02,66.0,3.8,1.94,10,1.01,0.8,0.76,0.08,0.72,27.78,12500,60,0.34,0.03
86.35,0.4,1.07,66.78,3.74,2.02,10,1.06,0.82,0.62,0.08,0.77,28.89,13000,70,0.33,0.03
90.64,0.28,1.16,65.56,3.66,2.07,10,1.16,0.83,0.53,0.08,0.8,30.0,13500,80,0.34,0.03
93.7,0.19,1.22,67.38,3.56,2.15,10,1.22,0.85,0.45,0.07,0.83,31.11,14000,90,0.33,0.03
95.72,0.14,1.37,65.18,3.67,2.24,10,1.37,0.84,0.42,0.07,0.84,32.22,14500,100,0.35,0.03
96.9,0.1,1.45,67.2,3.48,2.29,10,1.44,0.85,0.36,0.07,0.86,33.33,15000,110,0.33,0.03
97.59,0.08,1.5,67.04,3.43,2.38,10,1.48,0.85,0.34,0.07,0.87,34.44,15500,120,0.33,0.03
98.06,0.07,1.47,67.44,3.36,2.45,10,1.46,0.86,0.34,0.07,0.87,35.56,16000,130,0.33,0.03
98.46,0.06,1.56,67.0,3.29,2.51,10,1.53,0.85,0.32,0.07,0.88,36.67,16500,140,0.33,0.03
98.66,0.05,1.54,67.98,3.25,2.57,10,1.52,0.86,0.32,0.07,0.88,37.78,17000,150,0.32,0.03
98.62,0.05,1.52,67.2,3.22,2.64,10,1.49,0.85,0.33,0.07,0.87,38.89,17500,160,0.33,0.03
98.81,0.04,1.62,67.64,3.15,2.72,10,1.58,0.85,0.29,0.07,0.89,40.0,18000,170,0.32,0.03
98.54,0.06,1.53,68.1,3.07,2.79,10,1.52,0.85,0.32,0.07,0.88,41.11,18500,180,0.32,0.03
98.87,0.04,1.52,67.56,2.97,2.84,10,1.5,0.86,0.31,0.07,0.88,42.22,19000,190,0.32,0.04
98.84,0.05,1.55,67.42,3.0,2.92,10,1.54,0.85,0.31,0.07,0.88,43.33,19500,200,0.33,0.03
98.85,0.04,1.55,68.2,2.89,2.99,10,1.53,0.85,0.29,0.07,0.89,44.44,20000,210,0.32,0.03
98.96,0.04,1.47,68.38,2.84,3.09,10,1.46,0.85,0.3,0.07,0.88,45.56,20500,220,0.32,0.03
98.93,0.04,1.44,68.26,2.85,3.17,10,1.43,0.85,0.31,0.07,0.88,46.67,21000,230,0.32,0.03
98.87,0.04,1.48,68.68,2.74,3.2,10,1.46,0.85,0.29,0.07,0.89,47.78,21500,240,0.31,0.03
99.0,0.04,1.5,69.3,2.69,3.27,10,1.48,0.85,0.29,0.07,0.89,48.89,22000,250,0.31,0.03
98.98,0.04,1.48,69.06,2.66,3.38,10,1.46,0.85,0.29,0.06,0.89,50.0,22500,260,0.31,0.03
99.09,0.03,1.49,69.64,2.58,3.44,10,1.47,0.85,0.28,0.06,0.89,51.11,23000,270,0.3,0.03
99.01,0.04,1.43,69.86,2.53,3.53,10,1.42,0.84,0.3,0.06,0.88,52.22,23500,280,0.3,0.03
99.01,0.04,1.45,69.94,2.48,3.6,10,1.43,0.84,0.29,0.06,0.89,53.33,24000,290,0.3,0.03
99.05,0.04,1.44,69.68,2.43,3.65,10,1.43,0.84,0.28,0.06,0.89,54.44,24500,300,0.3,0.03
98.99,0.04,1.39,69.88,2.38,3.7,10,1.37,0.84,0.29,0.06,0.89,55.56,25000,310,0.3,0.03
