Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
24.54,2.08,1.81,35.94,3.94,1.57,10,1.81,0.41,1.91,0.16,0.3,22.22,10000,5,0.64,0.14
40.94,1.64,1.54,44.44,3.9,1.63,10,1.54,0.58,1.57,0.14,0.42,23.33,10500,10,0.56,0.09
49.95,1.39,1.39,50.28,3.91,1.74,10,1.38,0.63,1.47,0.13,0.46,24.44,11000,15,0.5,0.07
56.92,1.21,1.3,53.18,3.81,1.79,10,1.3,0.67,1.32,0.12,0.51,25.56,11500,20,0.47,0.06
62.09,1.08,1.2,57.8,3.8,1.86,10,1.2,0.68,1.27,0.11,0.54,26.67,12000,25,0.42,0.05
67.07,0.94,1.13,60.16,3.8,1.91,10,1.13,0.71,1.15,0.11,0.58,27.78,12500,30,0.4,0.04
70.81,0.84,1.15,59.66,3.71,1.98,10,1.15,0.73,1.0,0.1,0.63,28.89,13000,35,0.4,0.04
74.38,0.74,1.03,63.92,3.57,2.05,10,1.03,0.76,0.97,0.09,0.65,30.0,13500,40,0.36,0.04
77.49,0.65,1.02,65.0,3.61,2.11,10,1.02,0.77,0.88,0.09,0.68,31.11,14000,45,0.35,0.04
80.26,0.57,0.97,66.74,3.54,2.2,10,0.97,0.78,0.81,0.08,0.71,32.22,14500,50,0.33,0.04
82.63,0.5,0.98,67.28,3.5,2.27,10,0.97,0.79,0.73,0.08,0.73,33.33,15000,55,0.33,0.03
85.25,0.43,0.97,68.28,3.32,2.33,10,0.97,0.79,0.74,0.08,0.73,34.44,15500,60,0.32,0.03
87.22,0.37,1.01,67.54,3.38,2.41,10,1.0,0.79,0.68,0.08,0.75,35.56,16000,65,0.32,0.03
89.19,0.32,0.98,69.42,3.31,2.49,10,0.97,0.81,0.61,0.07,0.78,36.67,16500,70,0.31,0.03
91.1,0.27,1.02,69.24,3.23,2.54,10,1.02,0.82,0.56,0.07,0.79,37.78,17000,75,0.31,0.03
92.39,0.23,1.06,69.0,3.12,2.64,10,1.05,0.81,0.54,0.07,0.8,38.89,17500,80,0.31,0.03
93.67,0.2,1.08,68.32,3.06,2.7,10,1.07,0.82,0.49,0.07,0.82,40.0,18000,85,0.32,0.03
94.43,0.17,1.11,69.7,3.09,2.78,10,1.09,0.83,0.47,0.07,0.83,41.11,18500,90,0.3,0.03
95.52,0.14,1.16,68.86,3.02,2.85,10,1.14,0.83,0.44,0.07,0.83,42.22,19000,95,0.31,0.03
95.98,0.13,1.15,69.34,2.94,2.91,10,1.14,0.83,0.43,0.07,0.84,43.33,19500,100,0.31,0.03
96.49,0.12,1.18,69.52,2.9,3.02,10,1.17,0.84,0.39,0.07,0.85,44.44,20000,105,0.3,0.03
96.82,0.11,1.17,69.58,2.78,3.06,10,1.15,0.83,0.41,0.07,0.84,45.56,20500,110,0.3,0.03
97.04,0.1,1.18,69.78,2.82,3.14,10,1.17,0.83,0.38,0.07,0.86,46.67,21000,115,0.3,0.03
97.4,0.09,1.22,70.06,2.68,3.22,10,1.2,0.83,0.36,0.06,0.86,47.78,21500,120,0.3,0.03
97.53,0.09,1.24,69.66,2.73,3.25,10,1.23,0.83,0.36,0.07,0.86,48.89,22000,125,0.3,0.03
97.75,0.08,1.25,69.74,2.74,3.32,10,1.23,0.84,0.35,0.07,0.87,50.0,22500,130,0.3,0.03
97.7,0.08,1.26,69.78,2.58,3.45,10,1.24,0.83,0.34,0.06,0.87,51.11,23000,135,0.3,0.03
97.79,0.08,1.22,70.44,2.48,3.44,10,1.21,0.83,0.34,0.06,0.87,52.22,23500,140,0.3,0.03
97.91,0.08,1.2,70.48,2.47,3.52,10,1.18,0.83,0.35,0.06,0.87,53.33,24000,145,0.3,0.03
97.99,0.07,1.21,70.52,2.38,3.62,10,1.2,0.82,0.35,0.06,0.87,54.44,24500,150,0.29,0.03
97.94,0.07,1.25,71.0,2.36,3.7,10,1.23,0.82,0.33,0.06,0.87,55.56,25000,155,0.29,0.03
