Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
25.37,2.03,1.75,36.02,-1.0,1.52,-1,1.75,-1.0,1.77,0.15,0.35,22.22,10000,10,0.64,0.12
41.67,1.61,1.47,47.32,3.93,1.8,10,1.47,0.5,1.46,0.13,0.47,26.67,12000,20,0.53,0.07
46.28,1.5,1.36,51.36,3.82,2.07,10,1.36,0.6600000262260437,1.37,0.13,0.5,31.11,14000,30,0.49,0.06
49.12,1.42,1.27,54.42,3.56,2.36,10,1.27,0.699999988079071,1.23,0.12,0.55,35.56,16000,40,0.46,0.05
52.3,1.34,1.21,57.02,3.4,2.65,10,1.21,0.75,1.13,0.11,0.59,40.0,18000,50,0.43,0.04
55.46,1.26,1.19,59.36,3.06,2.96,10,1.19,0.7799999713897705,1.0,0.1,0.64,44.44,20000,60,0.41,0.04
58.47,1.17,1.17,59.72,2.92,3.23,10,1.17,0.800000011920929,0.95,0.1,0.66,48.89,22000,70,0.4,0.04
61.53,1.08,1.14,61.66,2.64,3.48,10,1.14,0.8100000023841858,0.84,0.09,0.69,53.33,24000,80,0.38,0.04
64.33,1.0,1.11,62.48,2.44,3.77,10,1.11,0.8299999833106995,0.78,0.09,0.71,57.78,26000,90,0.38,0.03
67.27,0.92,1.07,65.26,2.21,4.07,10,1.07,0.8399999737739563,0.71,0.08,0.74,62.22,28000,100,0.35,0.03
69.74,0.85,1.08,64.46,2.05,4.33,10,1.09,0.8500000238418579,0.7,0.08,0.75,66.67,30000,110,0.36,0.03
72.39,0.78,1.09,65.26,1.75,4.62,10,1.1,0.8500000238418579,0.66,0.08,0.76,71.11,32000,120,0.35,0.03
74.79,0.71,1.1,66.0,1.53,4.93,10,1.1,0.8500000238418579,0.64,0.08,0.77,75.56,34000,130,0.34,0.03
77.16,0.65,1.13,66.38,1.32,5.18,10,1.14,0.8600000143051147,0.57,0.08,0.79,80.0,36000,140,0.34,0.03
79.44,0.58,1.17,66.36,1.11,5.47,10,1.18,0.8600000143051147,0.54,0.08,0.8,84.44,38000,150,0.34,0.03
81.57,0.53,1.17,66.84,0.92,5.74,10,1.18,0.8500000238418579,0.5,0.07,0.81,88.89,40000,160,0.33,0.03
83.64,0.47,1.25,66.52,0.68,6.04,10,1.26,0.8500000238418579,0.48,0.08,0.82,93.33,42000,170,0.33,0.03
85.46,0.42,1.26,66.42,0.45,6.32,10,1.27,0.8399999737739563,0.47,0.07,0.83,97.78,44000,180,0.34,0.03
86.82,0.37,1.3,66.38,0.21,6.49,10,1.31,0.8399999737739563,0.44,0.07,0.83,100.0,45000,190,0.34,0.03
