Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
15.16,2.23,2.08,25.14,4.03,1.57,10,2.08,0.19,2.15,0.17,0.19,22.22,10000,5,0.75,0.26
27.97,1.97,1.86,31.76,3.97,1.64,10,1.86,0.41,1.9,0.16,0.29,23.33,10500,10,0.68,0.18
34.55,1.82,1.7,38.66,3.86,1.7,10,1.71,0.52,1.74,0.15,0.36,24.44,11000,15,0.61,0.13
39.72,1.68,1.57,43.38,3.83,1.76,10,1.58,0.6,1.59,0.14,0.42,25.56,11500,20,0.57,0.11
43.17,1.58,1.5,45.78,3.95,1.84,10,1.5,0.63,1.51,0.14,0.45,26.67,12000,25,0.54,0.09
46.15,1.51,1.41,49.12,3.77,1.91,10,1.42,0.67,1.41,0.13,0.48,27.78,12500,30,0.51,0.07
48.55,1.44,1.36,51.16,3.72,2.0,10,1.37,0.69,1.34,0.12,0.51,28.89,13000,35,0.49,0.06
50.48,1.39,1.34,52.34,3.75,2.04,10,1.34,0.72,1.27,0.12,0.54,30.0,13500,40,0.48,0.06
52.07,1.35,1.3,54.16,3.59,2.15,10,1.3,0.72,1.26,0.12,0.54,31.11,14000,45,0.46,0.06
53.69,1.31,1.28,54.62,3.63,2.18,10,1.28,0.74,1.2,0.11,0.57,32.22,14500,50,0.45,0.05
55.01,1.27,1.25,55.88,3.43,2.29,10,1.25,0.76,1.13,0.11,0.59,33.33,15000,55,0.44,0.05
56.51,1.22,1.26,55.5,3.4,2.33,10,1.26,0.76,1.12,0.11,0.59,34.44,15500,60,0.44,0.04
58.14,1.18,1.22,56.98,3.39,2.4,10,1.22,0.79,1.02,0.11,0.63,35.56,16000,65,0.43,0.04
59.27,1.14,1.18,58.54,3.36,2.49,10,1.19,0.79,1.01,0.1,0.63,36.67,16500,70,0.41,0.05
60.67,1.11,1.23,57.76,3.23,2.57,10,1.24,0.8,0.94,0.1,0.66,37.78,17000,75,0.42,0.05
62.24,1.06,1.2,59.8,3.25,2.62,10,1.2,0.81,0.93,0.1,0.66,38.89,17500,80,0.4,0.05
63.57,1.03,1.2,59.4,3.13,2.68,10,1.21,0.82,0.89,0.1,0.67,40.0,18000,85,0.41,0.05
64.5,1.0,1.18,60.08,3.1,2.76,10,1.19,0.82,0.87,0.1,0.68,41.11,18500,90,0.4,0.04
65.94,0.96,1.21,60.76,3.08,2.85,10,1.22,0.83,0.81,0.09,0.7,42.22,19000,95,0.39,0.04
67.31,0.93,1.19,60.7,3.01,2.94,10,1.2,0.83,0.8,0.09,0.71,43.33,19500,100,0.39,0.04
68.58,0.89,1.19,61.54,2.89,2.99,10,1.2,0.84,0.76,0.09,0.72,44.44,20000,105,0.38,0.04
69.78,0.86,1.25,61.18,2.83,3.11,10,1.26,0.84,0.72,0.09,0.74,45.56,20500,110,0.39,0.04
70.64,0.83,1.25,60.84,2.8,3.14,10,1.26,0.85,0.7,0.09,0.74,46.67,21000,115,0.39,0.04
71.7,0.81,1.26,61.66,2.73,3.21,10,1.27,0.85,0.69,0.09,0.74,47.78,21500,120,0.38,0.04
72.68,0.78,1.28,61.48,2.73,3.29,10,1.29,0.85,0.65,0.09,0.76,48.89,22000,125,0.39,0.04
73.58,0.75,1.28,61.24,2.62,3.37,10,1.28,0.86,0.65,0.09,0.76,50.0,22500,130,0.39,0.04
74.28,0.73,1.28,62.38,2.56,3.43,10,1.29,0.86,0.62,0.09,0.77,51.11,23000,135,0.38,0.04
75.38,0.7,1.3,62.62,2.53,3.48,10,1.31,0.86,0.59,0.08,0.78,52.22,23500,140,0.37,0.04
76.09,0.69,1.33,61.5,2.45,3.55,10,1.34,0.86,0.59,0.09,0.78,53.33,24000,145,0.38,0.04
77.04,0.66,1.3,62.12,2.45,3.68,10,1.31,0.87,0.6,0.09,0.78,54.44,24500,150,0.38,0.04
77.75,0.64,1.35,62.44,2.4,3.74,10,1.36,0.87,0.56,0.08,0.79,55.56,25000,155,0.38,0.04
