Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
20.84,2.13,1.78,36.04,-1.0,1.53,-1,1.78,-1.0,1.87,0.16,0.31,22.22,10000,10,0.64,0.14
40.3,1.66,1.47,47.1,3.92,1.8,10,1.47,0.4399999976158142,1.48,0.13,0.46,26.67,12000,20,0.53,0.08
46.65,1.49,1.35,50.84,3.75,2.08,10,1.35,0.6499999761581421,1.31,0.12,0.52,31.11,14000,30,0.49,0.07
49.7,1.4,1.28,54.1,3.58,2.36,10,1.28,0.7099999785423279,1.23,0.12,0.55,35.56,16000,40,0.46,0.05
52.95,1.31,1.24,56.26,3.31,2.64,10,1.24,0.7400000095367432,1.08,0.11,0.6,40.0,18000,50,0.44,0.05
55.92,1.23,1.17,59.02,3.08,2.94,10,1.17,0.7799999713897705,0.97,0.1,0.65,44.44,20000,60,0.41,0.04
58.79,1.15,1.14,60.24,2.83,3.2,10,1.14,0.8100000023841858,0.93,0.1,0.66,48.89,22000,70,0.4,0.04
61.61,1.07,1.14,60.78,2.69,3.49,10,1.14,0.8199999928474426,0.85,0.09,0.69,53.33,24000,80,0.39,0.04
64.37,0.99,1.11,62.96,2.39,3.8,10,1.11,0.8299999833106995,0.79,0.09,0.71,57.78,26000,90,0.37,0.03
67.2,0.92,1.12,62.48,2.21,4.08,10,1.12,0.8500000238418579,0.75,0.09,0.73,62.22,28000,100,0.38,0.04
69.89,0.84,1.13,63.84,2.0,4.37,10,1.13,0.8500000238418579,0.7,0.09,0.74,66.67,30000,110,0.36,0.03
72.34,0.78,1.16,63.72,1.76,4.63,10,1.15,0.8600000143051147,0.63,0.08,0.77,71.11,32000,120,0.36,0.03
74.51,0.72,1.16,64.62,1.54,4.92,10,1.17,0.8600000143051147,0.6,0.08,0.78,75.56,34000,130,0.35,0.03
76.87,0.66,1.19,64.3,1.38,5.22,10,1.19,0.8700000047683716,0.56,0.08,0.79,80.0,36000,140,0.36,0.03
78.94,0.6,1.2,64.48,1.14,5.51,10,1.2,0.8700000047683716,0.56,0.08,0.79,84.44,38000,150,0.36,0.03
80.99,0.55,1.27,63.7,0.87,5.79,10,1.27,0.8600000143051147,0.53,0.08,0.8,88.89,40000,160,0.36,0.03
82.89,0.49,1.32,64.12,0.7,6.06,10,1.32,0.8500000238418579,0.5,0.08,0.81,93.33,42000,170,0.36,0.03
84.76,0.44,1.38,64.2,0.42,6.35,10,1.38,0.8199999928474426,0.47,0.08,0.82,97.78,44000,180,0.36,0.04
86.08,0.4,1.43,63.16,0.2,6.48,10,1.44,0.8100000023841858,0.45,0.08,0.83,100.0,45000,190,0.37,0.04
