Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
12.62,2.28,2.19,21.04,4.03,1.54,10,2.19,0.06,2.26,0.18,0.15,22.22,10000,5,0.79,0.29
28.8,2.0,1.8,35.76,4.02,1.64,10,1.8,0.45,1.86,0.16,0.32,23.33,10500,10,0.64,0.15
37.37,1.75,1.61,41.78,3.97,1.69,10,1.61,0.56,1.67,0.14,0.39,24.44,11000,15,0.58,0.1
41.55,1.62,1.52,44.7,3.89,1.77,10,1.52,0.62,1.51,0.14,0.45,25.56,11500,20,0.55,0.08
44.38,1.54,1.45,47.24,3.81,1.83,10,1.44,0.64,1.48,0.13,0.47,26.67,12000,25,0.53,0.07
46.15,1.49,1.39,49.56,3.85,1.91,10,1.39,0.67,1.41,0.13,0.49,27.78,12500,30,0.5,0.07
48.02,1.44,1.35,50.7,3.74,1.99,10,1.35,0.68,1.39,0.13,0.5,28.89,13000,35,0.49,0.06
49.78,1.4,1.31,52.6,3.66,2.04,10,1.31,0.7,1.31,0.12,0.52,30.0,13500,40,0.47,0.06
51.28,1.35,1.3,53.78,3.61,2.14,10,1.3,0.71,1.28,0.12,0.53,31.11,14000,45,0.46,0.06
53.04,1.31,1.25,54.82,3.53,2.18,10,1.26,0.73,1.22,0.12,0.56,32.22,14500,50,0.45,0.05
54.8,1.26,1.22,56.3,3.51,2.28,10,1.23,0.76,1.13,0.11,0.59,33.33,15000,55,0.44,0.05
56.09,1.22,1.23,56.32,3.37,2.35,10,1.23,0.76,1.1,0.11,0.6,34.44,15500,60,0.44,0.05
57.86,1.17,1.21,57.24,3.42,2.44,10,1.21,0.77,1.06,0.11,0.61,35.56,16000,65,0.43,0.05
59.08,1.14,1.18,58.24,3.34,2.47,10,1.19,0.79,0.99,0.1,0.64,36.67,16500,70,0.42,0.04
60.71,1.1,1.19,58.48,3.29,2.58,10,1.2,0.8,0.94,0.1,0.66,37.78,17000,75,0.42,0.04
62.29,1.06,1.15,60.76,3.24,2.65,10,1.15,0.81,0.92,0.1,0.67,38.89,17500,80,0.39,0.04
63.52,1.02,1.17,60.12,3.1,2.71,10,1.17,0.82,0.86,0.1,0.69,40.0,18000,85,0.4,0.04
65.05,0.98,1.15,60.84,3.1,2.79,10,1.15,0.82,0.85,0.09,0.69,41.11,18500,90,0.39,0.04
66.5,0.94,1.16,61.8,3.06,2.84,10,1.16,0.83,0.8,0.09,0.71,42.22,19000,95,0.38,0.04
68.12,0.9,1.16,61.38,3.01,2.92,10,1.16,0.84,0.77,0.09,0.72,43.33,19500,100,0.39,0.04
69.17,0.87,1.14,63.06,2.93,3.02,10,1.15,0.84,0.75,0.09,0.72,44.44,20000,105,0.37,0.04
70.43,0.84,1.17,62.6,2.92,3.08,10,1.17,0.84,0.7,0.09,0.74,45.56,20500,110,0.37,0.04
71.57,0.81,1.17,63.08,2.83,3.14,10,1.18,0.85,0.68,0.09,0.75,46.67,21000,115,0.37,0.04
72.73,0.78,1.2,64.28,2.78,3.22,10,1.21,0.86,0.62,0.08,0.77,47.78,21500,120,0.36,0.04
73.56,0.75,1.2,63.86,2.7,3.31,10,1.21,0.86,0.62,0.08,0.77,48.89,22000,125,0.36,0.04
74.62,0.72,1.22,64.36,2.73,3.41,10,1.23,0.86,0.58,0.08,0.78,50.0,22500,130,0.36,0.04
75.46,0.7,1.21,64.24,2.58,3.42,10,1.22,0.86,0.6,0.08,0.78,51.11,23000,135,0.36,0.04
76.45,0.67,1.26,64.06,2.51,3.5,10,1.27,0.87,0.55,0.08,0.79,52.22,23500,140,0.36,0.04
77.13,0.65,1.28,63.56,2.54,3.57,10,1.29,0.87,0.55,0.08,0.8,53.33,24000,145,0.36,0.04
78.16,0.63,1.31,64.32,2.54,3.64,10,1.31,0.87,0.51,0.08,0.81,54.44,24500,150,0.36,0.04
78.83,0.6,1.27,65.16,2.41,3.71,10,1.27,0.87,0.53,0.08,0.8,55.56,25000,155,0.35,0.03
