Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
25.46,2.04,1.82,34.04,4.75,1.73,10,1.82,0.47,1.81,0.16,0.34,22.22,10000,10,0.66,0.16
41.67,1.63,1.56,45.32,4.48,1.78,10,1.55,0.62,1.52,0.14,0.44,23.33,10500,20,0.55,0.1
48.93,1.42,1.44,49.38,4.41,1.93,10,1.44,0.67,1.38,0.13,0.5,24.44,11000,30,0.51,0.08
53.15,1.3,1.37,51.64,4.3,1.95,10,1.37,0.7,1.28,0.12,0.53,25.56,11500,40,0.48,0.07
56.42,1.21,1.34,54.02,4.36,2.03,10,1.33,0.75,1.13,0.11,0.58,26.67,12000,50,0.46,0.06
59.45,1.12,1.3,55.02,4.22,2.1,10,1.3,0.76,1.08,0.11,0.61,27.78,12500,60,0.45,0.06
62.15,1.05,1.31,55.8,4.1,2.21,10,1.3,0.77,1.01,0.11,0.63,28.89,13000,70,0.44,0.06
65.4,0.97,1.35,54.92,4.09,2.27,10,1.35,0.79,0.93,0.11,0.66,30.0,13500,80,0.45,0.06
68.37,0.89,1.36,56.56,4.2,2.33,10,1.36,0.8,0.86,0.1,0.68,31.11,14000,90,0.43,0.06
70.97,0.82,1.41,55.64,3.96,2.43,10,1.41,0.81,0.8,0.1,0.7,32.22,14500,100,0.44,0.06
73.31,0.75,1.45,57.18,3.8,2.47,10,1.44,0.82,0.73,0.1,0.73,33.33,15000,110,0.43,0.06
75.62,0.69,1.6,55.26,3.83,2.59,10,1.59,0.83,0.68,0.1,0.75,34.44,15500,120,0.45,0.06
77.96,0.63,1.57,56.98,3.73,2.64,10,1.57,0.84,0.63,0.09,0.77,35.56,16000,130,0.43,0.06
79.89,0.58,1.67,57.64,3.58,2.74,10,1.66,0.85,0.56,0.09,0.79,36.67,16500,140,0.42,0.06
81.73,0.53,1.73,58.58,3.87,2.85,10,1.72,0.85,0.53,0.09,0.8,37.78,17000,150,0.41,0.06
83.19,0.49,1.82,57.92,3.54,3.03,10,1.81,0.86,0.5,0.09,0.81,38.89,17500,160,0.42,0.06
84.39,0.45,1.96,57.54,3.56,3.09,10,1.95,0.86,0.45,0.09,0.83,40.0,18000,170,0.42,0.05
85.03,0.44,2.0,57.34,3.5,3.18,10,1.99,0.86,0.44,0.09,0.83,41.11,18500,180,0.43,0.06
86.68,0.39,2.13,57.54,3.55,3.31,10,2.1,0.87,0.4,0.09,0.85,42.22,19000,190,0.42,0.06
87.52,0.37,2.22,57.12,3.55,3.24,10,2.18,0.87,0.39,0.09,0.85,43.33,19500,200,0.43,0.06
88.18,0.35,2.3,57.9,3.37,3.38,10,2.26,0.87,0.36,0.09,0.86,44.44,20000,210,0.42,0.06
88.68,0.34,2.3,57.5,3.39,3.47,10,2.25,0.87,0.37,0.09,0.86,45.56,20500,220,0.42,0.05
88.97,0.33,2.42,57.24,2.86,3.48,10,2.36,0.87,0.35,0.09,0.87,46.67,21000,230,0.43,0.06
89.63,0.32,2.36,57.3,2.74,3.22,10,2.31,0.88,0.34,0.09,0.87,47.78,21500,240,0.43,0.06
90.21,0.3,2.41,57.02,2.68,3.29,10,2.35,0.88,0.34,0.09,0.87,48.89,22000,250,0.43,0.05
90.18,0.3,2.46,57.42,2.63,3.35,10,2.39,0.88,0.34,0.09,0.87,50.0,22500,260,0.43,0.06
90.33,0.3,2.49,58.06,2.59,3.42,10,2.42,0.88,0.32,0.09,0.88,51.11,23000,270,0.42,0.05
90.45,0.3,2.53,57.42,2.54,3.52,10,2.46,0.88,0.32,0.09,0.88,52.22,23500,280,0.43,0.06
90.95,0.28,2.45,58.04,2.48,3.59,10,2.39,0.88,0.32,0.09,0.87,53.33,24000,290,0.42,0.05
91.02,0.28,2.55,57.5,2.43,3.61,10,2.49,0.88,0.31,0.09,0.88,54.44,24500,300,0.42,0.06
91.3,0.27,2.53,57.92,2.37,3.73,10,2.46,0.88,0.31,0.09,0.88,55.56,25000,310,0.42,0.06
