Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
18.44,2.2,2.01,27.54,4.06,1.53,10,2.01,0.29,2.07,0.17,0.25,22.22,10000,5,0.72,0.23
33.63,1.86,1.79,36.94,4.0,1.62,10,1.79,0.48,1.8,0.15,0.34,23.33,10500,10,0.63,0.14
40.11,1.67,1.63,41.3,4.01,1.7,10,1.63,0.56,1.63,0.14,0.4,24.44,11000,15,0.59,0.11
44.24,1.55,1.58,45.5,3.9,1.78,10,1.58,0.6,1.54,0.14,0.43,25.56,11500,20,0.55,0.1
47.24,1.47,1.48,48.44,3.82,1.86,10,1.47,0.65,1.46,0.13,0.47,26.67,12000,25,0.52,0.09
49.54,1.41,1.47,48.72,3.73,1.9,10,1.47,0.69,1.34,0.13,0.51,27.78,12500,30,0.51,0.08
51.13,1.36,1.44,49.42,3.72,1.96,10,1.44,0.68,1.35,0.13,0.51,28.89,13000,35,0.51,0.08
52.4,1.32,1.41,51.36,3.66,2.06,10,1.41,0.71,1.28,0.12,0.54,30.0,13500,40,0.49,0.07
53.78,1.28,1.42,51.62,3.6,2.13,10,1.41,0.72,1.22,0.12,0.56,31.11,14000,45,0.48,0.07
55.24,1.24,1.39,52.8,3.53,2.2,10,1.39,0.74,1.17,0.12,0.57,32.22,14500,50,0.47,0.07
56.43,1.2,1.36,53.88,3.57,2.28,10,1.36,0.75,1.14,0.11,0.59,33.33,15000,55,0.46,0.07
57.46,1.17,1.36,53.52,3.38,2.34,10,1.36,0.76,1.08,0.11,0.6,34.44,15500,60,0.46,0.06
58.98,1.13,1.37,53.02,3.38,2.4,10,1.37,0.76,1.08,0.11,0.6,35.56,16000,65,0.47,0.07
60.51,1.1,1.34,55.3,3.39,2.49,10,1.34,0.78,1.04,0.11,0.62,36.67,16500,70,0.45,0.07
61.74,1.06,1.37,54.96,3.29,2.55,10,1.38,0.79,0.97,0.11,0.65,37.78,17000,75,0.45,0.06
62.95,1.03,1.37,55.74,3.21,2.64,10,1.37,0.79,0.94,0.11,0.65,38.89,17500,80,0.44,0.06
64.22,1.0,1.35,55.94,3.15,2.73,10,1.35,0.8,0.95,0.11,0.65,40.0,18000,85,0.44,0.06
65.24,0.97,1.38,55.98,3.09,2.81,10,1.39,0.81,0.9,0.1,0.67,41.11,18500,90,0.44,0.06
66.76,0.93,1.4,55.98,3.11,2.86,10,1.4,0.81,0.86,0.1,0.68,42.22,19000,95,0.44,0.06
68.07,0.9,1.35,57.22,2.92,2.92,10,1.35,0.82,0.84,0.1,0.69,43.33,19500,100,0.43,0.06
69.3,0.86,1.39,56.76,2.92,3.02,10,1.39,0.82,0.82,0.1,0.7,44.44,20000,105,0.43,0.06
70.57,0.83,1.41,57.18,2.93,3.06,10,1.41,0.83,0.75,0.1,0.72,45.56,20500,110,0.43,0.06
71.36,0.81,1.43,56.8,2.85,3.14,10,1.43,0.83,0.75,0.1,0.72,46.67,21000,115,0.43,0.06
72.42,0.78,1.44,56.94,2.74,3.2,10,1.45,0.83,0.74,0.1,0.73,47.78,21500,120,0.43,0.06
73.53,0.76,1.42,57.94,2.79,3.32,10,1.42,0.84,0.71,0.09,0.74,48.89,22000,125,0.42,0.05
73.89,0.74,1.43,58.42,2.59,3.36,10,1.44,0.84,0.7,0.09,0.74,50.0,22500,130,0.42,0.05
74.69,0.72,1.46,58.46,2.6,3.43,10,1.46,0.85,0.67,0.09,0.75,51.11,23000,135,0.42,0.05
75.5,0.7,1.49,57.82,2.57,3.51,10,1.49,0.85,0.66,0.09,0.76,52.22,23500,140,0.42,0.06
76.19,0.68,1.51,58.28,2.43,3.59,10,1.51,0.86,0.63,0.09,0.77,53.33,24000,145,0.42,0.05
76.72,0.66,1.51,58.9,2.37,3.65,10,1.52,0.86,0.6,0.09,0.78,54.44,24500,150,0.41,0.05
77.34,0.65,1.49,58.64,2.4,3.72,10,1.5,0.86,0.61,0.09,0.78,55.56,25000,155,0.41,0.05
