Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
23.56,2.13,1.89,33.66,4.1,1.59,10,1.89,0.4,1.92,0.16,0.31,22.22,10000,10,0.66,0.17
40.16,1.68,1.62,42.5,4.09,1.65,10,1.62,0.59,1.56,0.14,0.43,23.33,10500,20,0.57,0.11
48.54,1.44,1.51,46.14,4.07,1.77,10,1.51,0.62,1.47,0.13,0.46,24.44,11000,30,0.54,0.09
53.87,1.3,1.36,50.78,4.03,1.83,10,1.37,0.69,1.31,0.12,0.52,25.56,11500,40,0.49,0.06
58.29,1.18,1.3,54.3,3.82,1.88,10,1.31,0.73,1.19,0.12,0.57,26.67,12000,50,0.46,0.06
62.53,1.06,1.29,54.72,3.8,1.94,10,1.3,0.74,1.09,0.11,0.61,27.78,12500,60,0.45,0.06
66.11,0.97,1.27,56.72,3.67,2.01,10,1.28,0.77,1.0,0.11,0.64,28.89,13000,70,0.43,0.06
69.46,0.87,1.32,56.32,3.74,2.06,10,1.32,0.79,0.89,0.1,0.68,30.0,13500,80,0.44,0.05
72.65,0.78,1.35,57.0,3.74,2.15,10,1.36,0.79,0.84,0.1,0.7,31.11,14000,90,0.43,0.06
75.49,0.7,1.4,57.06,3.57,2.21,10,1.41,0.81,0.74,0.1,0.73,32.22,14500,100,0.43,0.05
78.12,0.63,1.45,57.62,3.56,2.33,10,1.45,0.82,0.69,0.09,0.75,33.33,15000,110,0.42,0.05
80.57,0.56,1.53,58.1,3.57,2.44,10,1.54,0.83,0.63,0.09,0.77,34.44,15500,120,0.42,0.05
82.81,0.5,1.58,57.62,3.46,2.44,10,1.59,0.83,0.59,0.09,0.78,35.56,16000,130,0.42,0.06
84.69,0.45,1.69,57.5,3.31,2.5,10,1.69,0.84,0.56,0.09,0.79,36.67,16500,140,0.42,0.06
86.5,0.4,1.86,58.1,3.28,2.58,10,1.86,0.85,0.48,0.09,0.82,37.78,17000,150,0.42,0.06
87.81,0.36,1.96,57.82,3.29,2.67,10,1.94,0.85,0.45,0.09,0.83,38.89,17500,160,0.42,0.06
89.01,0.34,2.06,55.98,3.29,2.71,10,2.05,0.85,0.44,0.09,0.83,40.0,18000,170,0.44,0.06
89.45,0.32,2.06,58.4,3.24,2.85,10,2.04,0.86,0.42,0.09,0.84,41.11,18500,180,0.42,0.06
90.73,0.28,2.19,58.32,3.14,2.92,10,2.15,0.86,0.39,0.09,0.85,42.22,19000,190,0.42,0.06
91.28,0.27,2.33,57.08,3.09,2.94,10,2.29,0.86,0.38,0.09,0.85,43.33,19500,200,0.43,0.06
92.1,0.24,2.36,57.92,2.92,3.0,10,2.31,0.86,0.37,0.09,0.86,44.44,20000,210,0.42,0.06
92.44,0.24,2.41,58.98,2.79,3.1,10,2.36,0.87,0.34,0.09,0.87,45.56,20500,220,0.41,0.06
92.71,0.23,2.46,58.5,2.85,3.18,10,2.4,0.87,0.35,0.09,0.87,46.67,21000,230,0.42,0.06
93.31,0.21,2.55,57.86,2.8,3.21,10,2.48,0.87,0.32,0.09,0.88,47.78,21500,240,0.42,0.06
93.36,0.21,2.6,57.72,2.7,3.5,10,2.52,0.87,0.31,0.09,0.88,48.89,22000,250,0.42,0.06
93.88,0.2,2.67,57.92,2.73,3.44,10,2.58,0.87,0.31,0.09,0.88,50.0,22500,260,0.42,0.06
93.83,0.2,2.63,58.44,2.66,3.43,10,2.53,0.87,0.3,0.09,0.88,51.11,23000,270,0.42,0.06
93.95,0.19,2.71,58.36,2.55,3.53,10,2.61,0.87,0.29,0.09,0.89,52.22,23500,280,0.42,0.06
94.17,0.19,2.7,58.72,2.51,3.62,10,2.61,0.87,0.28,0.08,0.89,53.33,24000,290,0.41,0.06
94.47,0.18,2.67,58.28,2.46,3.66,10,2.57,0.87,0.31,0.09,0.88,54.44,24500,300,0.42,0.06
94.51,0.18,2.66,58.74,2.32,3.89,10,2.56,0.87,0.27,0.08,0.9,55.56,25000,310,0.41,0.06
