Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
17.35,2.25,2.13,24.98,4.01,1.58,10,2.13,0.2,2.15,0.17,0.2,22.22,10000,5,0.75,0.26
29.99,2.01,1.88,33.22,4.01,1.64,10,1.88,0.41,1.92,0.16,0.3,23.33,10500,10,0.67,0.17
37.64,1.75,1.65,39.74,4.02,1.69,10,1.65,0.54,1.7,0.15,0.37,24.44,11000,15,0.6,0.11
43.36,1.58,1.58,43.3,3.85,1.76,10,1.58,0.62,1.52,0.14,0.44,25.56,11500,20,0.57,0.1
47.31,1.48,1.53,45.56,3.96,1.85,10,1.53,0.63,1.47,0.14,0.47,26.67,12000,25,0.54,0.1
50.6,1.39,1.42,49.02,3.75,1.93,10,1.42,0.66,1.42,0.13,0.48,27.78,12500,30,0.51,0.07
52.92,1.32,1.39,50.24,3.71,2.01,10,1.39,0.67,1.36,0.13,0.51,28.89,13000,35,0.5,0.06
55.4,1.26,1.34,51.92,3.71,2.07,10,1.34,0.69,1.31,0.12,0.53,30.0,13500,40,0.48,0.06
57.54,1.19,1.31,53.06,3.67,2.13,10,1.32,0.71,1.25,0.12,0.55,31.11,14000,45,0.47,0.06
60.02,1.14,1.31,53.34,3.54,2.21,10,1.32,0.73,1.13,0.11,0.59,32.22,14500,50,0.47,0.06
61.99,1.08,1.27,55.18,3.46,2.31,10,1.28,0.74,1.12,0.11,0.6,33.33,15000,55,0.45,0.06
63.7,1.03,1.26,55.48,3.41,2.36,10,1.27,0.76,1.03,0.11,0.63,34.44,15500,60,0.45,0.05
65.54,0.98,1.24,57.12,3.35,2.48,10,1.25,0.77,0.98,0.1,0.65,35.56,16000,65,0.43,0.06
67.17,0.93,1.22,58.12,3.29,2.49,10,1.22,0.76,0.99,0.1,0.64,36.67,16500,70,0.42,0.05
68.77,0.89,1.19,60.26,3.28,2.58,10,1.19,0.77,0.95,0.1,0.66,37.78,17000,75,0.4,0.05
70.43,0.84,1.19,59.7,3.2,2.65,10,1.2,0.78,0.91,0.1,0.67,38.89,17500,80,0.4,0.05
71.69,0.8,1.2,60.26,3.19,2.75,10,1.21,0.8,0.83,0.09,0.7,40.0,18000,85,0.4,0.05
73.28,0.76,1.21,60.28,3.12,2.79,10,1.21,0.8,0.82,0.09,0.71,41.11,18500,90,0.4,0.05
74.39,0.73,1.24,60.24,3.05,2.88,10,1.24,0.8,0.79,0.09,0.71,42.22,19000,95,0.4,0.05
75.47,0.7,1.23,60.7,2.96,2.9,10,1.23,0.81,0.75,0.09,0.73,43.33,19500,100,0.39,0.05
77.03,0.66,1.28,60.5,2.95,3.0,10,1.28,0.81,0.74,0.09,0.73,44.44,20000,105,0.4,0.05
78.09,0.63,1.31,60.44,2.86,3.09,10,1.31,0.81,0.71,0.09,0.74,45.56,20500,110,0.4,0.05
78.67,0.61,1.29,61.34,2.84,3.16,10,1.29,0.82,0.69,0.09,0.75,46.67,21000,115,0.39,0.05
80.11,0.57,1.33,61.34,2.79,3.21,10,1.33,0.82,0.64,0.09,0.76,47.78,21500,120,0.39,0.05
80.8,0.55,1.35,61.22,2.67,3.27,10,1.35,0.82,0.63,0.09,0.77,48.89,22000,125,0.39,0.05
81.95,0.52,1.37,61.9,2.66,3.38,10,1.37,0.83,0.61,0.09,0.77,50.0,22500,130,0.38,0.05
82.54,0.5,1.44,61.22,2.61,3.45,10,1.44,0.83,0.58,0.09,0.78,51.11,23000,135,0.39,0.05
83.29,0.49,1.45,62.28,2.56,3.55,10,1.45,0.84,0.54,0.08,0.8,52.22,23500,140,0.38,0.04
83.81,0.47,1.43,61.24,2.46,3.56,10,1.43,0.84,0.56,0.09,0.79,53.33,24000,145,0.39,0.05
84.52,0.45,1.5,61.86,2.45,3.66,10,1.49,0.84,0.53,0.08,0.8,54.44,24500,150,0.38,0.05
85.26,0.43,1.48,61.36,2.38,3.75,10,1.48,0.85,0.52,0.08,0.81,55.56,25000,155,0.39,0.05
