Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
26.47,2.04,1.8,36.96,4.12,1.6,10,1.8,0.48,1.81,0.16,0.34,22.22,10000,10,0.63,0.15
44.08,1.58,1.61,42.6,4.09,1.66,10,1.61,0.59,1.58,0.14,0.43,23.33,10500,20,0.57,0.11
51.88,1.36,1.49,46.66,3.94,1.73,10,1.49,0.64,1.42,0.13,0.48,24.44,11000,30,0.53,0.08
57.61,1.2,1.45,48.62,3.95,1.82,10,1.44,0.67,1.31,0.13,0.52,25.56,11500,40,0.51,0.07
62.57,1.07,1.4,50.9,3.84,1.92,10,1.39,0.7,1.2,0.12,0.56,26.67,12000,50,0.49,0.07
66.93,0.95,1.43,51.46,3.8,1.99,10,1.42,0.74,1.06,0.11,0.61,27.78,12500,60,0.49,0.06
70.93,0.84,1.46,51.96,3.79,2.02,10,1.46,0.75,0.97,0.11,0.65,28.89,13000,70,0.48,0.06
74.66,0.73,1.48,52.4,3.98,2.22,10,1.48,0.77,0.93,0.11,0.66,30.0,13500,80,0.48,0.07
78.33,0.63,1.58,51.66,3.85,2.3,10,1.58,0.77,0.85,0.11,0.69,31.11,14000,90,0.48,0.07
81.05,0.56,1.64,52.6,3.91,2.34,10,1.64,0.79,0.77,0.11,0.72,32.22,14500,100,0.47,0.07
83.87,0.48,1.8,51.68,3.68,2.4,10,1.8,0.8,0.7,0.11,0.74,33.33,15000,110,0.48,0.07
85.89,0.42,1.87,52.46,3.57,2.4,10,1.87,0.81,0.62,0.1,0.77,34.44,15500,120,0.48,0.07
88.04,0.37,1.97,52.1,3.52,2.47,10,1.96,0.81,0.62,0.1,0.77,35.56,16000,130,0.48,0.07
89.33,0.33,2.13,51.6,3.32,2.57,10,2.11,0.82,0.55,0.1,0.79,36.67,16500,140,0.48,0.07
90.58,0.3,2.27,52.08,3.31,2.59,10,2.24,0.83,0.51,0.1,0.81,37.78,17000,150,0.48,0.07
91.65,0.26,2.33,52.28,3.49,2.69,10,2.3,0.83,0.48,0.1,0.82,38.89,17500,160,0.48,0.07
92.55,0.24,2.48,51.7,3.69,2.89,10,2.45,0.83,0.46,0.1,0.82,40.0,18000,170,0.48,0.07
92.53,0.24,2.45,51.82,3.23,2.95,10,2.41,0.83,0.45,0.1,0.83,41.11,18500,180,0.48,0.08
93.6,0.21,2.6,51.34,3.18,3.0,10,2.56,0.84,0.43,0.1,0.84,42.22,19000,190,0.49,0.07
93.94,0.2,2.61,51.38,3.09,3.06,10,2.57,0.84,0.42,0.1,0.84,43.33,19500,200,0.49,0.08
94.22,0.19,2.67,51.7,2.89,3.05,10,2.61,0.84,0.41,0.1,0.84,44.44,20000,210,0.48,0.07
94.58,0.18,2.81,52.12,2.98,3.15,10,2.73,0.84,0.38,0.1,0.85,45.56,20500,220,0.48,0.08
94.52,0.18,2.77,52.2,2.98,3.4,10,2.7,0.84,0.39,0.1,0.85,46.67,21000,230,0.48,0.07
94.77,0.17,2.84,51.66,3.03,3.4,10,2.76,0.84,0.38,0.1,0.85,47.78,21500,240,0.48,0.08
94.69,0.18,2.86,51.8,2.91,3.46,10,2.76,0.83,0.38,0.1,0.85,48.89,22000,250,0.48,0.07
94.74,0.18,2.79,53.7,2.8,3.45,10,2.7,0.84,0.38,0.1,0.86,50.0,22500,260,0.46,0.08
94.65,0.19,2.74,52.82,2.79,3.68,10,2.67,0.83,0.39,0.1,0.85,51.11,23000,270,0.47,0.07
94.41,0.19,2.75,52.28,2.83,3.88,10,2.66,0.84,0.39,0.1,0.85,52.22,23500,280,0.48,0.08
94.58,0.18,2.74,52.62,2.58,3.86,10,2.67,0.83,0.39,0.1,0.85,53.33,24000,290,0.47,0.08
94.57,0.18,2.78,52.88,2.84,3.88,10,2.7,0.83,0.38,0.1,0.86,54.44,24500,300,0.47,0.08
94.5,0.18,2.81,53.64,2.45,3.88,10,2.72,0.84,0.37,0.1,0.86,55.56,25000,310,0.46,0.08
