Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
24.12,2.08,1.84,34.02,4.12,1.53,10,1.83,0.46,1.85,0.16,0.32,22.22,10000,10,0.66,0.16
42.36,1.61,1.56,43.56,4.03,1.62,10,1.56,0.59,1.57,0.14,0.43,23.33,10500,20,0.56,0.09
52.49,1.34,1.42,49.22,3.88,1.69,10,1.42,0.67,1.35,0.13,0.5,24.44,11000,30,0.51,0.07
59.02,1.17,1.39,51.76,3.86,1.73,10,1.4,0.69,1.26,0.12,0.54,25.56,11500,40,0.48,0.07
63.89,1.03,1.33,53.7,3.88,1.84,10,1.33,0.72,1.17,0.12,0.58,26.67,12000,50,0.46,0.06
68.28,0.91,1.31,54.36,3.65,1.89,10,1.31,0.73,1.11,0.11,0.6,27.78,12500,60,0.46,0.06
72.11,0.81,1.33,53.98,3.67,1.98,10,1.34,0.74,1.02,0.11,0.63,28.89,13000,70,0.46,0.06
75.74,0.7,1.36,54.54,3.7,2.05,10,1.35,0.75,0.96,0.11,0.65,30.0,13500,80,0.45,0.06
78.9,0.61,1.42,54.28,3.82,2.13,10,1.42,0.76,0.88,0.11,0.68,31.11,14000,90,0.46,0.06
81.88,0.53,1.48,55.3,3.46,2.16,10,1.48,0.79,0.77,0.1,0.72,32.22,14500,100,0.45,0.05
84.23,0.46,1.56,54.6,3.51,2.25,10,1.56,0.8,0.72,0.1,0.73,33.33,15000,110,0.45,0.06
86.35,0.4,1.69,54.58,3.45,2.33,10,1.69,0.82,0.63,0.1,0.77,34.44,15500,120,0.45,0.06
88.46,0.35,1.85,53.38,3.29,2.38,10,1.83,0.81,0.59,0.1,0.78,35.56,16000,130,0.47,0.06
90.28,0.3,1.93,53.84,3.34,2.47,10,1.91,0.83,0.54,0.1,0.79,36.67,16500,140,0.46,0.06
91.39,0.27,2.0,53.54,3.31,2.54,10,1.99,0.83,0.52,0.1,0.8,37.78,17000,150,0.46,0.06
92.52,0.24,2.15,52.74,3.23,2.57,10,2.13,0.83,0.48,0.1,0.82,38.89,17500,160,0.47,0.07
93.37,0.21,2.32,52.44,3.14,2.67,10,2.29,0.83,0.45,0.1,0.83,40.0,18000,170,0.48,0.06
93.82,0.2,2.36,52.54,3.02,2.74,10,2.32,0.84,0.44,0.1,0.83,41.11,18500,180,0.47,0.06
94.61,0.18,2.42,52.7,3.1,2.8,10,2.38,0.84,0.41,0.1,0.84,42.22,19000,190,0.47,0.06
95.11,0.17,2.58,52.82,3.0,2.88,10,2.52,0.83,0.4,0.1,0.85,43.33,19500,200,0.47,0.07
95.21,0.16,2.57,52.68,2.86,2.97,10,2.51,0.84,0.39,0.1,0.85,44.44,20000,210,0.47,0.07
95.46,0.16,2.55,53.28,2.85,3.02,10,2.48,0.84,0.38,0.1,0.85,45.56,20500,220,0.47,0.06
95.7,0.15,2.69,54.24,2.9,3.11,10,2.62,0.84,0.36,0.09,0.86,46.67,21000,230,0.46,0.06
95.9,0.14,2.71,53.44,2.72,3.16,10,2.65,0.84,0.36,0.1,0.86,47.78,21500,240,0.47,0.07
95.98,0.14,2.72,53.64,2.63,3.24,10,2.64,0.84,0.36,0.09,0.86,48.89,22000,250,0.46,0.07
96.07,0.14,2.74,53.68,2.59,3.3,10,2.65,0.84,0.36,0.1,0.86,50.0,22500,260,0.46,0.07
95.69,0.15,2.66,53.94,2.54,3.39,10,2.59,0.84,0.36,0.09,0.86,51.11,23000,270,0.46,0.07
95.8,0.14,2.77,54.1,2.5,3.45,10,2.68,0.83,0.34,0.09,0.87,52.22,23500,280,0.46,0.06
96.07,0.14,2.74,54.1,2.47,3.52,10,2.66,0.83,0.35,0.09,0.86,53.33,24000,290,0.46,0.06
95.72,0.15,2.73,53.56,2.45,3.58,10,2.64,0.84,0.36,0.1,0.86,54.44,24500,300,0.46,0.07
95.85,0.15,2.73,53.96,2.37,3.64,10,2.65,0.83,0.35,0.09,0.87,55.56,25000,310,0.46,0.06
