Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
23.68,2.1,1.78,37.0,-1.0,1.5,-1,1.78,-1.0,1.81,0.15,0.35,22.22,10000,10,0.63,0.15
47.03,1.5,1.51,45.86,3.94,1.79,10,1.51,0.49000000953674316,1.54,0.14,0.44,26.67,12000,20,0.54,0.09
57.75,1.21,1.42,48.94,3.76,2.05,10,1.42,0.6000000238418579,1.38,0.13,0.5,31.11,14000,30,0.51,0.08
63.86,1.05,1.33,52.78,3.51,2.35,10,1.33,0.6299999952316284,1.27,0.12,0.54,35.56,16000,40,0.47,0.06
69.59,0.89,1.23,56.48,3.29,2.64,10,1.23,0.6499999761581421,1.18,0.11,0.57,40.0,18000,50,0.44,0.05
74.22,0.76,1.22,58.44,3.06,2.91,10,1.21,0.6600000262260437,1.09,0.11,0.6,44.44,20000,60,0.42,0.06
77.25,0.67,1.21,59.66,2.91,3.19,10,1.21,0.6600000262260437,0.99,0.1,0.64,48.89,22000,70,0.4,0.05
79.09,0.62,1.2,60.78,2.6,3.48,10,1.19,0.6499999761581421,0.87,0.1,0.69,53.33,24000,80,0.39,0.05
80.73,0.57,1.15,62.6,2.44,3.75,10,1.14,0.6899999976158142,0.86,0.09,0.69,57.78,26000,90,0.37,0.04
81.88,0.54,1.17,62.8,2.26,4.05,10,1.17,0.6700000166893005,0.79,0.09,0.71,62.22,28000,100,0.37,0.05
82.55,0.51,1.14,63.68,1.98,4.31,10,1.14,0.6899999976158142,0.76,0.09,0.72,66.67,30000,110,0.36,0.05
83.37,0.49,1.16,64.22,1.81,4.63,10,1.15,0.6600000262260437,0.69,0.08,0.75,71.11,32000,120,0.36,0.04
83.48,0.48,1.18,63.88,1.53,4.88,10,1.18,0.6499999761581421,0.67,0.08,0.76,75.56,34000,130,0.36,0.04
83.73,0.47,1.17,64.4,1.32,5.16,10,1.17,0.6600000262260437,0.62,0.08,0.77,80.0,36000,140,0.36,0.04
83.58,0.47,1.18,64.78,1.1,5.44,10,1.18,0.6499999761581421,0.62,0.08,0.77,84.44,38000,150,0.35,0.04
83.41,0.47,1.17,65.56,0.86,5.74,10,1.17,0.6200000047683716,0.59,0.08,0.78,88.89,40000,160,0.34,0.04
83.25,0.48,1.17,66.76,0.64,6.01,10,1.16,0.5699999928474426,0.56,0.08,0.79,93.33,42000,170,0.33,0.04
82.96,0.48,1.21,65.5,0.44,6.29,10,1.2,0.5899999737739563,0.54,0.08,0.8,97.78,44000,180,0.34,0.03
83.28,0.47,1.21,66.0,0.2,6.44,10,1.21,0.5699999928474426,0.52,0.08,0.81,100.0,45000,190,0.34,0.03
