Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
22.26,2.11,1.87,32.14,-1.0,1.52,-1,1.87,-1.0,1.89,0.16,0.31,22.22,10000,10,0.68,0.17
44.0,1.59,1.57,44.58,4.03,1.81,10,1.58,0.41999998688697815,1.59,0.14,0.42,26.67,12000,20,0.55,0.1
56.45,1.26,1.46,49.1,3.69,2.07,10,1.46,0.5699999928474426,1.41,0.13,0.49,31.11,14000,30,0.51,0.08
63.65,1.06,1.32,53.8,3.53,2.37,10,1.31,0.6299999952316284,1.31,0.12,0.53,35.56,16000,40,0.46,0.06
68.76,0.91,1.29,55.18,3.35,2.64,10,1.28,0.6399999856948853,1.21,0.12,0.56,40.0,18000,50,0.45,0.06
72.32,0.81,1.25,56.72,3.09,2.92,10,1.24,0.6499999761581421,1.12,0.11,0.6,44.44,20000,60,0.43,0.05
75.32,0.73,1.26,57.5,2.84,3.2,10,1.25,0.6700000166893005,0.99,0.1,0.64,48.89,22000,70,0.42,0.06
77.33,0.67,1.21,59.58,2.67,3.48,10,1.21,0.6800000071525574,0.97,0.1,0.65,53.33,24000,80,0.4,0.05
78.91,0.62,1.21,59.22,2.45,3.78,10,1.21,0.6700000166893005,0.88,0.1,0.68,57.78,26000,90,0.41,0.05
80.16,0.58,1.21,60.38,2.2,4.07,10,1.2,0.6700000166893005,0.83,0.09,0.7,62.22,28000,100,0.4,0.04
81.2,0.55,1.2,61.22,1.96,4.34,10,1.19,0.6700000166893005,0.78,0.09,0.71,66.67,30000,110,0.39,0.05
81.65,0.54,1.22,61.72,1.77,4.62,10,1.21,0.6600000262260437,0.72,0.09,0.74,71.11,32000,120,0.38,0.04
82.05,0.52,1.25,62.26,1.49,4.85,10,1.24,0.6600000262260437,0.68,0.09,0.75,75.56,34000,130,0.38,0.05
82.0,0.52,1.3,62.1,1.33,5.17,10,1.27,0.6700000166893005,0.65,0.09,0.76,80.0,36000,140,0.38,0.05
82.01,0.52,1.25,62.68,1.14,5.46,10,1.23,0.6399999856948853,0.65,0.08,0.76,84.44,38000,150,0.37,0.04
82.05,0.52,1.26,63.18,0.87,5.78,10,1.24,0.6000000238418579,0.62,0.08,0.77,88.89,40000,160,0.37,0.04
81.78,0.52,1.29,63.02,0.68,6.04,10,1.27,0.5699999928474426,0.59,0.08,0.78,93.33,42000,170,0.37,0.04
81.33,0.53,1.3,63.52,0.44,6.3,10,1.28,0.5600000023841858,0.57,0.08,0.79,97.78,44000,180,0.36,0.04
81.67,0.52,1.29,64.18,0.22,6.43,10,1.26,0.5099999904632568,0.57,0.08,0.79,100.0,45000,190,0.36,0.04
