Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
69.43,0.87,1.64,54.46,8.15,6.59,10,1.64,0.81,0.61,0.1,0.78,22.22,10000,10,0.46,0.06
93.34,0.21,1.54,60.38,8.03,6.93,10,1.55,0.84,0.45,0.08,0.83,23.33,10500,20,0.4,0.04
98.3,0.06,1.27,67.48,7.92,7.22,10,1.27,0.87,0.39,0.07,0.86,24.44,11000,30,0.33,0.03
98.95,0.04,1.24,69.12,7.78,7.54,10,1.24,0.87,0.37,0.07,0.86,25.56,11500,40,0.31,0.03
99.02,0.04,1.28,68.34,7.7,7.87,10,1.28,0.87,0.35,0.07,0.87,26.67,12000,50,0.32,0.03
98.81,0.05,1.26,69.58,7.58,8.2,10,1.27,0.87,0.34,0.07,0.88,27.78,12500,60,0.3,0.03
98.72,0.05,1.24,70.14,7.5,8.53,10,1.23,0.88,0.33,0.06,0.88,28.89,13000,70,0.3,0.03
98.99,0.04,1.18,71.28,7.35,8.83,10,1.17,0.88,0.32,0.06,0.88,30.0,13500,80,0.29,0.03
99.22,0.03,1.18,71.6,7.2,9.15,10,1.19,0.88,0.31,0.06,0.89,31.11,14000,90,0.28,0.03
99.19,0.03,1.18,72.06,7.1,9.48,10,1.18,0.88,0.3,0.06,0.89,32.22,14500,100,0.28,0.03
99.19,0.03,1.19,72.18,6.97,9.8,10,1.18,0.88,0.3,0.06,0.89,33.33,15000,110,0.28,0.03
99.26,0.03,1.15,73.28,6.87,10.13,10,1.15,0.88,0.28,0.06,0.9,34.44,15500,120,0.27,0.02
99.31,0.03,1.13,73.16,6.78,10.45,10,1.13,0.88,0.29,0.06,0.89,35.56,16000,130,0.27,0.02
99.31,0.03,1.1,73.56,6.7,10.78,10,1.1,0.88,0.28,0.06,0.9,36.67,16500,140,0.26,0.02
99.28,0.03,1.08,74.26,6.52,11.1,10,1.09,0.88,0.27,0.06,0.9,37.78,17000,150,0.26,0.02
99.34,0.03,1.13,73.68,6.41,11.4,10,1.12,0.89,0.27,0.06,0.9,38.89,17500,160,0.26,0.02
99.37,0.03,1.1,74.82,6.27,11.73,10,1.1,0.89,0.25,0.05,0.91,40.0,18000,170,0.25,0.02
96.95,0.1,1.17,72.32,6.21,12.08,10,1.16,0.88,0.28,0.06,0.9,41.11,18500,180,0.28,0.02
99.44,0.02,1.01,75.7,6.09,12.39,10,1.0,0.89,0.26,0.05,0.9,42.22,19000,190,0.24,0.02
99.58,0.02,1.0,75.86,5.96,12.71,10,0.99,0.89,0.25,0.05,0.91,43.33,19500,200,0.24,0.02
99.61,0.02,0.97,77.0,5.85,13.03,10,0.97,0.89,0.25,0.05,0.91,44.44,20000,210,0.23,0.02
99.64,0.02,0.93,76.94,5.71,13.36,10,0.93,0.89,0.26,0.05,0.9,45.56,20500,220,0.23,0.02
99.53,0.02,0.96,77.06,5.67,13.69,10,0.97,0.89,0.25,0.05,0.91,46.67,21000,230,0.23,0.02
99.62,0.02,0.93,77.7,5.52,14.0,10,0.93,0.89,0.24,0.05,0.91,47.78,21500,240,0.22,0.02
99.69,0.01,0.91,78.14,5.43,14.3,10,0.91,0.89,0.24,0.05,0.91,48.89,22000,250,0.22,0.02
99.63,0.02,0.89,79.2,5.32,14.65,10,0.89,0.89,0.23,0.05,0.91,50.0,22500,260,0.21,0.02
99.65,0.01,0.88,79.04,5.15,14.97,10,0.87,0.89,0.24,0.05,0.91,51.11,23000,270,0.21,0.02
99.55,0.02,0.91,78.38,5.05,15.28,10,0.9,0.89,0.24,0.05,0.91,52.22,23500,280,0.22,0.02
99.61,0.01,0.86,79.2,4.94,15.62,10,0.86,0.89,0.23,0.05,0.92,53.33,24000,290,0.21,0.02
99.61,0.02,0.86,79.24,4.86,15.93,10,0.86,0.89,0.23,0.04,0.92,54.44,24500,300,0.21,0.02
99.71,0.01,0.84,79.74,4.69,16.25,10,0.83,0.89,0.23,0.04,0.91,55.56,25000,310,0.2,0.02
