Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
53.67,1.27,1.21,57.54,8.13,6.59,10,1.22,0.75,1.01,0.1,0.64,22.22,10000,5,0.42,0.06
78.48,0.63,1.31,61.14,8.04,6.89,10,1.31,0.81,0.64,0.09,0.77,23.33,10500,10,0.39,0.05
92.37,0.24,1.28,64.64,7.98,7.22,10,1.28,0.85,0.47,0.08,0.83,24.44,11000,15,0.35,0.04
95.93,0.14,1.26,67.74,7.77,7.55,10,1.27,0.86,0.39,0.07,0.86,25.56,11500,20,0.32,0.04
96.91,0.11,1.31,67.04,7.67,7.87,10,1.31,0.87,0.38,0.07,0.86,26.67,12000,25,0.33,0.03
97.33,0.09,1.22,69.72,7.56,8.19,10,1.23,0.87,0.35,0.07,0.87,27.78,12500,30,0.3,0.03
97.31,0.1,1.29,68.94,7.47,8.52,10,1.29,0.87,0.35,0.07,0.87,28.89,13000,35,0.31,0.03
97.79,0.08,1.16,71.34,7.3,8.83,10,1.16,0.87,0.33,0.06,0.88,30.0,13500,40,0.29,0.03
98.02,0.07,1.17,71.3,7.24,9.15,10,1.17,0.88,0.32,0.06,0.88,31.11,14000,45,0.29,0.02
98.24,0.06,1.12,72.44,7.09,9.49,10,1.12,0.88,0.31,0.06,0.88,32.22,14500,50,0.28,0.02
98.45,0.06,1.22,71.54,6.96,9.79,10,1.22,0.88,0.3,0.06,0.89,33.33,15000,55,0.28,0.02
98.37,0.06,1.15,72.68,6.9,10.11,10,1.15,0.88,0.3,0.06,0.89,34.44,15500,60,0.27,0.02
98.57,0.05,1.11,73.22,6.77,10.44,10,1.11,0.88,0.29,0.06,0.89,35.56,16000,65,0.27,0.02
98.65,0.05,1.08,74.24,6.67,10.75,10,1.08,0.88,0.28,0.06,0.89,36.67,16500,70,0.26,0.02
98.68,0.05,1.07,74.18,6.55,11.08,10,1.08,0.88,0.28,0.06,0.9,37.78,17000,75,0.26,0.02
98.65,0.05,1.04,74.7,6.38,11.42,10,1.05,0.88,0.27,0.05,0.9,38.89,17500,80,0.25,0.02
98.66,0.05,1.06,74.48,6.32,11.75,10,1.07,0.88,0.28,0.06,0.9,40.0,18000,85,0.26,0.02
97.21,0.1,1.14,73.1,6.15,12.07,10,1.13,0.88,0.28,0.06,0.9,41.11,18500,90,0.27,0.02
98.61,0.05,0.98,75.7,6.08,12.35,10,0.98,0.89,0.27,0.05,0.9,42.22,19000,95,0.24,0.02
99.11,0.03,0.98,76.04,5.94,12.69,10,0.97,0.89,0.26,0.05,0.9,43.33,19500,100,0.24,0.02
99.13,0.03,0.97,76.6,5.81,13.02,10,0.97,0.89,0.24,0.05,0.91,44.44,20000,105,0.23,0.02
99.03,0.04,0.98,75.86,5.76,13.34,10,0.98,0.89,0.25,0.05,0.91,45.56,20500,110,0.24,0.02
99.16,0.03,0.92,77.12,5.62,13.65,10,0.92,0.89,0.24,0.05,0.91,46.67,21000,115,0.23,0.01
99.17,0.03,0.95,77.2,5.47,13.98,10,0.95,0.89,0.24,0.05,0.91,47.78,21500,120,0.23,0.02
99.26,0.03,0.92,77.8,5.4,14.31,10,0.91,0.89,0.23,0.05,0.91,48.89,22000,125,0.22,0.02
99.25,0.03,0.92,77.94,5.25,14.63,10,0.91,0.89,0.24,0.05,0.91,50.0,22500,130,0.22,0.01
99.24,0.03,0.9,78.48,5.14,14.93,10,0.89,0.89,0.23,0.05,0.91,51.11,23000,135,0.22,0.02
99.3,0.03,0.93,78.56,5.02,15.25,10,0.93,0.89,0.22,0.05,0.92,52.22,23500,140,0.21,0.02
99.28,0.03,0.89,78.76,4.92,15.6,10,0.89,0.89,0.22,0.05,0.92,53.33,24000,145,0.21,0.01
99.3,0.03,0.9,78.62,4.8,15.91,10,0.89,0.89,0.23,0.05,0.92,54.44,24500,150,0.21,0.02
99.36,0.02,0.88,79.12,4.7,16.25,10,0.87,0.89,0.23,0.04,0.91,55.56,25000,155,0.21,0.02
