Train Accuracy,Train Loss,Evaluation Loss,Evaluation Accuracy,Query Times,Training Times,Cluster Coverage,Log Loss,Diversity Metrics,Entropy Reduction,MAE,Model Confidence,Data Percentage,Data Count,EPOCHS,Top 1 Error,Top 5 Error
69.58,0.87,1.59,55.26,7.9,6.38,10,1.59,0.81,0.6,0.1,0.78,22.22,10000,10,0.45,0.05
92.41,0.24,1.48,63.14,7.73,6.71,10,1.49,0.85,0.43,0.08,0.84,23.33,10500,20,0.37,0.04
98.69,0.05,1.21,69.24,7.69,6.99,10,1.21,0.87,0.37,0.07,0.86,24.44,11000,30,0.31,0.03
99.09,0.04,1.24,69.08,7.49,7.31,10,1.25,0.87,0.35,0.07,0.87,25.56,11500,40,0.31,0.03
99.01,0.04,1.22,69.8,7.48,7.62,10,1.23,0.87,0.34,0.06,0.87,26.67,12000,50,0.3,0.03
98.95,0.04,1.24,70.16,7.31,7.95,10,1.25,0.87,0.32,0.06,0.88,27.78,12500,60,0.3,0.03
98.5,0.05,1.27,70.04,7.2,8.25,10,1.27,0.87,0.32,0.06,0.88,28.89,13000,70,0.3,0.03
98.99,0.04,1.19,71.42,7.11,8.57,10,1.2,0.88,0.31,0.06,0.89,30.0,13500,80,0.29,0.02
99.19,0.03,1.13,73.12,7.02,8.88,10,1.14,0.88,0.3,0.06,0.89,31.11,14000,90,0.27,0.02
99.27,0.03,1.13,73.14,6.87,9.2,10,1.14,0.88,0.3,0.06,0.89,32.22,14500,100,0.27,0.02
99.21,0.03,1.11,73.22,6.77,9.51,10,1.11,0.88,0.29,0.06,0.89,33.33,15000,110,0.27,0.02
99.27,0.03,1.11,74.22,6.65,9.83,10,1.12,0.88,0.29,0.06,0.89,34.44,15500,120,0.26,0.02
99.31,0.03,1.1,73.86,6.56,10.12,10,1.11,0.88,0.28,0.06,0.9,35.56,16000,130,0.26,0.02
99.33,0.03,1.08,74.84,6.4,10.44,10,1.08,0.88,0.28,0.05,0.9,36.67,16500,140,0.25,0.02
99.32,0.03,1.04,74.96,6.32,10.75,10,1.04,0.88,0.28,0.05,0.9,37.78,17000,150,0.25,0.02
99.33,0.03,1.03,75.18,6.25,11.06,10,1.04,0.89,0.27,0.05,0.9,38.89,17500,160,0.25,0.02
99.37,0.02,1.03,75.42,6.08,11.4,10,1.03,0.89,0.27,0.05,0.9,40.0,18000,170,0.25,0.02
99.03,0.04,1.23,72.36,5.97,11.69,10,1.24,0.88,0.29,0.06,0.89,41.11,18500,180,0.28,0.03
98.99,0.04,0.99,76.92,5.89,11.99,10,0.99,0.89,0.26,0.05,0.91,42.22,19000,190,0.23,0.02
99.49,0.02,0.95,77.06,5.8,12.29,10,0.95,0.89,0.25,0.05,0.91,43.33,19500,200,0.23,0.02
99.53,0.02,0.95,77.76,5.64,12.61,10,0.95,0.89,0.24,0.05,0.91,44.44,20000,210,0.22,0.02
99.5,0.02,0.94,77.18,5.55,12.93,10,0.94,0.89,0.25,0.05,0.91,45.56,20500,220,0.23,0.02
99.36,0.02,0.95,76.92,5.43,13.28,10,0.95,0.89,0.25,0.05,0.91,46.67,21000,230,0.23,0.02
99.57,0.02,0.89,77.94,5.32,13.58,10,0.89,0.89,0.25,0.05,0.91,47.78,21500,240,0.22,0.02
99.56,0.02,0.9,78.18,5.22,13.89,10,0.91,0.89,0.24,0.05,0.91,48.89,22000,250,0.22,0.02
99.59,0.02,0.89,78.28,5.11,14.2,10,0.89,0.89,0.24,0.05,0.91,50.0,22500,260,0.22,0.02
99.62,0.02,0.84,78.9,4.97,14.51,10,0.85,0.89,0.24,0.05,0.91,51.11,23000,270,0.21,0.02
99.58,0.02,0.87,79.64,4.87,14.85,10,0.87,0.89,0.23,0.04,0.92,52.22,23500,280,0.2,0.02
99.68,0.01,0.83,79.78,4.77,15.12,10,0.83,0.89,0.23,0.04,0.92,53.33,24000,290,0.2,0.02
99.66,0.01,0.8,80.12,4.67,15.46,10,0.81,0.89,0.23,0.04,0.91,54.44,24500,300,0.2,0.01
99.64,0.01,0.8,80.12,4.58,15.72,10,0.81,0.89,0.23,0.04,0.91,55.56,25000,310,0.2,0.01
